accX;accY;accZ;gyroX;gyroY;gyroZ;Activity
0.906665;1.269061;11.25734;0.051475;0.174158;0.019116;1
1.193019;1.355731;9.555829;0.609941;-0.47551;0.191255;1
-0.513582;3.354674;11.707155;-0.304671;-0.420012;-0.140179;1
-0.006137;1.878893;11.619886;-0.349199;0.094364;0.106202;1
-1.898053;1.777554;8.440797;0.182572;0.115637;-0.034737;1
-0.924178;1.753903;13.857882;0.085151;-0.381473;0.086721;1
0.292342;2.371219;13.108241;0.100604;-0.259303;0.250927;1
-0.414039;3.447631;8.344847;-0.050784;-0.136584;-0.260576;1
0.144599;2.568958;7.716004;-0.005259;-0.055431;-0.589873;1
-0.310604;4.479734;9.561217;-0.039279;-0.196934;-0.378407;1
0.809966;0.963846;12.08961;0.088538;0.348842;0.344934;1
0.044008;1.893113;12.425212;-0.026646;0.103444;0.056487;1
-0.561333;3.789969;11.257041;0.12666;-0.127939;-0.017275;1
-1.157992;3.193908;12.188105;0.385054;-0.287359;0.143588;1
-0.284708;3.539839;11.929892;-0.12557;-0.151578;-0.084891;1
-1.14916;4.472699;12.40216;-0.087922;0.390886;0.061696;1
-0.279319;2.16405;7.968529;0.029821;-0.092705;-0.167464;1
-0.027094;0.371228;12.533437;0.209026;-0.038795;-0.178301;1
-0.309257;3.261717;8.815468;0.162642;-0.038851;-0.048213;1
0.065414;3.281776;8.812923;0.18211;0.066262;-0.293806;1
-0.680784;1.858086;9.464967;0.234878;0.234092;-0.318835;1
-0.606988;2.818938;7.749834;0.033126;0.48497;0.134558;1
-1.27894;3.46694;11.076666;0.05126;-0.133179;-0.227971;1
0.889301;2.442171;6.755452;0.751327;0.245764;0.018513;1
1.279839;2.825225;7.698491;0.016007;0.343571;0.122104;1
0.1681;3.542384;10.728041;0.022532;-0.21226;0.119692;1
-1.480122;1.410367;10.962453;-0.438693;0.297967;-0.667318;1
0.540676;2.273173;7.326065;-0.191457;-0.138541;0.634966;1
-0.301024;2.415377;6.81892;0.247959;-0.224031;-0.15183;1
1.121169;1.069825;7.696844;-0.46997;-0.217445;0.057799;1
-0.436642;2.279759;9.42036;0.719304;-0.358613;0.292853;1
1.229094;2.570006;13.612992;-1.244831;0.139313;-0.183446;1
-0.342188;0.887804;7.711813;0.018185;0.001315;-0.02902;1
0.670605;2.38529;8.330028;-0.133862;-0.296368;-0.287799;1
-0.42811;2.963986;7.423363;0.369749;0.209872;-0.146168;1
