accY,accX,accZ,gyroX,gyroY
0.50475,0.43739,8.647218,0.194472,-0.171979
2.638862,0.203876,9.203312,-0.072012,-0.200917
2.17378,0.32692,7.711065,0.385995,0.651148
0.214055,-1.118624,9.316925,-0.053597,0.027192
3.525169,-0.13457,7.327562,0.154059,-0.118089
2.761008,-1.996099,12.887001,-0.225045,-0.452959
2.643952,-0.157772,13.707894,0.361931,0.162192
2.965633,0.292043,8.090825,0.133215,0.057231
3.619324,-0.323477,7.231312,-0.0402,-0.081928
1.836381,0.849034,7.399862,-0.215164,0.236357
2.581981,-0.248932,12.12299,0.163907,-0.106878
2.456542,-0.059426,6.312224,-0.120676,0.486519
1.705404,0.774639,6.170768,-0.030185,0.320861
1.632655,0.478106,12.965588,-0.169989,0.07493
2.467768,0.113165,11.074121,-0.077444,0.290603
1.555565,1.068179,11.583213,0.410474,-0.279603
1.948648,0.659828,9.767488,0.161181,-0.044082
2.016307,0.016316,7.801626,-0.125867,0.300509
0.727787,-1.512006,9.967922,0.668788,-0.131905
3.003804,0.024699,8.314909,0.01021,-0.114608
1.598376,-0.053139,9.883048,0.078231,-0.033817
1.838177,-0.286804,13.768069,0.270059,-0.195417
2.329606,-0.778681,7.693551,0.144541,0.14363
2.749482,-1.60152,10.382559,0.335912,0.560449
2.528841,-0.322729,11.285482,-0.522016,-0.336831
3.17864,-0.426164,12.318035,0.081075,0.76919
1.758842,1.200803,6.650221,-0.204114,-0.35465
3.188969,-0.467178,7.741452,0.343232,-0.264375
1.852099,0.972228,6.759044,0.19837,-0.31448
1.499582,2.148183,13.618979,-0.380859,-0.109286
4.645589,-0.001198,9.753418,-0.32931,-0.053826
2.573299,-0.754581,11.833642,0.349442,-0.235839
1.457818,-0.749491,9.720786,-0.118249,-0.175636
3.378025,-1.111738,11.313324,0.722896,0.766377
2.302362,0.722847,7.192693,-0.277529,0.352195
2.104025,1.342558,10.552606,-0.424047,0.001944
4.422853,0.274828,7.82408,0.068098,-0.035296
1.162932,-0.077688,7.532636,-0.067259,0.40505
0.44712,0.451611,8.056846,0.023402,-0.031769
0.168699,1.565145,10.399774,0.10968,0.086318
3.528013,-0.640518,8.717422,0.436402,-0.279005
2.237098,-0.144001,9.985435,0.157809,-0.089884
1.703757,0.95711,10.268347,0.024366,0.187192
2.450255,-0.064067,6.20355,0.239137,-0.247044
1.632056,0.842897,12.78177,0.317651,-0.241093
3.258424,-0.01946,8.403824,-0.528977,-0.380396
3.255879,-0.359702,8.345745,-0.829497,0.194428
2.396217,-0.010778,6.993906,0.060199,0.113425
1.688638,0.491428,8.241262,-0.377972,-0.051559
2.853366,-0.933309,9.625883,0.220515,0.077616
0.887804,0.042811,7.997419,0.100402,-0.080862
2.017954,0.416883,9.639505,0.211634,-0.018532
1.932332,0.161814,6.737489,-0.067236,0.036707
3.989953,-0.424068,12.636273,0.004726,-0.279331
2.321073,1.301693,7.902966,0.677773,-0.332061
1.2261,-0.468975,9.702523,-0.004615,0.02045
4.252357,-1.055305,8.990305,-0.29451,0.518032
1.918411,0.845741,10.481204,-0.215032,0.158672
2.759512,0.645308,14.489569,-0.030654,-0.397275
3.020718,-0.778082,11.975547,0.381727,0.219527
2.894082,0.250579,9.478439,-0.104758,0.138813
1.911525,1.357677,13.236674,0.2402,-0.211016
3.60675,0.003593,10.683733,0.02968,-0.073449
3.457959,0.000299,9.091494,-0.112506,-0.052056
0.599503,0.047751,7.296876,-0.189819,-0.261956
2.970722,-0.002994,5.763465,-0.473764,0.164582
0.219893,1.231938,9.630673,-0.718676,-0.377164
0.074844,1.250799,10.344838,0.169899,-0.023437
0.430654,0.64441,14.486276,0.163039,-0.26075
3.50541,0.280517,9.513018,0.240466,-0.079196
2.5486,0.839155,9.410181,-0.543763,0.385371
1.266067,0.007934,7.045399,0.305562,-0.130606
1.232238,0.611329,5.886509,0.015561,0.153283
3.136278,0.224982,10.384056,-0.00889,0.125028
2.931504,-0.476609,10.640922,0.295052,-0.120335
1.768722,-0.491578,7.518266,0.18885,-0.003315
1.754052,0.890199,8.755892,0.132581,-0.044105
0.35087,1.127156,10.330767,-0.006661,-0.082258
2.430645,-0.021705,7.552544,0.414241,0.166733
1.761387,-0.297881,7.72289,0.02393,0.120808
3.312462,-0.651595,11.2765,0.144675,-0.138749
