accX,accY
0.43739,0.50475
0.203876,2.638862
0.32692,2.17378
-1.118624,0.214055
-0.13457,3.525169
-1.996099,2.761008
-0.157772,2.643952
0.292043,2.965633
-0.323477,3.619324
0.849034,1.836381
-0.248932,2.581981
-0.059426,2.456542
0.774639,1.705404
0.478106,1.632655
0.113165,2.467768
1.068179,1.555565
0.659828,1.948648
0.016316,2.016307
-1.512006,0.727787
0.024699,3.003804
-0.053139,1.598376
-0.286804,1.838177
-0.778681,2.329606
-1.60152,2.749482
-0.322729,2.528841
-0.426164,3.17864
1.200803,1.758842
-0.467178,3.188969
0.972228,1.852099
2.148183,1.499582
-0.001198,4.645589
-0.754581,2.573299
-0.749491,1.457818
-1.111738,3.378025
0.722847,2.302362
1.342558,2.104025
0.274828,4.422853
-0.077688,1.162932
0.451611,0.44712
1.565145,0.168699
-0.640518,3.528013
-0.144001,2.237098
0.95711,1.703757
-0.064067,2.450255
0.842897,1.632056
-0.01946,3.258424
-0.359702,3.255879
-0.010778,2.396217
0.491428,1.688638
-0.933309,2.853366
0.042811,0.887804
0.416883,2.017954
0.161814,1.932332
-0.424068,3.989953
1.301693,2.321073
-0.468975,1.2261
-1.055305,4.252357
0.845741,1.918411
0.645308,2.759512
-0.778082,3.020718
0.250579,2.894082
1.357677,1.911525
0.003593,3.60675
0.000299,3.457959
0.047751,0.599503
-0.002994,2.970722
1.231938,0.219893
1.250799,0.074844
0.64441,0.430654
0.280517,3.50541
0.839155,2.5486
0.007934,1.266067
0.611329,1.232238
0.224982,3.136278
-0.476609,2.931504
-0.491578,1.768722
0.890199,1.754052
1.127156,0.35087
-0.021705,2.430645
-0.297881,1.761387
-0.651595,3.312462
0.797841,5.440736
-0.712369,3.134781
-0.36569,0.790656
-0.5531,3.025808
-0.079485,3.06338
-1.470841,1.011596
-1.612447,2.219584
0.938997,2.455194
-0.226778,2.407294
-1.326841,4.036356
0.740959,1.754501
-1.03869,2.609973
0.624052,1.916465
-0.26914,2.428101
1.20709,0.691712
1.030457,2.334246
-0.181123,1.372346
0.297132,0.40865
-0.040715,1.891766
-0.236209,0.908611
1.016087,2.021696
1.798211,1.598975
0.08158,3.902684
1.094075,1.239722
-2.20267,-0.797841
-0.455952,4.401896
-0.76955,4.243975
-0.439935,2.940186
0.305515,2.42855
0.728236,0.611329
0.202379,0.15403
0.311652,2.390828
0.24983,0.86086
1.090183,0.392035
1.655258,1.410217
-0.284858,3.402724
0.831221,1.76498
1.382375,0.247885
0.720003,3.239414
-0.63498,1.178948
-0.44742,1.103056
0.436193,1.287473
0.18277,4.168681
-0.604144,1.502276
-0.751437,2.649341
-0.005389,3.13044
0.783171,1.722767
-0.152383,2.661615
0.383353,-0.050744
-0.585283,2.005829
0.413291,3.838019
0.938399,1.588796
0.72614,3.521876
-0.318538,2.059417
0.348326,1.47653
0.700394,1.343157
-1.045127,2.51507
-0.305066,3.194657
-0.421973,2.732268
0.553699,0.778381
-0.233963,2.452799
-0.011376,1.184187
0.098495,1.281635
0.401615,1.222059
0.189057,1.64957
1.26457,3.894152
1.005309,3.522475
-1.335672,0.856219
-0.379012,3.742966
0.005089,2.366279
0.101938,0.936602
-0.837508,3.373385
-0.82703,2.238295
-1.742676,-0.35596
-0.157772,2.514621
-0.38964,1.373843
-0.165406,2.517465
-0.174088,1.033152
1.59179,2.003733
1.198707,0.556543
-0.279619,1.585802
0.572709,3.47203
1.305286,2.358346
0.683928,2.246379
0.400268,1.840273
-0.384999,2.262246
0.915347,1.429677
-1.492397,4.569099
0.182321,3.504363
-0.525258,2.938988
-0.398322,3.180736
1.238075,1.027463
-0.105531,3.436254
-0.314346,2.064357
0.098345,2.042203
0.117805,2.946622
-1.142873,3.120411
-0.185315,2.492766
-0.320783,1.210832
-0.358205,2.693798
0.227227,1.135389
0.377216,2.315984
-0.477956,3.472329
-0.645158,2.080074
-1.279539,2.411635
-0.246986,1.373693
0.09116,1.090183
0.460293,3.682792
0.014969,2.324666
0.125439,2.103576
0.680335,0.717308
0.124092,2.930905
0.160915,2.668501
1.193618,3.159779
0.00958,2.579137
-0.395627,3.23627
-0.094304,1.346151
0.041763,2.828219
0.055085,2.380949
1.116678,-1.313818
1.303639,1.924099
-0.667163,1.229843
0.62031,2.160906
1.21682,2.669399
0.160017,1.652114
0.411345,0.840951
0.163759,2.545756
-0.56253,3.578758
-0.358654,1.853446
-1.359623,3.139122
0.99528,0.342637
1.283431,1.884581
-0.438738,1.879342
-0.146096,2.251019
0.862357,3.280728
-0.863704,1.568139
0.145797,2.523303
0.772394,1.55811
-1.346001,1.835782
0.479303,0.341739
-0.433798,3.328329
-0.229473,2.105971
0.231568,1.814377
-0.529898,2.788851
-0.744552,3.376229
-0.728236,1.458866
-0.322579,1.054258
0.350122,0.145198
-0.177531,1.902843
-0.651894,3.003354
-1.424737,3.353925
1.143921,2.659969
0.373024,3.301385
-0.161514,3.003654
-0.099842,0.083676
0.801733,0.979114
0.793201,1.537902
-0.833167,2.73601
-0.792302,3.266807
-1.526825,0.646805
1.562151,2.705175
0.254321,2.805017
-0.427212,1.950294
-0.547711,3.225642
-0.763412,2.621049
-0.142953,3.434308
1.180146,2.823429
-0.830772,1.959874
0.612975,0.74515
0.038171,3.623515
-0.464035,1.089584
1.231339,2.165098
-0.767753,1.911226
-0.558489,2.116299
0.08173,1.879192
0.336051,0.607437
0.502355,0.958756
-0.62016,3.556155
0.524809,0.872386
-0.257465,2.979554
0.979264,1.153801
0.210612,0.453108
-0.392634,2.630181
-0.132624,4.366121
0.887205,1.783092
0.00464,3.10664
-0.963546,3.216661
-0.61537,2.773582
1.480122,0.126188
-0.156275,2.836152
-0.646805,1.413361
0.189805,3.628006
0.175285,1.36561
0.084574,2.487827
1.119821,2.160757
-0.000449,3.002905
-1.291215,1.871558
-0.838107,1.449735
0.650996,1.991459
-0.395777,3.622317
0.994382,2.075584
0.131726,2.45265
0.059875,1.872905
-0.83676,3.244653
-0.385448,4.524491
-1.668131,1.902544
-0.20208,2.867138
-1.125809,2.965783
0.565674,1.893562
0.849034,0.794099
1.155747,2.054927
0.477657,2.855462
-0.281714,4.253555
-0.037572,1.164878
-0.409249,1.251847
-0.30312,2.691703
2.001488,1.23598
-0.4567,4.173322
0.343236,1.183439
0.084424,3.628455
-0.464035,4.407884
0.715961,1.411565
-0.359103,3.141218
-0.762065,1.16353
-0.958457,2.082619
0.117057,1.804947
0.531245,2.130669
0.119003,0.472268
-0.056283,1.657803
1.063538,1.445993
0.401615,0.291444
-0.524958,2.606679
0.844544,3.621419
1.8274,0.229173
-0.342637,4.442911
0.407004,2.626139
-0.303718,2.289938
-0.762365,1.943409
0.406255,0.04326
0.180824,1.920357
0.206421,0.555944
0.387544,3.301983
0.247435,2.768493
0.022453,1.385519
-0.770747,0.707579
1.219514,1.517245
-0.21136,1.13973
-0.21181,2.383793
-0.562081,3.071163
0.171843,2.322421
-0.495021,3.370391
-0.213456,3.426075
0.154928,1.506018
-0.74036,1.420247
0.427511,1.971999
-0.59157,4.179309
0.738265,0.9137
2.191892,0.272583
-0.14924,2.138154
0.117805,2.4046
0.127235,2.488126
-0.467927,2.117796
1.103505,0.364642
-0.336201,1.864074
-0.554746,2.819387
-0.131726,3.389402
-0.712518,2.559078
-0.815953,3.709736
0.637225,2.756967
-0.459095,1.014291
0.185464,1.67831
-0.727936,1.78893
-0.56732,2.40939
0.005538,3.268453
2.180516,2.422263
0.845592,1.308728
0.424368,2.924169
0.231568,2.964136
0.574505,1.071472
2.199376,1.393901
2.219135,2.274969
0.476459,3.496729
0.107177,0.455203
1.128653,1.725312
0.718656,2.083667
-0.109422,1.787882
0.31255,0.324825
0.637524,2.891387
0.281415,0.289797
-0.527204,2.187701
1.282383,0.64935
0.015418,3.308719
-1.198558,2.069447
-0.226329,1.172512
2.411785,0.810864
-0.127684,1.270109
0.685874,1.311273
0.076192,0.318837
0.14909,0.195493
0.270188,2.720892
0.73093,0.569566
-0.227227,1.016087
0.021555,0.752785
-0.263003,3.177293
-0.904569,2.603536
1.304088,0.777184
0.327818,2.917733
-0.280217,2.110761
1.463357,1.776805
0.430505,0.957858
-0.105231,3.022964
0.178579,3.462001
-0.030986,2.449806
-0.99543,3.343148
0.12978,1.699266
0.410596,3.658243
-0.959654,3.845952
-1.004561,1.688788
0.956661,2.518213
-0.119751,0.970282
0.849633,2.099833
-0.887804,2.824776
-0.709075,0.810265
-0.181872,0.677641
0.527802,3.882476
-0.28381,2.5727
0.179926,2.458787
0.351319,1.331032
-1.017584,3.66453
0.87508,2.246678
0.190404,0.729283
-1.270258,3.261118
0.741259,1.758543
-0.420027,2.690804
-0.280966,3.086881
0.67824,-0.741259
-0.376467,2.298021
-0.934656,3.33252
0.753383,-1.293161
-0.641865,0.9378
-0.140558,2.205813
-0.55774,2.215692
-0.509241,0.957559
1.666035,0.191152
-0.671803,1.892065
0.439037,2.746339
0.285456,1.925147
0.189506,2.08232
0.746498,1.671724
0.888103,0.060474
0.224832,2.795587
-1.077759,4.060756
-0.854124,3.55361
-0.54831,1.7551
0.694556,1.904041
-2.295477,0.271386
-1.103206,1.582359
-0.111518,2.48124
0.001198,2.546355
1.004711,2.18321
-0.693658,1.147514
0.178878,3.484155
-0.237406,2.120041
0.693208,2.30326
0.43769,1.021176
0.590522,1.814377
-0.078587,0.718057
-1.713487,2.86115
-1.022973,1.863026
-0.985551,1.657054
0.298479,1.326541
-0.357457,2.179168
0.436343,1.056353
-0.275128,1.001867
-0.383203,3.334466
-0.237406,1.180146
1.958827,1.886228
-0.483495,2.915487
-0.449815,1.636247
0.22603,3.606001
-0.373922,2.026187
1.096171,0.677341
-0.027543,4.214636
1.402284,1.359174
0.226479,1.069975
1.032852,1.291065
0.336051,1.080603
1.165626,1.819167
1.022673,2.636467
0.740809,2.53917
-0.376467,2.575993
-0.992436,2.5486
0.958457,1.924847
-0.231419,3.054548
0.646655,2.493664
-0.481249,1.249751
0.700693,0.725092
-0.488584,2.976261
0.600551,0.116009
0.502056,0.806523
0.012274,2.222129
-0.506397,2.65937
0.011676,2.034719
1.16353,1.309926
-0.94738,1.265618
0.296084,3.406167
-0.69231,3.759283
-1.243165,3.614683
0.217647,2.13516
0.678539,0.503553
-0.165406,3.592829
0.522863,0.863405
-0.675396,1.831741
-0.083676,1.311872
0.09116,0.957559
-0.503553,1.791774
-0.523012,1.891616
-0.655337,1.166524
0.472418,2.851121
-0.424218,3.155438
-0.445623,2.806364
-0.100291,2.531236
0.03368,3.324137
-0.146096,0.137564
0.305215,3.929628
-0.782423,4.082011
0.384251,0.943488
1.350791,2.151476
0.473465,0.982856
-0.925825,1.922003
-0.936902,1.873803
-0.821043,0.758024
-0.640518,1.931134
0.016316,1.657653
-0.659678,0.896635
-0.486189,2.3082
0.270338,2.542014
-0.238304,2.089804
0.801433,2.999612
1.125809,0.296982
0.058977,3.194357
-0.201032,3.059188
1.417103,-0.13936
-1.563199,1.829196
0.131726,2.32272
-0.245939,2.363136
