accY,accX,accZ,gyroX,gyroY
2.870581,-0.182021,9.281299,0.118911,-0.089986
3.210673,0.430505,8.113578,-0.028712,-0.222718
2.050735,0.376467,13.846805,-0.190188,0.064184
3.734135,-0.082628,8.149204,0.223399,-0.297662
1.780398,-1.188379,7.291338,0.560777,-0.042686
1.450933,0.065264,7.228917,0.084644,-0.102629
2.515519,-0.261207,6.420449,0.131353,-0.036039
3.757486,-0.775687,11.69488,0.559988,0.302505
2.992577,0.02425,13.048965,-0.572603,0.045886
3.48176,-0.030536,7.886051,-0.245084,-0.250086
2.186054,-0.511037,6.950945,-0.041297,-0.244216
2.20701,-0.304916,6.887777,0.288975,0.045592
-0.132025,2.41403,13.745316,0.578636,-0.544687
2.08696,-1.469045,11.129057,-0.117898,0.112861
1.550027,-0.513732,9.673185,-0.230423,-0.410299
1.873504,-0.783022,9.281449,-0.054286,-0.007327
3.257975,-0.675246,9.238339,-0.091203,0.041982
4.024531,-0.839305,11.421698,0.328838,-0.052679
3.091371,-0.358954,8.432714,0.260763,0.090307
1.415457,0.092508,12.518468,0.231559,-0.186577
0.710123,1.480272,10.415491,-0.580351,-0.019744
1.332379,0.563428,10.292896,0.037938,-0.007357
0.766556,1.921255,10.678195,0.328119,0.037764
0.642763,1.73579,9.841734,0.393025,-0.152892
2.420616,0.352517,11.351644,0.218832,0.154497
2.405498,1.494792,11.336226,0.114108,0.054105
2.936743,-1.252296,9.161548,-0.072375,-0.030447
2.326312,1.021027,8.655152,-0.515739,-0.352208
1.932631,2.152224,9.430838,0.157499,-0.267571
3.974984,0.329465,9.37216,0.139986,-0.11762
2.995122,0.54352,6.684649,-0.403034,0.131247
2.182761,0.844993,12.44512,-0.079457,0.105163
1.951043,-0.37497,6.512058,0.277987,-0.114048
0.627046,-1.411265,10.738369,-0.140931,-0.027135
0.587379,1.199905,8.703202,0.694667,0.542627
3.046465,-1.248105,10.842403,0.322096,-0.008868
2.721341,-0.658032,6.544241,-0.395222,0.23544
4.05387,0.474064,10.75723,0.587948,0.079433
2.611469,0.246388,6.521339,-0.08173,-0.02202
1.958976,-0.330213,6.750961,-0.000271,-0.478161
1.943708,0.202529,7.377409,-0.114331,0.044958
4.793632,-0.23097,8.774154,0.057919,0.092735
1.642684,1.004262,10.139016,-1.142874,-0.402168
2.886597,-0.886457,10.525961,0.274415,-0.022217
2.030677,-0.633782,6.332432,-0.128235,0.122179
0.643212,-0.022304,7.801028,-0.001207,-0.300989
2.648742,-1.391057,10.168504,0.002575,-0.212482
1.427881,1.763633,12.910952,-0.414722,-0.079027
1.799558,-0.50011,7.908055,-0.082749,-0.097345
1.725013,-0.945584,10.191706,0.019237,-0.214816
4.078569,0.329315,11.673026,0.658739,-0.453306
1.556763,0.709674,12.773986,0.13766,-0.188058
3.171006,0.194745,8.686736,-0.169218,-0.165051
0.643811,-0.387544,8.543633,-0.299682,0.260538
2.227817,0.299527,7.015461,0.198651,0.035636
4.308041,-0.032333,11.224409,0.005102,0.164699
1.30334,-0.287253,9.639654,0.026255,0.151364
3.410508,-0.352068,7.716903,0.162923,0.470833
2.059866,-1.170715,9.622141,0.232739,-0.019135
1.69268,-1.266965,8.873098,0.473389,0.529687
3.14496,-0.090861,11.327694,-0.239647,0.303299
3.527115,-0.283361,7.276668,0.149946,-0.217465
2.306703,1.819317,9.799971,0.059739,0.031037
2.154769,0.584834,7.308402,-0.13582,0.146406
2.3802,0.084424,6.96307,0.195685,0.151913
1.06264,0.30761,7.837851,0.027714,-0.119731
2.885849,-0.1684,9.50209,0.773184,0.281864
1.513652,-0.054337,8.091424,0.184128,0.04713
3.223397,-0.877625,12.377461,0.101037,0.00669
2.200275,-0.348475,6.810238,0.164241,0.199065
0.279619,1.028661,11.693234,-0.361235,-0.199982
1.607956,1.387614,8.941805,0.383564,0.183402
1.943708,0.475262,6.983428,-0.220059,0.127416
2.897674,0.111518,7.33804,0.072422,-0.11546
0.762215,1.046174,12.810061,-0.505069,-0.220776
1.736689,0.839454,11.651022,-0.783443,0.163736
1.334026,0.116158,9.161249,-0.125692,0.004359
2.945126,-0.114811,6.048622,-0.050612,-0.15809
2.381098,0.543819,9.095236,-0.094463,-0.152891
0.71162,0.077688,10.912757,-0.463022,0.285903
2.546205,-0.239801,6.728658,0.054871,0.04102
2.354005,-0.281564,7.511679,0.220248,0.007456
1.378184,-0.393532,11.232043,-0.032506,0.490439
3.672313,-0.684676,11.05526,-0.27061,-0.603173
2.297123,1.12042,8.311317,-0.089226,-0.021711
1.403931,0.28351,7.344627,0.301783,0.402835
5.075945,-0.556992,10.986104,0.101188,0.086282
2.759811,-1.080453,9.416917,-0.611699,-0.263823
2.474804,-0.068707,7.787556,0.253834,0.223186
3.560795,-0.034129,8.887319,-0.314701,0.213813
2.73152,-0.021106,9.007519,-0.008164,0.161424
2.191593,-0.89948,10.741214,0.122964,-0.198772
3.658392,0.149389,11.502231,0.287476,0.396772
3.477119,1.228645,12.769645,0.249419,0.253478
3.49119,-0.016017,9.073082,0.081954,0.222494
0.697549,1.977687,9.104068,0.301696,-0.598592
0.869542,0.974623,13.511353,-0.087685,-0.220044
1.318309,0.800984,13.342504,-0.020532,0.099945
3.1017,-0.679287,11.540252,0.06563,0.052379
3.862568,-0.054038,9.095835,0.173659,0.24947
2.690206,-0.00958,13.928685,0.125259,-0.267842
0.94259,-0.915646,10.760972,-0.103894,-0.15808
3.445685,0.290546,7.206464,0.239864,-0.21419
3.447481,-0.238754,8.450826,0.017067,-0.123026
1.132545,-0.912802,11.765533,-0.00596,-0.169249
2.941683,-0.956511,8.830437,0.085587,0.46613
0.673,0.806972,10.830727,0.219622,0.220903
1.355431,-0.584834,8.6318,-0.361244,0.103536
2.479594,-0.357307,12.022549,0.292633,-0.05879
3.560496,-0.136666,6.88613,-0.23234,0.263132
3.768863,-0.389191,12.059073,0.164848,0.035839
3.194058,-0.231269,8.388556,0.241291,0.048407
1.400937,0.176483,8.198152,0.852988,-0.000193
1.585204,0.241298,7.156618,-0.484293,0.07401
3.461552,-0.102537,8.622519,-0.309245,0.434383
0.851879,0.002844,12.375216,0.183886,0.15802
0.652493,0.571512,14.852414,0.839326,0.050018
1.575025,-0.510289,7.439679,0.219638,0.27243
