accX,accY
-0.182021,2.870581
0.430505,3.210673
0.376467,2.050735
-0.082628,3.734135
-1.188379,1.780398
0.065264,1.450933
-0.261207,2.515519
-0.775687,3.757486
0.02425,2.992577
-0.030536,3.48176
-0.511037,2.186054
-0.304916,2.20701
2.41403,-0.132025
-1.469045,2.08696
-0.513732,1.550027
-0.783022,1.873504
-0.675246,3.257975
-0.839305,4.024531
-0.358954,3.091371
0.092508,1.415457
1.480272,0.710123
0.563428,1.332379
1.921255,0.766556
1.73579,0.642763
0.352517,2.420616
1.494792,2.405498
-1.252296,2.936743
1.021027,2.326312
2.152224,1.932631
0.329465,3.974984
0.54352,2.995122
0.844993,2.182761
-0.37497,1.951043
-1.411265,0.627046
1.199905,0.587379
-1.248105,3.046465
-0.658032,2.721341
0.474064,4.05387
0.246388,2.611469
-0.330213,1.958976
0.202529,1.943708
-0.23097,4.793632
1.004262,1.642684
-0.886457,2.886597
-0.633782,2.030677
-0.022304,0.643212
-1.391057,2.648742
1.763633,1.427881
-0.50011,1.799558
-0.945584,1.725013
0.329315,4.078569
0.709674,1.556763
0.194745,3.171006
-0.387544,0.643811
0.299527,2.227817
-0.032333,4.308041
-0.287253,1.30334
-0.352068,3.410508
-1.170715,2.059866
-1.266965,1.69268
-0.090861,3.14496
-0.283361,3.527115
1.819317,2.306703
0.584834,2.154769
0.084424,2.3802
0.30761,1.06264
-0.1684,2.885849
-0.054337,1.513652
-0.877625,3.223397
-0.348475,2.200275
1.028661,0.279619
1.387614,1.607956
0.475262,1.943708
0.111518,2.897674
1.046174,0.762215
0.839454,1.736689
0.116158,1.334026
-0.114811,2.945126
0.543819,2.381098
0.077688,0.71162
-0.239801,2.546205
-0.281564,2.354005
-0.393532,1.378184
-0.684676,3.672313
1.12042,2.297123
0.28351,1.403931
-0.556992,5.075945
-1.080453,2.759811
-0.068707,2.474804
-0.034129,3.560795
-0.021106,2.73152
-0.89948,2.191593
0.149389,3.658392
1.228645,3.477119
-0.016017,3.49119
1.977687,0.697549
0.974623,0.869542
0.800984,1.318309
-0.679287,3.1017
-0.054038,3.862568
-0.00958,2.690206
-0.915646,0.94259
0.290546,3.445685
-0.238754,3.447481
-0.912802,1.132545
-0.956511,2.941683
0.806972,0.673
-0.584834,1.355431
-0.357307,2.479594
-0.136666,3.560496
-0.389191,3.768863
-0.231269,3.194058
0.176483,1.400937
0.241298,1.585204
-0.102537,3.461552
0.002844,0.851879
0.571512,0.652493
-0.510289,1.575025
0.051044,2.456991
-1.118923,1.138832
-0.829874,1.547332
-0.200733,2.780917
1.242865,1.334176
0.774939,2.345173
-0.652793,1.208587
0.911305,1.915567
0.130678,3.402425
0.404459,3.04422
0.179028,1.01459
-0.859213,2.393972
-0.273332,1.190774
0.190105,3.245251
-1.143472,1.460962
1.381028,-0.447569
-0.6013,1.238974
-0.118853,2.362537
-0.309407,1.697171
-0.760568,3.383564
-0.662822,1.563948
-0.057181,2.46223
-0.59157,1.982178
-0.179028,2.593207
1.578018,1.896706
-0.958906,2.435885
-0.856519,3.598367
-0.95232,3.670218
-0.309107,1.204395
-1.324146,2.676883
-1.175356,0.39428
0.75518,1.552871
0.293091,1.454825
-0.701591,1.789978
-0.705184,4.07318
1.723516,0.844095
0.349523,2.139052
-0.051493,2.249971
-0.49547,2.401007
-2.203717,-0.616418
-0.285905,4.022585
0.32722,1.361419
1.569337,0.290246
-0.057031,2.158362
-0.062121,3.230432
1.143173,1.344055
-0.407902,3.182382
0.6013,3.440895
0.123194,4.230503
-0.297282,4.230652
-0.011825,3.47188
-0.401315,3.152744
0.154628,1.456322
-0.792003,2.708767
-0.927471,3.328179
-0.231718,1.727108
-0.094903,2.463427
0.941542,1.510808
-0.685275,2.224973
0.360151,2.628235
-0.039817,2.85172
-0.587079,2.450554
-0.110171,3.901187
0.25492,3.093467
-0.287402,3.627257
0.365989,2.287393
0.369432,1.114582
0.055085,2.344724
0.334854,-0.39907
-0.539029,2.18785
-1.212628,2.591711
0.38455,2.394421
0.334554,3.703149
0.671653,2.431843
0.260758,2.583478
-0.484393,2.384092
-0.248184,1.506916
0.31719,2.699935
-0.332758,2.495311
0.479752,0.959804
0.190554,2.182611
0.813409,0.526455
-0.368833,2.884202
-2.54845,1.671424
0.070952,3.847299
-0.63019,1.368155
-0.002545,2.070644
-0.226928,2.820734
-0.324226,2.689308
0.354463,2.253564
1.146915,1.370251
-0.350721,0.863105
-0.399968,3.268304
0.159269,1.433569
-0.556692,0.628543
-0.506846,2.780917
0.288001,1.661096
-0.584684,2.56312
0.652643,0.973875
-0.276325,3.37563
-0.33201,0.831671
0.098795,3.191513
-0.436941,2.271077
0.049846,1.106948
0.233814,1.45213
-0.709525,3.766767
-0.51942,3.330724
0.771496,1.220113
0.510289,2.206412
0.237257,-0.27408
0.794997,1.024919
-0.065713,1.908531
-0.126936,3.458259
-1.350492,3.894302
1.260229,1.965563
0.592468,0.533042
-0.115859,1.863774
0.511037,1.886228
1.012195,2.182911
-0.567171,1.62996
-0.624651,2.358346
0.427062,1.517844
-0.399669,3.311414
0.454605,1.599873
-0.027692,1.72157
0.765059,1.778601
0.375719,4.19353
-0.91849,2.147584
-1.511557,2.686014
0.582139,2.349963
-0.828976,2.6691
-0.017963,1.845961
1.031954,0.937351
0.528551,1.490301
-0.08173,2.849175
-0.414039,2.255959
0.546663,3.961961
0.824336,2.804119
-0.829874,1.95703
1.282084,2.583927
-0.497715,1.432072
0.98121,2.528242
-0.262404,2.155667
0.833317,1.300645
0.028441,3.052752
-0.278271,2.046993
0.011526,2.636617
0.261506,1.96182
-0.709674,3.021766
0.147743,1.730102
-0.22588,4.250411
-0.083227,2.43828
1.840722,2.949317
-1.551224,2.420018
0.818498,1.21188
-0.996777,3.892505
0.462538,2.917433
-0.021256,2.108815
-0.583786,2.761158
-0.450563,4.030219
0.068408,3.542533
-0.675845,0.980012
0.291145,2.801574
-0.61537,0.292791
-0.191302,0.150737
-0.194595,2.422413
0.327669,1.183738
0.102836,3.976331
-0.268691,2.042054
-0.109123,2.100732
0.664618,3.081791
-0.959804,1.606908
0.207469,1.47608
-0.290546,1.328188
-0.142204,2.953508
-0.426014,1.469794
-0.157622,2.867886
-0.724493,2.480941
0.421523,1.74582
-0.621358,0.234113
-0.045954,1.156794
-0.325872,2.104025
-0.133522,1.989513
-0.652643,5.74161
-0.801882,1.763782
0.353864,2.352358
-1.704955,3.351381
0.268991,2.551444
0.470921,2.099684
0.908311,1.3945
-0.905617,2.780917
-0.494572,0.156125
-1.120869,2.968627
1.669927,1.549578
0.785117,0.58199
0.162412,0.544717
-1.133593,3.716322
-1.579964,1.241668
2.040407,1.340762
0.56747,2.189048
-0.005239,3.46739
-0.93271,1.97185
-0.262853,2.896926
0.47107,1.898652
0.106728,1.890718
-0.214055,2.868485
-0.925076,2.445614
0.167951,2.054029
0.790656,-0.639021
0.128283,2.017804
0.685275,3.500171
0.83661,3.451523
-0.180525,3.599714
-0.37018,2.279011
0.687969,0.652643
0.404758,2.781067
0.808169,0.546663
0.117655,1.84671
0.126637,3.339705
0.801284,4.420757
0.31734,2.906506
0.364791,2.537374
-0.327369,1.966461
1.070274,1.833238
-0.47601,3.887117
0.414937,0.94259
-0.473465,3.193459
-0.585433,0.988245
0.075293,2.225871
-0.52915,1.266816
1.307681,0.148192
-0.570913,2.771487
-0.217049,2.338886
0.112566,2.391128
0.892294,0.708776
-0.597707,1.145867
-1.152004,1.671275
1.329835,1.288521
-0.261057,1.837279
-0.191901,3.415897
0.181423,2.132016
0.385748,2.492617
1.008603,3.922892
-0.269589,1.852847
0.212109,2.052382
0.934806,1.532813
-1.179846,1.849404
1.434617,1.243464
-0.262704,3.04871
0.18741,1.783092
-0.513582,3.354674
1.00007,1.959126
0.167202,2.167792
-0.056283,2.94303
0.352517,2.118245
-0.77883,1.852997
-0.182321,1.651815
1.188079,-0.082329
0.554896,3.18343
-0.251776,0.771496
-0.006586,1.480122
0.422422,1.854344
-1.435814,2.094445
0.136516,2.095792
-0.753234,-0.069007
-0.106429,3.227738
-1.551374,0.455203
-1.44285,1.466351
0.086969,2.016307
-0.360151,1.184038
0.544867,2.059268
0.541723,2.398762
-0.193997,2.913541
-0.838107,1.124162
-0.167801,1.475482
0.212259,2.848277
-0.535736,1.966311
0.356559,1.853895
0.336351,0.193398
-0.193248,2.920427
-0.678389,1.680406
0.084574,3.448678
-1.100212,1.478775
-0.445623,4.61146
-0.239502,2.843188
-0.208516,3.28926
-0.966091,2.297722
-0.213905,3.465294
0.690215,1.042432
0.540825,0.724643
-0.22618,1.372945
0.178579,0.848585
0.184417,-0.381856
1.849853,2.872527
-0.743354,2.204765
-0.330812,2.353406
-0.280367,1.33687
-0.291294,3.613785
-1.367406,0.330962
-0.130529,1.65885
-0.604892,2.095043
0.066462,2.359843
0.725242,2.367028
0.059576,3.792663
-0.063917,0.364193
-0.664768,1.551673
0.203876,0.361648
0.151635,3.301834
-0.541424,1.345103
-0.286953,2.786905
-0.376767,2.804867
0.337997,3.642076
0.858615,0.431553
-0.106129,3.669469
0.428409,1.457818
-0.174687,1.835184
0.933609,2.28889
-0.305215,2.604135
0.071701,1.906136
-0.649948,1.941014
-0.161065,3.310366
-0.310005,2.118395
-0.58199,1.327889
-0.757575,2.727628
0.602048,0.286205
-0.136516,2.331552
0.356858,3.01039
-0.4329,2.29847
0.030087,2.934198
-0.389789,2.616259
0.023052,3.222349
0.313598,1.945654
-0.110171,-0.285756
0.282463,0.627645
-0.396825,1.277444
-0.49053,1.272953
-0.256716,2.886897
-1.134641,3.728447
0.700244,0.945883
0.423469,1.306633
1.739682,1.957479
0.206421,0.48589
0.719554,3.03928
-0.59172,3.300636
-0.058977,3.389701
0.461341,3.276087
0.971929,0.903371
-0.292492,1.884132
-0.404758,2.776726
1.176703,1.070274
-0.728834,1.355132
-0.308059,2.295327
0.248783,1.711691
0.319436,1.351839
0.181572,2.140848
0.233514,1.293909
1.176703,1.443299
-0.372276,2.588866
0.953966,1.814826
-0.385149,1.696422
-1.801504,0.472567
0.059426,1.501827
-0.124391,0.858764
-0.234562,3.119812
-0.720302,2.22183
-0.306113,2.328707
-0.463436,-0.073797
0.087418,2.031725
-0.657133,1.401386
-0.401914,4.160448
0.226629,-0.095202
0.150287,1.891916
0.411494,1.689088
-1.261876,3.014881
1.66873,1.9717
-0.326621,1.535357
-0.803529,2.041754
0.700992,0.853076
-0.679437,1.313818
-0.045505,3.35198
-1.540147,1.344654
1.459016,2.652484
-0.37512,-0.003742
1.544339,2.642455
0.039069,0.708177
0.23576,2.740351
-0.884211,1.913022
-0.732128,2.452051
-0.608634,2.528392
-0.445923,3.591931
-1.181792,3.791915
-1.092279,0.521665
-0.800835,1.055455
0.160017,2.227368
-0.505199,1.825005
-0.315095,1.753154
-1.145717,3.701503
0.29339,3.081193
-0.396974,2.847229
-1.006657,1.7313
-0.909808,1.950145
-0.135319,1.721271
0.640219,1.897604
0.817899,1.952091
-0.481399,1.941463
-0.532892,3.889661
-0.108674,2.84184
-0.583038,4.03441
0.722248,1.524729
0.756676,3.676654
0.293091,3.703149
0.551453,1.658701
0.086221,-0.303269
0.365091,2.29383
-0.248483,3.570375
-0.606389,1.880539
2.413581,1.974843
0.948278,2.579586
-1.382824,2.199227
1.547482,-0.093256
-0.44218,1.752705
-0.203876,3.144361
0.223934,2.83241
-0.541424,-0.443977
0.75997,0.586031
-0.186362,3.111579
0.44263,3.207081
0.47122,2.123335
-1.186582,-0.108824
1.055455,3.142415
-1.110391,3.76033
0.47107,1.583557
1.02896,1.199456
1.829046,1.295855
1.792971,1.388213
0.209415,2.191143
-0.42302,2.491718
1.487157,1.770967
-0.238155,1.93308
-0.137265,3.524122
0.070354,3.060087
0.055684,3.786077
0.458796,0.233365
0.367785,0.42781
0.470023,2.598147
-0.34623,0.820893
-0.389191,2.72658
0.814456,1.786834
0.299078,1.473087
0.459245,2.468068
1.814826,2.907853
-1.360072,3.982319
1.02432,2.410138
-1.235082,2.354454
-0.678689,1.91856
-0.041164,1.047372
-0.427361,1.691033
-0.344883,2.6688
-0.73587,2.972668
0.796643,0.086071
-0.976719,0.177231
0.016915,4.167633
1.189127,1.509012
-0.434097,2.064956
-0.01422,1.948947
-0.067959,-1.17341
-0.457149,3.509302
-0.982407,1.683399
0.214953,0.9378
0.301473,1.395997
0.74515,2.901716
-0.511187,1.555415
-1.019829,-0.067659
0.406405,2.415078
-0.239352,2.436633
0.148342,2.75562
-0.645458,2.557432
0.03847,2.60144
-1.095871,1.177901
0.054636,2.283951
1.035846,1.599574
-0.051044,2.295027
-1.170865,2.523602
-0.847238,2.006877
-0.566272,2.584076
-0.670156,3.151247
2.052083,0.772843
-0.887504,1.560206
2.127077,0.478555
-0.569117,2.148482
1.336271,2.595602
1.058,1.281785
1.258882,1.222358
-0.660277,3.334616
0.058828,3.659141
0.61567,0.502505
-0.274529,1.843267
1.111139,1.703458
0.260009,3.791316
0.84155,1.644929
0.202978,2.100582
1.666035,1.898203
0.218845,2.311344
-0.321831,1.469794
-1.344953,4.684059
-0.250579,3.876489
0.802332,1.503623
-1.326541,1.973197
-0.260458,3.204686
-0.556842,1.64942
-0.419128,2.082769
0.535736,2.376458
1.006208,1.200204
0.518073,1.903741
0.165256,2.316283
0.415835,2.410288
0.027543,1.413062
-0.380509,2.87582
-0.386796,1.584605
0.918939,2.043101
-0.580792,2.278262
-0.433798,4.04414
0.025597,0.424368
0.790207,2.597548
0.71192,1.970652
0.127834,2.508633
-0.623903,5.842201
-0.440085,4.096681
-0.494272,1.58221
0.493075,1.78878
1.059347,2.436184
0.998274,1.781895
0.133373,2.423311
0.397274,1.920057
1.041235,0.600252
-0.425415,2.203119
0.00464,0.090711
0.107477,1.916614
0.844394,1.47623
0.46643,3.889362
-0.974025,3.284769
-0.546663,1.391357
-0.255668,1.15395
-0.560734,0.970133
-0.450264,2.722239
1.168171,2.026037
0.145348,3.400778
0.570314,2.291435
-0.255519,2.768343
1.480122,-0.418829
-0.297881,0.371078
0.202529,2.627187
-0.046553,2.561623
-0.05299,3.404071
-0.852926,0.839305
-0.332908,1.53416
-0.054786,1.794468
-0.292342,1.805994
0.301473,1.25978
0.121547,1.08659
0.233664,3.441044
-1.370101,2.214196
-0.368833,1.550775
0.064666,3.213967
-0.001497,2.459535
0.047152,1.795816
-0.213755,3.108436
1.025068,1.372646
0.756377,0.573008
-0.858615,3.190914
-0.219294,2.210453
-0.634231,1.203647
-0.616568,6.016439
0.335452,1.902394
-0.210013,0.830323
0.065414,0.584385
-1.087489,3.849395
0.531844,4.540209
0.65878,1.768572
0.069905,3.300187
-0.578397,3.901637
1.657952,1.171913
0.90382,2.4046
-0.114961,4.676126
0.175735,3.153193
0.675845,3.272046
0.29324,1.815724
0.501457,1.267863
0.344134,1.905388
-0.311353,1.436413
0.288151,2.692451
0.580493,2.929558
-0.079634,0.394579
-0.253872,0.798739
0.44233,2.302512
1.669927,1.581461
-0.417482,3.58744
0.719254,0.109123
-1.055904,1.538052
0.486488,3.414849
0.60594,0.501607
1.22625,0.035776
-0.453108,3.511398
-1.134341,3.576363
0.006287,1.344205
-0.633183,2.99108
-1.03869,1.701661
0.111069,1.675316
-0.166304,3.116669
-0.074994,4.497098
-0.075443,2.251019
-0.551603,2.732268
0.147892,1.879641
-0.720302,3.085234
0.420775,3.909121
0.602198,-0.152832
-0.225282,2.030977
-0.84619,3.510799
-0.453856,1.107697
0.558339,2.338737
-0.275128,1.296753
-0.404758,3.718717
-0.179776,2.824327
0.147593,4.764442
-0.962349,1.686543
1.137934,1.031355
-1.049917,3.588787
-0.583636,2.786156
1.622027,3.523523
0.266147,3.186573
-0.887953,1.316063
0.845741,1.326691
-1.035846,1.563948
-0.026645,2.522554
0.032782,2.479294
-0.623603,2.347419
-0.250878,1.757196
-0.156724,2.716401
-0.34638,2.969974
0.544717,3.201692
-0.508493,0.448916
-1.206641,2.414479
0.388891,2.211651
-0.15852,1.648073
-0.703088,1.324595
0.098645,1.542393
-0.597258,3.281626
-0.437091,1.923949
-0.69246,2.843637
-0.310903,2.340832
-0.398172,2.328258
0.008532,1.631158
1.064137,1.436862
-0.522414,1.794019
0.884511,1.361718
0.049697,1.422492
-0.328118,2.875969
-0.069306,2.233206
-0.097747,2.834356
0.114362,3.875142
-0.438887,2.533332
-0.046404,3.557951
0.389939,2.950664
0.193997,2.932851
-0.733175,3.598667
-0.69261,2.628534
0.159119,3.397186
0.07694,2.223476
0.024549,2.662513
-0.728086,1.24062
-0.65878,2.967878
-1.343606,4.018992
-0.51957,1.44764
0.888552,1.377136
1.225651,0.090562
-0.227078,2.68796
0.426313,3.87125
0.252076,2.610122
-0.189506,3.515739
0.574954,2.356999
-0.111967,1.967509
0.04805,2.064507
1.337618,0.808319
-0.237107,3.893703
-0.980162,1.390758
-0.636327,1.367706
0.37527,1.00501
0.357756,2.226769
0.201631,2.568958
1.598526,1.161884
-0.564476,2.582579
-0.983305,1.063089
0.731229,2.427951
0.273332,2.745141
-0.742606,3.025209
0.328417,1.61589
-1.115181,2.480192
-0.029938,3.457211
-0.470172,4.466412
-0.082628,1.860331
1.222208,2.069297
0.223186,3.806584
-0.336201,1.955384
0.028441,3.052752
0.207918,4.187243
-0.195493,1.355282
0.439336,0.948128
-0.505349,2.090852
-0.056133,2.119592
0.034129,1.415307
-0.78886,2.380799
0.189057,3.014731
-0.46164,3.170856
-0.412243,0.908161
-0.097597,3.650908
0.129181,3.432961
-1.003513,1.273103
-0.474064,2.152374
-0.138612,2.426155
1.480122,-0.177231
0.79814,0.891696
0.343236,3.147505
0.229922,2.870132
0.176034,2.302811
1.100362,0.580044
0.445773,2.025588
-0.919238,1.859134
-1.391057,2.730322
-0.559536,1.907334
0.826282,0.109422
3.123704,2.694696
-0.323926,1.928589
-0.377066,2.633923
0.271386,1.771117
-1.267414,1.947301
0.272134,0.199535
-3.54433,0.689616
0.155527,3.805985
-0.20672,0.835413
-0.317639,2.625241
-0.347278,2.609374
-0.106878,3.319048
-0.196392,2.401306
0.577948,1.763932
0.314646,2.82298
0.066013,1.806893
-1.23104,1.369502
-0.113614,3.001259
0.013023,0.890947
-0.10598,1.272055
0.712219,2.586022
-0.951721,1.217269
-0.521815,1.419947
-0.866398,3.071313
-0.395328,1.723067
0.07679,4.691544
-0.165406,0.000898
0.463436,1.733545
0.862506,3.167413
0.151036,3.165916
-0.459245,0.288001
-0.653092,1.293161
0.171094,1.149759
0.155826,2.734663
0.815504,0.376018
-0.797542,1.139281
-0.256267,1.431473
0.204026,2.030827
-0.16361,1.440904
0.025896,1.388962
0.606389,1.775159
-0.539778,2.716102
0.20193,1.780996
1.977687,0.053589
-0.595611,3.096611
-0.378712,0.173489
1.283281,0.674198
1.128204,1.851649
-2.326013,3.723507
-0.274978,2.848127
2.261797,2.542762
1.127306,1.858835
-0.100591,3.350333
0.444576,0.030087
-0.203577,4.041895
1.026266,4.161496
-0.263003,3.868106
1.428929,-0.397274
0.974174,2.035767
0.772543,2.485581
-0.348026,2.989433
-0.618813,0.561931
-1.028212,2.494712
0.280517,1.767075
1.752855,0.891097
0.24549,1.530567
0.41838,0.224084
