accY,accX,accZ,gyroX,gyroY
1.610501,1.037193,13.570929,-0.37709,0.279837
1.476979,-0.168549,6.054759,0.043546,-0.505289
1.186433,-0.126786,7.804021,0.000122,0.345243
1.126108,1.126108,13.117522,0.274143,0.02568
1.946852,0.654289,8.438702,-0.206175,0.314649
2.363735,1.292861,9.894125,0.20328,0.152421
0.465083,0.605341,8.073611,0.229085,-0.192632
2.462679,-0.536634,10.315798,-0.20115,0.05575
1.26457,1.093476,9.39177,-0.110807,-0.549128
2.691553,-0.211061,9.003627,0.252193,0.200239
3.794759,-0.549956,8.757539,-0.260065,0.07736
0.977916,-0.457449,6.809939,0.423506,0.048355
1.093027,-0.207169,7.974816,0.117567,0.026652
1.006806,0.184716,10.992691,0.485016,0.026121
1.491648,-0.283061,12.652888,0.065335,0.164204
0.534838,-0.83197,10.697504,0.144786,0.066968
3.057242,0.537682,13.820909,-0.039046,0.137881
0.074096,-0.073797,12.923974,0.428125,-0.183533
3.686384,-0.954864,11.138188,0.2239,0.436576
2.308949,-0.703687,12.467723,0.563678,-0.286328
-0.133373,1.122216,11.133697,0.161351,-0.221953
2.792593,-0.428858,6.582262,-0.2011,-0.181849
2.031276,-0.919238,9.48757,0.131884,0.024213
1.286425,-0.008233,11.739188,-0.445562,-0.260543
1.41381,0.231419,5.8666,0.060145,-0.160249
3.434308,0.914299,9.31468,0.071816,0.378597
3.25573,-0.117955,7.123836,0.128476,0.035641
1.510359,0.294887,11.378887,0.211746,-0.031502
1.424737,-0.006586,6.795569,-0.769005,-0.31004
1.547332,-0.829874,9.249416,0.195853,-0.106077
2.017056,-1.632056,10.795401,-0.370206,0.337795
2.969675,0.97627,11.768976,0.088596,-0.403479
2.725832,0.323328,5.928272,0.054299,-0.12347
2.376159,-0.315993,11.116783,0.128009,-0.100879
3.536845,-0.148342,9.022488,0.013542,-0.235813
0.330962,-0.567919,11.61824,0.037857,-0.427164
2.804418,0.11541,6.705456,0.142962,-0.069145
0.03832,-0.198787,9.952653,-0.06363,-0.522937
1.867367,-0.564177,9.678723,0.057575,-0.16591
0.838407,1.253643,7.877519,-0.595282,-0.747733
4.074976,-0.063767,13.2241,0.262482,-0.361096
0.904569,0.684676,7.668104,-0.144278,-0.031717
1.566043,1.183589,7.52081,-0.122459,0.019026
-0.331561,-0.141156,10.976225,-0.080716,-0.12565
0.660576,0.455652,10.446027,0.182,-0.049135
2.589914,0.117057,7.865693,0.064538,-0.083001
1.301394,-0.920735,12.522958,0.010855,0.044176
2.036515,0.223336,7.745044,-0.159649,0.055319
2.830165,-0.388143,6.837182,0.217553,-0.182665
2.651287,-0.25956,6.571784,-0.163203,0.433188
0.899629,0.059426,7.120842,0.215141,0.14446
2.153272,1.381328,10.927277,-0.33066,-0.372363
-0.88466,3.98651,11.77691,0.211166,-0.152918
3.977379,0.011526,11.657159,0.223874,0.104837
3.77006,0.709674,11.263328,0.153676,-0.274485
2.437831,-1.038091,10.343341,-0.024647,-0.065646
1.219664,-0.266147,11.361973,-0.057494,0.151601
2.616259,-0.389789,6.60247,0.03622,0.015707
2.056873,-0.698897,7.307654,-0.18876,-0.180182
3.256927,0.797841,9.289233,-0.102241,0.298898
1.921704,0.347278,8.921148,-0.166464,0.047532
2.855462,0.623004,9.740395,0.327285,-0.073836
3.965404,-0.405207,11.365266,0.128358,-0.103115
0.613424,0.436642,11.206745,-0.01811,0.005947
0.650397,0.499212,10.216555,0.115813,-0.170971
2.195634,-0.302072,13.570929,-0.113916,0.306475
1.529669,-0.823737,11.052267,-0.043755,0.494242
1.232537,1.624871,8.916059,0.495155,-0.582029
2.380051,-0.516725,6.994056,-0.462173,0.103913
1.174158,1.165626,11.836935,-0.160009,-0.042369
1.989513,-0.748144,9.366772,-0.158497,0.003476
3.068469,0.714015,12.072545,0.272159,-0.001437
2.134861,-0.202828,6.80455,-0.093323,-0.045745
3.442841,-0.204475,12.060121,0.327149,-0.101045
1.999093,0.683778,5.913453,0.22352,0.072374
0.848585,-0.874482,11.875704,-0.311983,0.061423
2.324516,-0.705782,10.22359,-0.1453,-0.140305
0.700992,-1.585653,11.147768,0.142252,-0.303064
2.774331,0.404908,9.805958,-0.039281,0.176523
1.520089,0.348625,7.084767,0.34468,-0.051546
2.854414,-0.342338,9.098679,-0.240785,0.322996
1.427282,3.165617,12.409045,0.095344,-0.164957
2.22632,1.801504,8.940159,0.31144,-0.400048
3.997737,-0.385748,10.401121,0.16449,0.145594
0.862207,0.648302,9.016201,-0.263548,0.230659
3.067421,0.816253,11.486514,0.226133,0.045539
1.960623,-0.091909,6.170319,0.150106,-0.160337
2.458038,-0.317939,6.903644,0.0574,-0.101179
1.695524,0.225132,8.024064,0.071896,0.099932
0.881217,-0.111368,12.331806,0.322933,0.150378
3.545377,-0.344733,8.370144,0.040016,0.196609
1.063389,-0.708327,8.400681,0.239662,0.136413
1.330583,0.870141,14.197227,-0.212244,0.03954
3.008145,-0.640817,11.655812,0.130612,-0.095591
1.286125,0.086221,6.757398,0.256969,-0.06356
2.965184,0.036075,10.122999,-0.039992,0.122654
3.888015,0.806223,12.751982,-0.079011,-0.075707
1.512754,0.288001,10.638228,0.084242,-0.048561
2.487228,0.132475,11.782598,-0.598314,0.420888
1.46171,0.849483,12.8635,-0.844071,-0.641746
3.260819,-0.051343,7.483239,0.194399,0.073555
-0.167651,0.165556,13.160183,0.081207,0.102103
1.716481,0.430205,7.164851,0.27829,0.366869
3.157384,0.002245,6.745722,0.127361,0.182331
3.447481,-0.383053,7.27592,0.138085,0.242529
3.358117,-0.390388,12.289893,0.233147,-0.13227
2.67374,-0.529,12.669055,-0.169887,0.032484
1.231788,-1.609453,9.74758,-0.483575,-0.308971
2.213597,0.977168,12.934602,-0.249326,-0.111486
1.595981,-0.87059,7.647297,0.210245,-0.044536
1.837878,0.910856,11.514206,-0.471913,0.428349
2.02454,0.041015,7.292535,0.093838,0.205154
2.40445,-0.089364,7.454349,0.22211,0.111577
0.160167,-0.47586,13.599669,0.080972,-0.100361
1.22161,0.657433,7.250772,-0.212898,0.308771
1.330134,-0.825533,9.734407,-0.019687,0.040897
-0.287552,-1.000968,12.249477,0.043474,-0.370226
0.935555,-1.492995,10.155332,0.215582,0.160878
2.48124,-0.385598,6.619385,-0.046747,-0.041876
2.012864,-0.408201,8.366851,0.400912,-0.217183
1.277444,-1.657503,11.196567,0.032309,0.050658
3.073858,-0.820743,11.437116,0.149551,-0.279683
0.986299,-0.688568,9.724378,-0.280448,0.695723
2.354304,0.6733,6.979087,0.276017,0.286396
1.409619,-0.093106,6.712342,-0.12933,-0.302249
3.574866,0.112117,7.633376,0.078014,0.265251
