accX,accY
1.037193,1.610501
-0.168549,1.476979
-0.126786,1.186433
1.126108,1.126108
0.654289,1.946852
1.292861,2.363735
0.605341,0.465083
-0.536634,2.462679
1.093476,1.26457
-0.211061,2.691553
-0.549956,3.794759
-0.457449,0.977916
-0.207169,1.093027
0.184716,1.006806
-0.283061,1.491648
-0.83197,0.534838
0.537682,3.057242
-0.073797,0.074096
-0.954864,3.686384
-0.703687,2.308949
1.122216,-0.133373
-0.428858,2.792593
-0.919238,2.031276
-0.008233,1.286425
0.231419,1.41381
0.914299,3.434308
-0.117955,3.25573
0.294887,1.510359
-0.006586,1.424737
-0.829874,1.547332
-1.632056,2.017056
0.97627,2.969675
0.323328,2.725832
-0.315993,2.376159
-0.148342,3.536845
-0.567919,0.330962
0.11541,2.804418
-0.198787,0.03832
-0.564177,1.867367
1.253643,0.838407
-0.063767,4.074976
0.684676,0.904569
1.183589,1.566043
-0.141156,-0.331561
0.455652,0.660576
0.117057,2.589914
-0.920735,1.301394
0.223336,2.036515
-0.388143,2.830165
-0.25956,2.651287
0.059426,0.899629
1.381328,2.153272
3.98651,-0.88466
0.011526,3.977379
0.709674,3.77006
-1.038091,2.437831
-0.266147,1.219664
-0.389789,2.616259
-0.698897,2.056873
0.797841,3.256927
0.347278,1.921704
0.623004,2.855462
-0.405207,3.965404
0.436642,0.613424
0.499212,0.650397
-0.302072,2.195634
-0.823737,1.529669
1.624871,1.232537
-0.516725,2.380051
1.165626,1.174158
-0.748144,1.989513
0.714015,3.068469
-0.202828,2.134861
-0.204475,3.442841
0.683778,1.999093
-0.874482,0.848585
-0.705782,2.324516
-1.585653,0.700992
0.404908,2.774331
0.348625,1.520089
-0.342338,2.854414
3.165617,1.427282
1.801504,2.22632
-0.385748,3.997737
0.648302,0.862207
0.816253,3.067421
-0.091909,1.960623
-0.317939,2.458038
0.225132,1.695524
-0.111368,0.881217
-0.344733,3.545377
-0.708327,1.063389
0.870141,1.330583
-0.640817,3.008145
0.086221,1.286125
0.036075,2.965184
0.806223,3.888015
0.288001,1.512754
0.132475,2.487228
0.849483,1.46171
-0.051343,3.260819
0.165556,-0.167651
0.430205,1.716481
0.002245,3.157384
-0.383053,3.447481
-0.390388,3.358117
-0.529,2.67374
-1.609453,1.231788
0.977168,2.213597
-0.87059,1.595981
0.910856,1.837878
0.041015,2.02454
-0.089364,2.40445
-0.47586,0.160167
0.657433,1.22161
-0.825533,1.330134
-1.000968,-0.287552
-1.492995,0.935555
-0.385598,2.48124
-0.408201,2.012864
-1.657503,1.277444
-0.820743,3.073858
-0.688568,0.986299
0.6733,2.354304
-0.093106,1.409619
0.112117,3.574866
-0.091909,2.46687
0.82688,1.060245
0.069605,3.725902
0.066611,2.981799
-0.099842,2.478845
-0.656834,3.504063
-0.035177,2.74604
-0.103585,2.224075
1.248254,0.827779
-0.264799,2.645299
0.761616,1.867516
0.427511,1.839974
-0.862506,1.566642
-1.415606,1.872756
-0.619861,0.481848
0.092807,1.582958
-0.529,1.79851
0.518222,2.17842
0.564925,3.689827
-0.104483,2.189347
0.683179,1.313968
0.069156,1.493594
0.737666,1.843716
0.190404,2.159709
0.145647,3.184328
-0.657283,1.74088
-0.300874,3.767964
0.157622,4.075724
-0.228874,1.939816
-0.681084,3.62082
-0.489482,3.432213
0.613873,1.148861
1.29855,0.403112
-0.910706,2.721341
-0.160466,2.366878
-1.569337,2.12528
-0.203277,3.464995
0.199535,3.637735
1.516796,1.939816
1.231639,1.3225
-0.129331,1.725761
0.869991,2.387086
1.816173,0.273032
-0.867596,2.895279
-0.433199,2.998115
-0.194446,3.766019
0.276625,1.827101
-0.760568,3.783083
-0.142653,2.561773
-1.119073,1.653611
-0.818049,2.330953
-0.861309,2.158062
0.249232,2.379751
-0.299228,2.864743
-0.404309,2.115551
0.042063,3.59702
-0.320633,1.305735
0.956661,1.417702
0.595761,1.723516
-1.152603,2.284549
-0.896785,2.51492
0.708327,2.068099
-0.364043,2.095492
0.421673,4.135001
0.662522,1.124462
0.810714,4.259991
0.766406,3.45287
1.594185,1.945055
-1.135389,3.4141
-0.476459,3.457959
-0.635429,0.962049
0.479453,2.35161
-0.570464,1.274899
-0.855172,1.327589
-0.671055,2.33694
-0.264949,3.37099
-0.157023,2.313739
-0.129331,2.773732
-0.180225,3.133584
-0.452958,3.086432
1.693578,1.063838
0.470621,2.165846
-0.006886,2.323169
0.6733,0.920885
0.282463,3.576213
0.857567,2.761607
0.450264,3.082989
0.249681,0.380658
0.382155,1.526675
-0.292791,2.865192
-0.099244,2.453248
-0.224084,2.895429
0.271386,1.771117
-0.483644,1.201402
0.756976,2.47166
0.385748,2.801574
-0.039817,4.78495
-0.930315,2.870132
0.049098,3.020419
-0.193398,2.626438
0.634381,0.78871
0.248932,2.226769
-0.179028,4.121679
-1.033601,2.590064
0.574356,1.944307
-1.230741,3.359913
0.903521,1.31262
0.433349,1.315464
-0.51942,2.099833
1.272953,3.579207
-0.23546,2.472858
-0.363744,2.246079
-0.225282,1.694027
0.394729,2.007924
-0.129032,1.119821
1.379531,1.285826
-0.819995,3.474575
1.098715,1.01459
1.063688,1.378633
1.968407,1.300196
-0.412841,3.421136
-0.736469,2.17857
0.685125,2.344874
-0.648302,0.955014
0.429607,-0.090262
-0.445923,0.093406
0.746647,4.374054
1.237776,0.696053
-0.116009,2.338886
-0.705633,2.354155
0.491129,3.066074
0.950972,1.172811
-0.703986,0.869392
0.037422,3.965254
-0.843945,1.405727
0.1443,3.756738
0.221689,3.94804
-0.10568,3.349734
-0.722248,2.420916
1.59164,0.278122
2.668052,1.338966
-0.679138,1.708248
-0.650697,3.475473
0.270937,2.591112
-0.264799,2.815645
-1.379232,1.520239
-0.030387,3.062182
1.607956,1.489702
-0.229473,2.258354
-0.39907,2.154619
0.067061,2.456242
-0.508792,1.488355
0.635429,1.949247
-0.490979,1.532813
0.614472,1.124761
-0.587528,2.548301
-0.39443,3.183879
0.37976,1.416654
-0.540526,2.610422
0.420925,1.773362
-1.13958,4.199367
-0.03832,1.957479
0.466131,3.241809
-0.858315,3.818709
0.996628,0.936004
-0.398771,3.754642
-0.51942,2.93839
0.476459,0.030686
0.290546,2.49591
-1.207539,1.406924
0.542023,1.250949
-0.623004,1.224005
0.814905,1.337618
-0.614921,2.856959
-1.489552,3.899691
-1.060395,1.499282
-0.222737,3.185675
1.059946,1.97185
0.754431,0.837059
-0.307161,1.898801
0.892145,0.638722
0.214803,2.074237
0.38964,4.123775
0.01916,0.82703
-0.022304,4.020938
-0.09595,3.051255
0.499811,2.395618
-0.626447,4.069737
-1.732198,1.322949
1.046474,1.84192
0.63498,0.896336
0.353864,2.954855
-0.088017,1.717379
0.116458,1.526376
-0.04805,2.17363
0.487686,1.706451
-0.061223,3.242258
-0.095801,3.57771
0.607886,2.406096
-0.255369,4.727918
0.258812,2.905308
0.815654,0.739762
-0.361947,1.71184
0.334405,3.292104
-0.50969,3.87604
1.675017,0.349972
-0.30776,2.046844
0.424368,2.826422
0.308359,3.700605
0.523761,1.977987
0.183219,2.916834
0.209864,4.221521
-0.251926,1.207539
0.656834,1.823658
0.358055,2.511328
0.282163,2.685715
0.865051,1.623973
-0.006886,2.424209
0.330662,2.479294
1.021027,2.806214
-0.186512,2.489174
0.264201,1.766926
-0.580792,1.073118
-0.071851,4.784201
0.328267,1.6111
-0.068258,3.736829
0.064965,1.089135
-0.008532,3.52023
-1.763483,2.292333
1.0818,2.488425
-0.622855,2.935396
-0.116158,1.484313
-1.13973,1.847608
0.030237,0.709075
0.76461,2.11091
-0.291145,3.990851
-0.204475,3.43326
0.12993,4.425846
0.371527,1.667233
0.559387,1.989662
-0.216899,3.790418
0.88975,1.330433
-0.476908,0.371677
-0.534838,3.273543
0.06242,1.670077
0.85577,0.985551
-0.531395,0.988993
0.005089,1.021326
-0.017214,2.429298
-0.130229,-0.558189
0.286804,2.876119
1.191822,-0.27423
-0.071701,1.429378
1.454675,1.700464
-0.890349,2.878065
0.677042,0.794697
-0.292791,3.329077
-0.64935,1.96691
0.294887,2.864443
0.204774,1.501677
-0.749342,1.528172
1.080902,1.641487
0.556543,1.653162
-0.501158,3.200345
1.222508,1.637744
-0.349224,2.160607
-0.337099,2.119143
0.962798,2.912643
1.445843,1.849554
-0.477956,3.379522
0.859213,1.92829
0.814905,1.704805
0.101489,0.289049
-0.81266,1.212179
-0.565973,1.966311
-0.984353,3.258873
-0.401016,2.82777
-0.054038,1.256337
-0.563129,2.87582
0.828078,2.5007
-0.547262,3.537743
0.494572,2.76969
0.617915,3.128794
-0.018711,2.970124
0.000449,1.907184
-0.372426,2.335892
-0.004042,1.973496
-0.160317,1.443448
0.030237,2.746938
-0.124092,3.306624
-1.013991,2.273772
0.409099,3.370242
-0.176034,2.807861
-1.238524,1.796564
-0.030686,2.494263
-0.904719,1.74537
-0.352068,3.642974
0.136067,3.47697
1.12521,1.011147
0.576751,2.387834
-0.969085,2.542014
0.043859,4.730164
-0.402363,4.030219
0.237107,1.930535
0.184117,2.556234
0.520617,2.349963
-0.237706,3.438649
-0.045954,3.437901
-0.509989,2.476899
0.850831,1.635798
-1.377885,1.430874
0.249232,4.069438
1.473985,2.04834
0.982856,0.997675
0.537832,2.016606
-0.787961,2.683769
-0.825084,1.955983
0.111518,2.210603
-0.296533,2.658771
0.428708,2.43813
0.134271,3.490891
0.53858,2.362238
0.49038,2.213447
0.445623,3.691024
1.066083,3.02012
-0.461191,1.321153
-0.220791,3.510799
-0.278571,2.724185
-0.729733,1.078657
0.693358,2.178869
0.008383,2.380051
-0.421374,4.402495
-0.165107,2.662962
0.561482,0.234712
1.21188,2.057022
-0.739462,0.793201
-0.211211,2.228566
-0.19699,2.470313
2.112258,2.139052
0.584385,1.224454
-0.37497,2.268682
0.202978,1.634002
-1.296155,2.81774
1.055904,2.367028
-0.146695,4.0874
-0.419577,1.867516
0.088316,2.386338
1.11563,0.248633
0.901126,-0.480501
1.224454,1.802402
-0.392334,1.256786
-1.135389,3.4141
0.087418,1.422043
-0.908012,3.014731
-0.378563,1.028212
-1.171913,3.331173
-0.704285,2.148482
0.076042,2.455194
-0.498314,1.057251
-0.312101,2.491868
0.796943,3.629951
1.212479,1.51964
0.483944,1.979334
0.145348,1.056503
-0.01946,3.879782
-0.041164,0.539628
2.387535,0.112566
0.541125,2.402354
-0.213007,4.233796
-0.087269,2.449656
0.002844,0.851879
0.156874,3.780389
0.793799,1.64927
-0.484991,1.85614
1.0821,1.82755
1.168021,2.487527
-0.767604,1.633403
-0.447569,3.00545
0.757425,0.850082
0.014669,2.186653
0.508193,1.346001
-0.397723,2.983147
0.916394,2.415228
1.866768,2.909051
-1.106649,3.366799
0.568667,2.118844
-1.079405,1.392105
0.08637,1.77905
1.685944,0.337698
0.772244,4.365372
1.301543,1.7313
-1.644331,1.228046
0.657882,3.805087
0.706082,2.938839
-0.263302,3.167862
-0.601749,1.448538
1.068029,3.804189
-0.643961,1.179547
-0.076192,1.224005
0.604144,-0.564326
0.04805,2.452201
