aScore0,aScore1
0.00,1.00
0.00,1.00
0.27,0.73
0.01,0.99
0.02,0.98
0.01,0.99
0.00,1.00
0.03,0.97
0.13,0.87
0.01,0.99
0.30,0.70
0.00,1.00
0.00,1.00
0.01,0.99
0.03,0.97
0.06,0.94
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.36,0.64
0.01,0.99
0.01,0.99
0.02,0.98
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.36,0.64
0.00,1.00
0.02,0.98
0.00,1.00
0.02,0.98
0.00,1.00
0.00,1.00
0.04,0.96
0.24,0.76
0.04,0.96
0.06,0.94
0.00,1.00
0.05,0.95
0.00,1.00
0.00,1.00
0.00,1.00
0.01,0.99
0.10,0.90
0.00,1.00
0.00,1.00
0.18,0.82
0.00,1.00
0.00,1.00
0.00,1.00
0.04,0.96
0.03,0.97
0.00,1.00
0.02,0.98
0.01,0.99
0.10,0.90
0.01,0.99
0.00,1.00
0.01,0.99
0.04,0.96
0.01,0.99
0.01,0.99
0.00,1.00
0.00,1.00
0.06,0.94
0.00,1.00
0.57,0.43
0.01,0.99
0.02,0.98
0.00,1.00
0.00,1.00
0.02,0.98
0.00,1.00
0.01,0.99
0.00,1.00
0.01,0.99
0.02,0.98
0.68,0.32
0.00,1.00
0.31,0.69
0.00,1.00
0.00,1.00
0.45,0.55
0.00,1.00
0.00,1.00
0.21,0.79
0.00,1.00
0.01,0.99
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.00,1.00
0.00,1.00
0.22,0.78
0.00,1.00
0.00,1.00
0.00,1.00
0.16,0.84
0.03,0.97
0.00,1.00
0.06,0.94
0.09,0.91
0.02,0.98
0.01,0.99
0.00,1.00
0.00,1.00
0.00,1.00
0.04,0.96
0.01,0.99
0.00,1.00
0.00,1.00
0.02,0.98
0.00,1.00
0.00,1.00
0.00,1.00
0.06,0.94
0.00,1.00
0.03,0.97
0.00,1.00
0.65,0.35
0.00,1.00
0.02,0.98
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.10,0.90
0.03,0.97
0.00,1.00
0.00,1.00
0.57,0.43
0.00,1.00
0.00,1.00
0.00,1.00
0.25,0.75
0.00,1.00
0.04,0.96
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.01,0.99
0.33,0.67
0.00,1.00
0.02,0.98
0.00,1.00
0.64,0.36
0.08,0.92
0.02,0.98
0.27,0.73
0.02,0.98
0.02,0.98
0.01,0.99
0.00,1.00
0.00,1.00
0.11,0.89
0.34,0.66
0.00,1.00
0.00,1.00
0.02,0.98
0.03,0.97
0.03,0.97
0.01,0.99
0.00,1.00
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.01,0.99
0.00,1.00
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.01,0.99
0.00,1.00
0.53,0.47
0.12,0.88
0.01,0.99
0.00,1.00
0.03,0.97
0.04,0.96
0.00,1.00
0.76,0.24
0.12,0.88
0.06,0.94
0.02,0.98
0.00,1.00
0.04,0.96
0.02,0.98
0.00,1.00
0.00,1.00
0.00,1.00
0.01,0.99
0.01,0.99
0.00,1.00
0.00,1.00
0.00,1.00
0.13,0.87
0.02,0.98
0.00,1.00
0.19,0.81
0.16,0.84
0.03,0.97
0.00,1.00
0.58,0.42
0.29,0.71
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.01,0.99
0.00,1.00
0.02,0.98
0.01,0.99
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.70,0.30
0.01,0.99
0.00,1.00
0.02,0.98
0.32,0.68
0.44,0.56
0.01,0.99
0.00,1.00
0.00,1.00
0.04,0.96
0.01,0.99
0.04,0.96
0.02,0.98
0.00,1.00
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.04,0.96
0.02,0.98
0.00,1.00
0.05,0.95
0.02,0.98
0.03,0.97
0.02,0.98
0.04,0.96
0.00,1.00
0.04,0.96
0.00,1.00
0.00,1.00
0.12,0.88
0.18,0.82
0.45,0.55
0.03,0.97
0.00,1.00
0.04,0.96
0.68,0.32
0.06,0.94
0.03,0.97
0.02,0.98
0.34,0.66
0.00,1.00
0.77,0.23
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.00,1.00
0.10,0.90
0.00,1.00
0.00,1.00
0.05,0.95
0.00,1.00
0.00,1.00
0.01,0.99
0.02,0.98
0.00,1.00
0.00,1.00
0.08,0.92
0.01,0.99
0.01,0.99
0.00,1.00
0.01,0.99
0.00,1.00
0.03,0.97
0.00,1.00
0.00,1.00
0.14,0.86
0.00,1.00
0.00,1.00
0.00,1.00
0.15,0.85
0.00,1.00
0.48,0.52
0.00,1.00
0.00,1.00
0.01,0.99
0.01,0.99
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.13,0.87
0.03,0.97
0.00,1.00
0.00,1.00
0.91,0.09
0.73,0.27
0.00,1.00
0.00,1.00
0.12,0.88
0.00,1.00
0.05,0.95
0.01,0.99
0.38,0.62
0.00,1.00
0.69,0.31
0.03,0.97
0.00,1.00
0.00,1.00
0.00,1.00
0.09,0.91
0.03,0.97
0.01,0.99
0.00,1.00
0.09,0.91
0.00,1.00
0.04,0.96
0.01,0.99
0.01,0.99
0.28,0.72
0.00,1.00
0.90,0.10
0.00,1.00
0.00,1.00
0.01,0.99
0.03,0.97
0.01,0.99
0.01,0.99
0.00,1.00
0.00,1.00
0.06,0.94
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.00,1.00
0.01,0.99
0.10,0.90
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.00,1.00
0.02,0.98
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.02,0.98
0.26,0.74
0.01,0.99
0.03,0.97
0.05,0.95
0.00,1.00
0.58,0.42
0.00,1.00
0.01,0.99
0.63,0.37
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.02,0.98
0.00,1.00
0.02,0.98
0.00,1.00
0.01,0.99
0.01,0.99
0.04,0.96
0.26,0.74
0.03,0.97
0.15,0.85
0.00,1.00
0.01,0.99
0.00,1.00
0.50,0.50
0.00,1.00
0.09,0.91
0.47,0.53
0.21,0.79
0.00,1.00
0.01,0.99
0.04,0.96
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.02,0.98
0.05,0.95
0.03,0.97
0.42,0.58
0.00,1.00
0.02,0.98
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.00,1.00
0.01,0.99
0.11,0.89
0.01,0.99
0.02,0.98
0.00,1.00
0.40,0.60
0.00,1.00
0.15,0.85
0.00,1.00
0.00,1.00
0.04,0.96
0.00,1.00
0.01,0.99
0.03,0.97
0.43,0.57
0.00,1.00
0.07,0.93
0.02,0.98
0.01,0.99
0.86,0.14
0.50,0.50
0.00,1.00
0.18,0.82
0.05,0.95
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.20,0.80
0.00,1.00
0.16,0.84
0.02,0.98
0.02,0.98
0.02,0.98
0.00,1.00
0.00,1.00
0.02,0.98
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.02,0.98
0.01,0.99
0.29,0.71
0.00,1.00
0.13,0.87
0.00,1.00
0.00,1.00
0.00,1.00
0.03,0.97
0.00,1.00
0.00,1.00
0.00,1.00
0.28,0.72
0.00,1.00
0.00,1.00
0.10,0.90
0.00,1.00
0.01,0.99
0.00,1.00
0.34,0.66
0.07,0.93
0.00,1.00
0.00,1.00
0.00,1.00
0.33,0.67
0.17,0.83
0.01,0.99
0.01,0.99
0.00,1.00
0.00,1.00

##### REPEATING... #####

