,Label,Prob0,Prob1,aScore0,aScore1
0,1,0.0001,0.9999,0.0001,0.9999
1,1,0.0,1.0,0.0000,1.0
2,1,0.0451,0.9549,0.0451,0.9549
3,1,0.0014,0.9986,0.0014,0.9986
4,1,0.0034,0.9966,0.0034,0.9966
5,1,0.0018,0.9982,0.0018,0.9982
6,1,0.0004,0.9996,0.0004,0.9996
7,1,0.0035,0.9965,0.0035,0.9965
8,1,0.0189,0.9811,0.0189,0.9811
9,1,0.0017,0.9983,0.0017,0.9983
10,1,0.0613,0.9387,0.0613,0.9387
11,1,0.0001,0.9999,0.0001,0.9999
12,1,0.0,1.0,0.0000,1.0
13,1,0.0019,0.9981,0.0019,0.9981
14,1,0.0037,0.9963,0.0037,0.9963
15,1,0.0086,0.9914,0.0086,0.9914
16,1,0.0,1.0,0.0000,1.0
17,1,0.0002,0.9998,0.0002,0.9998
18,1,0.0001,0.9999,0.0001,0.9999
19,1,0.0003,0.9997,0.0003,0.9997
20,1,0.0003,0.9997,0.0003,0.9997
21,1,0.0622,0.9378,0.0622,0.9378
22,1,0.0009,0.9991,0.0009,0.9991
23,1,0.0017,0.9983,0.0017,0.9983
24,1,0.0021,0.9979,0.0021,0.9979
25,1,0.0003,0.9997,0.0003,0.9997
26,1,0.0,1.0,0.0000,1.0
27,1,0.0,1.0,0.0000,1.0
28,1,0.0003,0.9997,0.0003,0.9997
29,1,0.0001,0.9999,0.0001,0.9999
30,1,0.0855,0.9145,0.0855,0.9145
31,1,0.0004,0.9996,0.0004,0.9996
32,1,0.0032,0.9968,0.0032,0.9968
33,1,0.0,1.0,0.0000,1.0
34,1,0.0023,0.9977,0.0023,0.9977
35,1,0.0,1.0,0.0000,1.0
36,1,0.0001,0.9999,0.0001,0.9999
37,1,0.005,0.995,0.0050,0.995
38,1,0.037,0.963,0.0370,0.963
39,1,0.0049,0.9951,0.0049,0.9951
40,1,0.0095,0.9905,0.0095,0.9905
41,1,0.0,1.0,0.0000,1.0
42,1,0.0055,0.9945,0.0055,0.9945
43,1,0.0001,0.9999,0.0001,0.9999
44,1,0.0001,0.9999,0.0001,0.9999
45,1,0.0,1.0,0.0000,1.0
46,1,0.0012,0.9988,0.0012,0.9988
47,1,0.0132,0.9868,0.0132,0.9868
48,1,0.0,1.0,0.0000,1.0
49,1,0.0,1.0,0.0000,1.0
50,1,0.0236,0.9764,0.0236,0.9764
51,1,0.0,1.0,0.0000,1.0
52,1,0.0001,0.9999,0.0001,0.9999
53,1,0.0,1.0,0.0000,1.0
54,1,0.0056,0.9944,0.0056,0.9944
55,1,0.0042,0.9958,0.0042,0.9958
56,1,0.0001,0.9999,0.0001,0.9999
57,1,0.0039,0.9961,0.0039,0.9961
58,1,0.0014,0.9986,0.0014,0.9986
59,1,0.0152,0.9848,0.0152,0.9848
60,1,0.0013,0.9987,0.0013,0.9987
61,1,0.0001,0.9999,0.0001,0.9999
62,1,0.0008,0.9992,0.0008,0.9992
63,1,0.0064,0.9936,0.0064,0.9936
64,1,0.0019,0.9981,0.0019,0.9981
65,1,0.0007,0.9993,0.0007,0.9993
66,1,0.0,1.0,0.0000,1.0
67,1,0.0006,0.9994,0.0006,0.9994
68,1,0.0089,0.9911,0.0089,0.9911
69,1,0.0002,0.9998,0.0002,0.9998
70,1,0.1744,0.8256,0.1744,0.8256
71,1,0.0022,0.9978,0.0022,0.9978
72,1,0.003,0.997,0.0030,0.997
73,1,0.0004,0.9996,0.0004,0.9996
74,1,0.0001,0.9999,0.0001,0.9999
75,1,0.0031,0.9969,0.0031,0.9969
76,1,0.0,1.0,0.0000,1.0
77,1,0.0013,0.9987,0.0013,0.9987
78,1,0.0001,0.9999,0.0001,0.9999
79,1,0.0012,0.9988,0.0012,0.9988
80,1,0.0022,0.9978,0.0022,0.9978
81,1,0.2024,0.7976,0.2024,0.7976
82,1,0.0,1.0,0.0000,1.0
83,1,0.0667,0.9333,0.0667,0.9333
84,1,0.0001,0.9999,0.0001,0.9999
85,1,0.0,1.0,0.0000,1.0
86,1,0.1108,0.8892,0.1108,0.8892
87,1,0.0002,0.9998,0.0002,0.9998
88,1,0.0001,0.9999,0.0001,0.9999
89,1,0.0382,0.9618,0.0382,0.9618
90,1,0.0001,0.9999,0.0001,0.9999
91,1,0.001,0.999,0.0010,0.999
92,1,0.0,1.0,0.0000,1.0
93,1,0.0004,0.9996,0.0004,0.9996
94,1,0.001,0.999,0.0010,0.999
95,1,0.0005,0.9995,0.0005,0.9995
96,1,0.0002,0.9998,0.0002,0.9998
97,1,0.0006,0.9994,0.0006,0.9994
98,1,0.0376,0.9624,0.0376,0.9624
99,1,0.0001,0.9999,0.0001,0.9999
100,1,0.0001,0.9999,0.0001,0.9999
101,1,0.0001,0.9999,0.0001,0.9999
102,1,0.0295,0.9705,0.0295,0.9705
103,1,0.0041,0.9959,0.0041,0.9959
104,1,0.0004,0.9996,0.0004,0.9996
105,1,0.0098,0.9902,0.0098,0.9902
106,1,0.0142,0.9858,0.0142,0.9858
107,1,0.0032,0.9968,0.0032,0.9968
108,1,0.0012,0.9988,0.0012,0.9988
109,1,0.0,1.0,0.0000,1.0
110,1,0.0001,0.9999,0.0001,0.9999
111,1,0.0005,0.9995,0.0005,0.9995
112,1,0.0072,0.9928,0.0072,0.9928
113,1,0.0015,0.9985,0.0015,0.9985
114,1,0.0,1.0,0.0000,1.0
115,1,0.0004,0.9996,0.0004,0.9996
116,1,0.0041,0.9959,0.0041,0.9959
117,1,0.0005,0.9995,0.0005,0.9995
118,1,0.0,1.0,0.0000,1.0
119,1,0.0001,0.9999,0.0001,0.9999
120,1,0.0103,0.9897,0.0103,0.9897
121,1,0.0003,0.9997,0.0003,0.9997
122,1,0.0051,0.9949,0.0051,0.9949
123,1,0.0001,0.9999,0.0001,0.9999
124,1,0.2065,0.7935,0.2065,0.7935
125,1,0.0002,0.9998,0.0002,0.9998
126,1,0.0043,0.9957,0.0043,0.9957
127,1,0.0001,0.9999,0.0001,0.9999
128,1,0.0001,0.9999,0.0001,0.9999
129,1,0.0002,0.9998,0.0002,0.9998
130,1,0.0002,0.9998,0.0002,0.9998
131,1,0.0225,0.9775,0.0225,0.9775
132,1,0.0048,0.9952,0.0048,0.9952
133,1,0.0,1.0,0.0000,1.0
134,1,0.0003,0.9997,0.0003,0.9997
135,1,0.1581,0.8419,0.1581,0.8419
136,1,0.0003,0.9997,0.0003,0.9997
137,1,0.0,1.0,0.0000,1.0
138,1,0.0,1.0,0.0000,1.0
139,1,0.0376,0.9624,0.0376,0.9624
140,1,0.0001,0.9999,0.0001,0.9999
141,1,0.0063,0.9937,0.0063,0.9937
142,1,0.0001,0.9999,0.0001,0.9999
143,1,0.0002,0.9998,0.0002,0.9998
144,1,0.0001,0.9999,0.0001,0.9999
145,1,0.0,1.0,0.0000,1.0
146,1,0.0005,0.9995,0.0005,0.9995
147,1,0.0004,0.9996,0.0004,0.9996
148,1,0.0009,0.9991,0.0009,0.9991
