accX,accY,accZ,gyroX,gyroY,gyroZ
0.43739,0.50475,8.647218,0.194472,-0.171979,-0.068683
0.203876,2.638862,9.203312,-0.072012,-0.200917,-0.110951
0.32692,2.17378,7.711065,0.385995,0.651148,0.305806
-1.118624,0.214055,9.316925,-0.053597,0.027192,-0.01131
-0.13457,3.525169,7.327562,0.154059,-0.118089,0.141331
-1.996099,2.761008,12.887001,-0.225045,-0.452959,-0.014789
-0.157772,2.643952,13.707894,0.361931,0.162192,0.105098
0.292043,2.965633,8.090825,0.133215,0.057231,0.085694
-0.323477,3.619324,7.231312,-0.0402,-0.081928,-0.320649
0.849034,1.836381,7.399862,-0.215164,0.236357,0.167806
-0.248932,2.581981,12.12299,0.163907,-0.106878,-0.086298
-0.059426,2.456542,6.312224,-0.120676,0.486519,0.029628
0.774639,1.705404,6.170768,-0.030185,0.320861,0.255775
0.478106,1.632655,12.965588,-0.169989,0.07493,0.221162
0.113165,2.467768,11.074121,-0.077444,0.290603,0.181015
1.068179,1.555565,11.583213,0.410474,-0.279603,-0.546596
0.659828,1.948648,9.767488,0.161181,-0.044082,0.070717
0.016316,2.016307,7.801626,-0.125867,0.300509,0.312018
-1.512006,0.727787,9.967922,0.668788,-0.131905,-0.133444
0.024699,3.003804,8.314909,0.01021,-0.114608,-0.21913
-0.053139,1.598376,9.883048,0.078231,-0.033817,-0.08172
-0.286804,1.838177,13.768069,0.270059,-0.195417,-0.054793
-0.778681,2.329606,7.693551,0.144541,0.14363,0.037538
-1.60152,2.749482,10.382559,0.335912,0.560449,0.226279
-0.322729,2.528841,11.285482,-0.522016,-0.336831,0.417972
-0.426164,3.17864,12.318035,0.081075,0.76919,0.070624
1.200803,1.758842,6.650221,-0.204114,-0.35465,-0.023565
-0.467178,3.188969,7.741452,0.343232,-0.264375,0.04655
0.972228,1.852099,6.759044,0.19837,-0.31448,0.214561
2.148183,1.499582,13.618979,-0.380859,-0.109286,0.355882
-0.001198,4.645589,9.753418,-0.32931,-0.053826,-0.243961
-0.754581,2.573299,11.833642,0.349442,-0.235839,-0.028885
-0.749491,1.457818,9.720786,-0.118249,-0.175636,-0.328527
-1.111738,3.378025,11.313324,0.722896,0.766377,0.219001
0.722847,2.302362,7.192693,-0.277529,0.352195,-0.749554
1.342558,2.104025,10.552606,-0.424047,0.001944,-0.164236
0.274828,4.422853,7.82408,0.068098,-0.035296,0.121549
-0.077688,1.162932,7.532636,-0.067259,0.40505,0.212135
0.451611,0.44712,8.056846,0.023402,-0.031769,-0.189435
1.565145,0.168699,10.399774,0.10968,0.086318,-0.081146
-0.640518,3.528013,8.717422,0.436402,-0.279005,0.202711
-0.144001,2.237098,9.985435,0.157809,-0.089884,0.111578
0.95711,1.703757,10.268347,0.024366,0.187192,-0.307925
-0.064067,2.450255,6.20355,0.239137,-0.247044,-0.025435
0.842897,1.632056,12.78177,0.317651,-0.241093,0.221065
-0.01946,3.258424,8.403824,-0.528977,-0.380396,-0.12626
-0.359702,3.255879,8.345745,-0.829497,0.194428,-0.456444
-0.010778,2.396217,6.993906,0.060199,0.113425,-0.028077
0.491428,1.688638,8.241262,-0.377972,-0.051559,-0.000379
-0.933309,2.853366,9.625883,0.220515,0.077616,0.238473
0.042811,0.887804,7.997419,0.100402,-0.080862,0.010166
0.416883,2.017954,9.639505,0.211634,-0.018532,0.23914
0.161814,1.932332,6.737489,-0.067236,0.036707,-0.230142
-0.424068,3.989953,12.636273,0.004726,-0.279331,0.092828
1.301693,2.321073,7.902966,0.677773,-0.332061,0.276015
-0.468975,1.2261,9.702523,-0.004615,0.02045,0.000905
-1.055305,4.252357,8.990305,-0.29451,0.518032,-0.161763
0.845741,1.918411,10.481204,-0.215032,0.158672,0.101509
0.645308,2.759512,14.489569,-0.030654,-0.397275,-0.17287
-0.778082,3.020718,11.975547,0.381727,0.219527,0.13232
0.250579,2.894082,9.478439,-0.104758,0.138813,-0.106849
1.357677,1.911525,13.236674,0.2402,-0.211016,-0.179795
0.003593,3.60675,10.683733,0.02968,-0.073449,0.091999
0.000299,3.457959,9.091494,-0.112506,-0.052056,0.116991
0.047751,0.599503,7.296876,-0.189819,-0.261956,-0.5246
-0.002994,2.970722,5.763465,-0.473764,0.164582,0.092504
1.231938,0.219893,9.630673,-0.718676,-0.377164,0.04305
1.250799,0.074844,10.344838,0.169899,-0.023437,-0.063868
0.64441,0.430654,14.486276,0.163039,-0.26075,-0.018033
0.280517,3.50541,9.513018,0.240466,-0.079196,-0.100171
0.839155,2.5486,9.410181,-0.543763,0.385371,0.187744
0.007934,1.266067,7.045399,0.305562,-0.130606,-0.066866
0.611329,1.232238,5.886509,0.015561,0.153283,0.29168
0.224982,3.136278,10.384056,-0.00889,0.125028,-0.33054
-0.476609,2.931504,10.640922,0.295052,-0.120335,-0.171643
-0.491578,1.768722,7.518266,0.18885,-0.003315,-0.026946
0.890199,1.754052,8.755892,0.132581,-0.044105,0.0409
1.127156,0.35087,10.330767,-0.006661,-0.082258,0.01388
-0.021705,2.430645,7.552544,0.414241,0.166733,-0.282177
-0.297881,1.761387,7.72289,0.02393,0.120808,0.101882
-0.651595,3.312462,11.2765,0.144675,-0.138749,0.109911
0.797841,5.440736,11.256442,0.339028,-0.043963,0.089758
-0.712369,3.134781,9.490714,0.026601,0.249281,0.105505
-0.36569,0.790656,7.792795,0.22542,-0.003311,0.03633
-0.5531,3.025808,11.126063,-0.489333,-0.345609,-0.057474
-0.079485,3.06338,6.264623,0.167855,0.126315,-0.078733
-1.470841,1.011596,9.406439,0.201512,-0.265584,-0.03405
-1.612447,2.219584,9.310938,0.039664,-0.050469,0.32546
0.938997,2.455194,9.249715,0.129988,-0.202586,-0.197667
-0.226778,2.407294,6.911877,-0.124238,0.028789,-0.485336
-1.326841,4.036356,8.581355,-0.275878,0.197155,0.127788
0.740959,1.754501,7.688911,0.326285,0.247043,-0.153834
-1.03869,2.609973,11.683354,0.376741,0.156276,0.043139
0.624052,1.916465,12.658876,0.288303,0.148612,0.056907
-0.26914,2.428101,7.130422,0.002487,0.006032,-0.077427
1.20709,0.691712,11.078462,0.227543,-0.031938,0.312448
1.030457,2.334246,10.260862,-0.040649,-0.001711,-0.351253
-0.181123,1.372346,12.745995,0.141945,-0.045139,0.135085
0.297132,0.40865,10.514884,0.10799,-0.196544,0.05581
-0.040715,1.891766,8.241412,-0.263366,0.302645,-0.310017
-0.236209,0.908611,13.226196,-0.002817,-0.496629,-0.109271
1.016087,2.021696,7.389384,-0.069136,0.039646,0.132184
1.798211,1.598975,9.547895,0.000313,-0.325419,0.248333
0.08158,3.902684,8.847951,0.04407,-0.094927,-0.020896
1.094075,1.239722,10.794054,0.06075,0.096195,-0.369785
-2.20267,-0.797841,13.898747,-0.014744,-0.333045,0.178802
-0.455952,4.401896,11.711346,0.192955,-0.049179,0.102842
-0.76955,4.243975,11.145223,0.210758,-0.052857,0.16619
-0.439935,2.940186,6.822812,0.076255,-0.159508,-0.040868
0.305515,2.42855,9.302106,0.306419,-0.264824,0.386595
0.728236,0.611329,5.68413,-0.147556,-0.102857,0.073223
0.202379,0.15403,10.129436,-0.278999,-0.233265,0.143366
0.311652,2.390828,6.936725,0.374103,-0.126854,0.196853
0.24983,0.86086,9.415121,-0.030674,-0.164933,0.063682
1.090183,0.392035,10.868898,0.016264,-0.00572,-0.071086
1.655258,1.410217,10.048903,-0.284263,0.058843,0.114058
-0.284858,3.402724,7.769743,-1.136755,-0.010087,-0.126393
0.831221,1.76498,9.952803,0.193974,0.005103,0.118182
1.382375,0.247885,7.494914,0.257856,-0.348447,-0.107604
0.720003,3.239414,12.488081,-0.226411,-0.450988,-0.268085
-0.63498,1.178948,9.964928,0.153381,0.023414,0.304969
-0.44742,1.103056,7.284302,-0.948041,-0.358609,-0.04122
0.436193,1.287473,7.360045,-0.439793,-0.390808,0.313231
0.18277,4.168681,11.23324,0.104688,-0.098571,0.060352
-0.604144,1.502276,9.695338,-0.095572,-0.098881,0.09497
-0.751437,2.649341,8.587492,0.131058,0.048872,0.56711
-0.005389,3.13044,5.903723,0.071475,-0.04089,0.196126
0.783171,1.722767,8.109237,0.37253,0.00735,0.063801
-0.152383,2.661615,8.061785,-0.075361,0.015986,0.191175
0.383353,-0.050744,8.404573,-0.303255,-0.154446,-0.117211
-0.585283,2.005829,12.162957,0.052835,-0.271198,0.30753
0.413291,3.838019,7.987839,0.3887,-0.022938,0.281711
0.938399,1.588796,6.057903,0.082474,0.170953,-0.041798
0.72614,3.521876,10.75738,-0.561589,0.307768,-0.4555
-0.318538,2.059417,11.322605,-0.773152,0.020904,-0.102731
0.348326,1.47653,10.722952,0.268321,-0.086543,0.104122
0.700394,1.343157,6.915918,0.131256,0.008064,-0.232643
-1.045127,2.51507,10.624756,-0.132676,-0.225171,0.003163
-0.305066,3.194657,8.276888,-0.194273,0.194,0.03749
-0.421973,2.732268,6.653364,0.082943,-0.058299,0.417148
0.553699,0.778381,15.558197,0.346451,-0.217146,-0.470558
-0.233963,2.452799,9.868229,0.224762,-0.238221,-0.475777
-0.011376,1.184187,11.055111,-0.019054,-0.091433,-0.280777
0.098495,1.281635,6.639593,-0.027472,-0.075648,-0.361095
0.401615,1.222059,6.351741,0.188768,-0.043021,0.253744
0.189057,1.64957,7.349566,0.059722,-0.164111,-0.81842
1.26457,3.894152,12.112662,-0.005615,-0.17062,-0.021227
1.005309,3.522475,12.701238,-0.426672,-0.116722,-0.059486
-1.335672,0.856219,11.540701,0.020281,0.251631,-0.203309
-0.379012,3.742966,7.526648,-0.01068,0.070019,-0.501813
0.005089,2.366279,7.770791,0.097517,-0.141309,-0.019858
0.101938,0.936602,7.783813,-0.298952,0.921731,0.951994
-0.837508,3.373385,9.986034,-0.159476,-0.276443,-0.291451
-0.82703,2.238295,10.103989,-0.448493,-0.112452,0.138186
-1.742676,-0.35596,13.040432,-0.042903,0.119029,0.63045
-0.157772,2.514621,11.241324,0.243785,-0.166285,0.030063
