,Label,Prob0,aScore0,Prob1,aScore1,Prob2,aScore2
0,1,0.2115,0.2115,0.4777,0.4777,0.3107,0.3107
1,1,0.1865,0.1865,0.5066,0.5066,0.307,0.307
2,1,0.2057,0.2057,0.4862,0.4862,0.3081,0.3081
3,1,0.2166,0.2166,0.4954,0.4954,0.2879,0.2879
4,1,0.2191,0.2191,0.4906,0.4906,0.2903,0.2903
5,1,0.1876,0.1876,0.5341,0.5341,0.2782,0.2782
6,1,0.2167,0.2167,0.4886,0.4886,0.2947,0.2947
7,1,0.2038,0.2038,0.5132,0.5132,0.283,0.283
8,1,0.2144,0.2144,0.4909,0.4909,0.2947,0.2947
9,1,0.2194,0.2194,0.473,0.473,0.3076,0.3076
10,1,0.2149,0.2149,0.4901,0.4901,0.295,0.295
11,1,0.2164,0.2164,0.5032,0.5032,0.2804,0.2804
12,1,0.2165,0.2165,0.4898,0.4898,0.2937,0.2937
13,1,0.2146,0.2146,0.5008,0.5008,0.2846,0.2846
14,1,0.2031,0.2031,0.5064,0.5064,0.2906,0.2906
15,1,0.2357,0.2357,0.5327,0.5327,0.2316,0.2316
16,1,0.2077,0.2077,0.4843,0.4843,0.3081,0.3081
17,1,0.2169,0.2169,0.4933,0.4933,0.2898,0.2898
18,1,0.2381,0.2381,0.4667,0.4667,0.2951,0.2951
19,1,0.2236,0.2236,0.4787,0.4787,0.2978,0.2978
20,1,0.224,0.2240,0.4851,0.4851,0.2909,0.2909
21,1,0.2145,0.2145,0.4944,0.4944,0.2911,0.2911
22,1,0.2186,0.2186,0.4849,0.4849,0.2965,0.2965
23,1,0.2345,0.2345,0.4618,0.4618,0.3037,0.3037
24,1,0.2175,0.2175,0.4834,0.4834,0.2991,0.2991
25,1,0.2344,0.2344,0.483,0.483,0.2825,0.2825
26,1,0.2068,0.2068,0.529,0.529,0.2643,0.2643
27,1,0.2028,0.2028,0.4587,0.4587,0.3385,0.3385
28,1,0.2181,0.2181,0.4856,0.4856,0.2963,0.2963
29,1,0.1722,0.1722,0.5428,0.5428,0.2851,0.2851
30,1,0.2117,0.2117,0.476,0.476,0.3123,0.3123
31,1,0.2269,0.2269,0.4751,0.4751,0.298,0.298
32,1,0.2155,0.2155,0.4723,0.4723,0.3121,0.3121
33,1,0.2198,0.2198,0.498,0.498,0.2822,0.2822
34,1,0.2121,0.2121,0.4875,0.4875,0.3004,0.3004
35,1,0.2413,0.2413,0.4866,0.4866,0.2721,0.2721
36,1,0.2175,0.2175,0.4681,0.4681,0.3144,0.3144
37,1,0.2246,0.2246,0.4757,0.4757,0.2997,0.2997
