aScore0,aScore1
0.00,1.00
0.00,1.00
0.07,0.93
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.02,0.98
0.00,1.00
0.08,0.92
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.07,0.93
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.08,0.92
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.06,0.94
0.00,1.00
0.01,0.99
0.00,1.00
0.01,0.99
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.00,1.00
0.03,0.97
0.00,1.00
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.02,0.98
0.00,1.00
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.11,0.89
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.20,0.80
0.00,1.00
0.06,0.94
0.00,1.00
0.00,1.00
0.12,0.88
0.00,1.00
0.00,1.00
0.03,0.97
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.05,0.95
0.00,1.00
0.00,1.00
0.00,1.00
0.04,0.96
0.01,0.99
0.00,1.00
0.01,0.99
0.01,0.99
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.00,1.00
0.00,1.00
0.21,0.79
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.02,0.98
0.00,1.00
0.00,1.00
0.00,1.00
0.17,0.83
0.00,1.00
0.00,1.00
0.00,1.00
0.05,0.95
0.00,1.00
0.01,0.99
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.07,0.93
0.00,1.00
0.00,1.00
0.00,1.00
0.18,0.82
0.01,0.99
0.00,1.00
0.06,0.94
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.02,0.98
0.07,0.93
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.12,0.88
0.01,0.99
0.00,1.00
0.00,1.00
0.01,0.99
0.01,0.99
0.00,1.00
0.30,0.70
0.02,0.98
0.01,0.99
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.00,1.00
0.04,0.96
0.02,0.98
0.00,1.00
0.00,1.00
0.23,0.77
0.04,0.96
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.20,0.80
0.00,1.00
0.00,1.00
0.00,1.00
0.06,0.94
0.10,0.90
0.00,1.00
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.01,0.99
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00
0.00,1.00

##### REPEATING... #####

