score0,score1,class
0.006574,0.993426,1
0.062162,0.937838,1
0.025648,0.974352,1
0.854821,0.145179,0
0.002125,0.997875,1
0.211957,0.788043,1
0.004600,0.995400,1
0.001434,0.998566,1
0.001934,0.998066,1
0.001847,0.998153,1
0.016679,0.983321,1
0.022044,0.977956,1
0.006919,0.993081,1
0.000616,0.999384,1
0.004718,0.995282,1
0.001678,0.998322,1
0.016571,0.983429,1
0.064072,0.935928,1
0.744297,0.255703,0
0.007668,0.992332,1
0.206530,0.793470,1
0.128180,0.871820,1
0.125540,0.874460,1
0.213267,0.786733,1
0.085314,0.914686,1
0.001543,0.998457,1
0.000855,0.999145,1
0.019792,0.980208,1
0.000852,0.999148,1
0.001132,0.998868,1
0.002720,0.997280,1
0.212600,0.787400,1
0.921697,0.078303,0
0.006500,0.993500,1
0.000059,0.999941,1
0.000297,0.999703,1
0.001396,0.998604,1
0.427882,0.572118,1
0.009573,0.990427,1
0.001781,0.998219,1
0.020731,0.979269,1
0.086280,0.913720,1
0.008032,0.991968,1
0.008358,0.991642,1
0.000561,0.999439,1
0.000701,0.999299,1
0.007471,0.992529,1
0.002151,0.997849,1
0.007464,0.992536,1
0.057045,0.942955,1
0.244787,0.755213,1
0.007046,0.992954,1
0.017543,0.982457,1
0.003105,0.996895,1
0.000155,0.999845,1
0.994068,0.005932,0
0.003231,0.996769,1
0.001447,0.998553,1
0.000090,0.999910,1
0.020930,0.979070,1
0.036466,0.963534,1
0.000188,0.999812,1
0.000408,0.999592,1
0.001503,0.998497,1
0.256616,0.743384,1
0.001356,0.998644,1
0.028278,0.971722,1
0.004939,0.995061,1
0.002539,0.997461,1
0.004668,0.995332,1
0.006341,0.993659,1
0.026016,0.973984,1
0.002130,0.997870,1
0.005723,0.994277,1
0.010486,0.989514,1
0.675388,0.324612,0
0.002746,0.997254,1
0.042549,0.957451,1
0.010404,0.989596,1
0.302673,0.697327,1
0.003124,0.996876,1
0.000022,0.999978,1
0.031794,0.968206,1
0.752376,0.247624,0
0.039111,0.960889,1
0.003048,0.996952,1
0.886924,0.113076,0
0.135878,0.864122,1
0.000206,0.999794,1
0.019650,0.980350,1
0.002989,0.997011,1
0.002037,0.997963,1
0.051909,0.948091,1
0.000294,0.999706,1
0.094837,0.905163,1
0.006306,0.993694,1
0.002262,0.997738,1
0.035317,0.964683,1
0.067174,0.932826,1
0.099908,0.900092,1
0.329313,0.670687,1
0.000858,0.999142,1
0.040243,0.959757,1
0.000831,0.999169,1
0.001309,0.998691,1
0.966646,0.033354,0
0.002255,0.997745,1
0.003921,0.996079,1
0.008434,0.991566,1
0.018716,0.981284,1
0.003483,0.996517,1
0.406319,0.593681,1
0.002780,0.997220,1
0.820443,0.179557,0
0.011250,0.988750,1
0.003986,0.996014,1
0.014077,0.985923,1
0.011474,0.988526,1
0.001229,0.998771,1
0.000003,0.999997,1
0.956819,0.043181,0
0.812089,0.187911,0
0.002357,0.997643,1
0.000173,0.999827,1
0.933751,0.066249,0
0.117263,0.882737,1
0.000329,0.999671,1
0.009016,0.990984,1
0.147005,0.852995,1
0.062861,0.937139,1
0.264668,0.735332,1
0.000061,0.999939,1
0.000797,0.999203,1
0.000019,0.999981,1
0.251059,0.748941,1
0.025179,0.974821,1
0.000838,0.999162,1
0.074842,0.925158,1
0.005741,0.994259,1
0.042068,0.957932,1
0.001729,0.998271,1
0.088381,0.911619,1
0.294123,0.705877,1
0.095124,0.904876,1
0.038949,0.961051,1
0.030978,0.969022,1
0.000074,0.999926,1
0.000004,0.999996,1
0.349286,0.650714,1
0.012430,0.987570,1
0.022521,0.977479,1
0.500670,0.499330,0
0.006151,0.993849,1
0.169451,0.830549,1
0.295937,0.704063,1
0.047896,0.952104,1
0.261140,0.738860,1
0.308467,0.691533,1
0.053979,0.946021,1
0.001780,0.998220,1
0.024679,0.975321,1
0.238674,0.761326,1
0.000004,0.999996,1
0.007261,0.992739,1
0.000068,0.999932,1
0.066074,0.933926,1
0.124889,0.875111,1
0.002216,0.997784,1
0.017464,0.982536,1
0.000082,0.999918,1
0.024933,0.975067,1
