score0,score1,score2,score3,score4,score5,class
0.001055,0.998580,0.000268,0.000074,0.000006,0.000016,1
0.000019,0.000041,0.999930,0.000001,0.000002,0.000007,2
0.999963,0.000030,0.000002,0.000001,0.000001,0.000003,0
0.000001,0.000000,0.000001,0.000649,0.000000,0.999349,5
0.000003,0.000001,0.000002,0.999815,0.000173,0.000007,3
0.000027,0.000017,0.000066,0.999628,0.000038,0.000224,3
0.000160,0.000014,0.000035,0.989467,0.010101,0.000223,3
0.000048,0.999922,0.000018,0.000001,0.000003,0.000008,1
0.000001,0.000000,0.000000,0.999972,0.000024,0.000002,3
0.000010,0.999983,0.000001,0.000000,0.000002,0.000003,1
0.999981,0.000009,0.000005,0.000001,0.000001,0.000003,0
0.000005,0.000031,0.999954,0.000001,0.000005,0.000003,2
0.000052,0.000047,0.000044,0.483651,0.515852,0.000353,4
0.000119,0.000004,0.000011,0.996245,0.003562,0.000059,3
0.000011,0.000002,0.999983,0.000001,0.000001,0.000002,2
0.000402,0.999568,0.000005,0.000008,0.000005,0.000011,1
0.999990,0.000002,0.000001,0.000002,0.000001,0.000004,0
0.000098,0.000246,0.999260,0.000031,0.000239,0.000126,2
0.001276,0.000030,0.998624,0.000009,0.000020,0.000040,2
0.000001,0.000001,0.000000,0.000004,0.999989,0.000005,4
0.001349,0.998493,0.000129,0.000002,0.000006,0.000021,1
0.997994,0.001183,0.000635,0.000030,0.000039,0.000119,0
0.000002,0.000001,0.000001,0.000009,0.999983,0.000004,4
0.999930,0.000062,0.000003,0.000000,0.000002,0.000003,0
0.004203,0.015990,0.978931,0.000395,0.000113,0.000368,2
0.000001,0.000000,0.000001,0.000127,0.000000,0.999871,5
0.000060,0.999907,0.000023,0.000002,0.000003,0.000005,1
0.000001,0.000000,0.000001,0.000083,0.000002,0.999913,5
0.000006,0.000002,0.000003,0.999929,0.000036,0.000024,3
0.000002,0.000002,0.000007,0.999971,0.000001,0.000016,3
0.000002,0.000001,0.000001,0.000017,0.000002,0.999977,5
0.000018,0.000009,0.000012,0.999774,0.000091,0.000096,3
0.000006,0.000001,0.000003,0.999964,0.000002,0.000024,3
0.000061,0.999334,0.000563,0.000003,0.000023,0.000016,1
0.000031,0.000037,0.000035,0.967042,0.032639,0.000215,3
0.000030,0.000027,0.000052,0.999655,0.000102,0.000135,3
0.000001,0.000001,0.000001,0.000007,0.999985,0.000005,4
0.999965,0.000008,0.000006,0.000003,0.000005,0.000013,0
0.000027,0.999876,0.000064,0.000004,0.000008,0.000021,1
0.000022,0.000008,0.000017,0.999115,0.000754,0.000085,3
0.000131,0.000019,0.999829,0.000001,0.000009,0.000010,2
0.000065,0.000739,0.999041,0.000021,0.000075,0.000060,2
0.000001,0.000000,0.000000,0.000006,0.999990,0.000003,4
0.000077,0.000065,0.999826,0.000002,0.000013,0.000016,2
0.000001,0.000000,0.000001,0.000236,0.000000,0.999762,5
0.000155,0.999808,0.000009,0.000002,0.000009,0.000016,1
0.999951,0.000036,0.000002,0.000001,0.000003,0.000007,0
0.000313,0.999241,0.000431,0.000001,0.000003,0.000010,1
0.000038,0.000009,0.000010,0.000050,0.999843,0.000051,4
0.000002,0.000000,0.000001,0.000173,0.000001,0.999822,5
0.000000,0.000000,0.000000,0.999996,0.000002,0.000001,3
0.000001,0.000001,0.000001,0.000055,0.999936,0.000006,4
0.000002,0.000001,0.000001,0.000079,0.000002,0.999916,5
0.000023,0.999971,0.000002,0.000001,0.000000,0.000002,1
0.000017,0.000014,0.999964,0.000001,0.000001,0.000003,2
0.000003,0.000001,0.000001,0.000049,0.999936,0.000009,4
0.000006,0.000003,0.000004,0.998675,0.001285,0.000026,3
0.000004,0.000001,0.000001,0.999718,0.000262,0.000013,3
0.000268,0.966277,0.033230,0.000007,0.000134,0.000084,1
0.000004,0.000086,0.999899,0.000001,0.000005,0.000005,2
0.951672,0.000249,0.047968,0.000026,0.000040,0.000044,0
0.000001,0.000000,0.000001,0.000035,0.000001,0.999962,5
0.999591,0.000265,0.000039,0.000005,0.000052,0.000048,0
0.004415,0.003986,0.001205,0.006606,0.976077,0.007712,4
0.000006,0.000015,0.999974,0.000001,0.000001,0.000002,2
0.000032,0.000008,0.000009,0.000501,0.999405,0.000046,4
0.999834,0.000083,0.000046,0.000016,0.000004,0.000017,0
0.000001,0.000004,0.000006,0.999980,0.000001,0.000008,3
0.000001,0.000000,0.000001,0.000062,0.000000,0.999936,5
0.000009,0.999972,0.000007,0.000001,0.000004,0.000008,1
0.000357,0.001135,0.001144,0.398312,0.597341,0.001711,4
0.000001,0.000001,0.000004,0.000536,0.000007,0.999452,5
0.000022,0.000006,0.000005,0.000150,0.999781,0.000036,4
0.000000,0.999987,0.000004,0.000001,0.000005,0.000003,1
0.999987,0.000006,0.000001,0.000003,0.000001,0.000003,0
0.000002,0.000000,0.000001,0.000149,0.000004,0.999844,5
