score0,score1,class
0.000072,0.999928,1
0.000048,0.999952,1
0.000048,0.999952,1
0.000103,0.999897,1
0.000131,0.999869,1
0.000131,0.999869,1
0.000131,0.999869,1
0.000125,0.999875,1
0.000048,0.999952,1
0.000145,0.999855,1
0.000048,0.999952,1
0.000131,0.999869,1
0.000103,0.999897,1
0.007606,0.992394,1
0.000131,0.999869,1
0.000131,0.999869,1
0.000048,0.999952,1
0.000048,0.999952,1
0.000048,0.999952,1
0.000395,0.999605,1
0.000047,0.999953,1
0.000048,0.999952,1
0.000103,0.999897,1
0.000125,0.999875,1
0.000131,0.999869,1
0.000065,0.999935,1
0.000187,0.999813,1
0.000048,0.999952,1
0.000048,0.999952,1
0.000144,0.999856,1
0.000607,0.999393,1
0.000048,0.999952,1
0.000680,0.999320,1
0.000125,0.999875,1
0.000061,0.999939,1
0.000048,0.999952,1
0.000048,0.999952,1
0.000187,0.999813,1
0.000048,0.999952,1
0.022635,0.977365,1
0.000144,0.999856,1
0.000048,0.999952,1
0.000038,0.999962,1
0.000131,0.999869,1
0.000048,0.999952,1
0.000048,0.999952,1
0.000048,0.999952,1
0.000048,0.999952,1
0.000048,0.999952,1
0.001241,0.998759,1
0.000131,0.999869,1
0.000038,0.999962,1
0.000145,0.999855,1
0.000048,0.999952,1
0.000048,0.999952,1
0.000048,0.999952,1
0.000047,0.999953,1
0.000038,0.999962,1
0.000048,0.999952,1
0.000048,0.999952,1
0.000131,0.999869,1
0.000048,0.999952,1
0.000099,0.999901,1
0.000047,0.999953,1
0.000103,0.999897,1
0.000125,0.999875,1
0.000590,0.999410,1
0.000131,0.999869,1
0.000048,0.999952,1
0.000048,0.999952,1
0.000048,0.999952,1
0.000047,0.999953,1
0.000048,0.999952,1
0.000139,0.999861,1
0.000450,0.999550,1
0.000680,0.999320,1
0.000131,0.999869,1
0.000139,0.999861,1
0.005529,0.994471,1
0.000538,0.999462,1
0.000081,0.999919,1
0.000131,0.999869,1
0.000048,0.999952,1
0.000048,0.999952,1
0.000048,0.999952,1
0.000047,0.999953,1
0.000131,0.999869,1
0.022421,0.977579,1
0.022635,0.977365,1
0.000048,0.999952,1
0.000048,0.999952,1
0.000048,0.999952,1
0.000131,0.999869,1
0.000047,0.999953,1
0.000038,0.999962,1
0.000048,0.999952,1
0.000131,0.999869,1
0.000038,0.999962,1
0.000103,0.999897,1
0.000538,0.999462,1
0.000697,0.999303,1
0.000038,0.999962,1
0.000068,0.999932,1
0.000103,0.999897,1
0.000048,0.999952,1
0.000048,0.999952,1
0.000103,0.999897,1
0.000048,0.999952,1
0.000131,0.999869,1
0.000678,0.999322,1
0.000047,0.999953,1
0.000047,0.999953,1
0.001616,0.998384,1
0.000047,0.999953,1
0.000053,0.999947,1
0.000131,0.999869,1
0.000178,0.999822,1
0.000131,0.999869,1
0.000048,0.999952,1
