score0,score1,class
0.000284,0.999716,1
0.999992,0.000008,0
0.999943,0.000057,0
0.999673,0.000327,0
0.000002,0.999998,1
0.000364,0.999636,1
0.000497,0.999503,1
0.000717,0.999283,1
0.999978,0.000022,0
0.000037,0.999963,1
0.999982,0.000018,0
0.000004,0.999996,1
0.000010,0.999990,1
0.000018,0.999982,1
0.999879,0.000121,0
0.000248,0.999752,1
0.999025,0.000975,0
0.999941,0.000059,0
0.999722,0.000278,0
0.000020,0.999980,1
0.999596,0.000404,0
0.000265,0.999735,1
0.000128,0.999872,1
1.000000,0.000000,0
0.999907,0.000093,0
0.000166,0.999834,1
0.999994,0.000006,0
0.999475,0.000525,0
0.999973,0.000027,0
0.000163,0.999837,1
0.000001,0.999999,1
0.999984,0.000016,0
0.999965,0.000035,0
0.000076,0.999924,1
0.000388,0.999612,1
0.999759,0.000241,0
0.999831,0.000169,0
0.999965,0.000035,0
0.999914,0.000086,0
0.000000,1.000000,1
0.999988,0.000012,0
0.999728,0.000272,0
0.999914,0.000086,0
0.009035,0.990965,1
0.999222,0.000778,0
0.999998,0.000002,0
0.000007,0.999993,1
0.999929,0.000071,0
0.000007,0.999993,1
0.999409,0.000591,0
0.000008,0.999992,1
0.000000,1.000000,1
0.999947,0.000053,0
0.999960,0.000040,0
0.999905,0.000095,0
0.999977,0.000023,0
0.000143,0.999857,1
0.000522,0.999478,1
0.000517,0.999483,1
0.999840,0.000160,0
0.997346,0.002654,0
0.000049,0.999951,1
0.999881,0.000119,0
0.000278,0.999722,1
0.000064,0.999936,1
0.000001,0.999999,1
0.999752,0.000248,0
0.999715,0.000285,0
0.999959,0.000041,0
0.999911,0.000089,0
0.999988,0.000012,0
0.000051,0.999949,1
0.999955,0.000045,0
0.999918,0.000082,0
0.000036,0.999964,1
0.999932,0.000068,0
0.000010,0.999990,1
0.000141,0.999859,1
0.000422,0.999578,1
0.000128,0.999872,1
0.999905,0.000095,0
0.000031,0.999969,1
0.000001,0.999999,1
0.000202,0.999798,1
0.999995,0.000005,0
0.000024,0.999976,1
0.000283,0.999717,1
0.000028,0.999972,1
0.000005,0.999995,1
0.999982,0.000018,0
0.000940,0.999060,1
0.000019,0.999981,1
0.000012,0.999988,1
0.999858,0.000142,0
0.999713,0.000287,0
0.999967,0.000033,0
0.000014,0.999986,1
0.999808,0.000192,0
0.000003,0.999997,1
0.999790,0.000210,0
0.000105,0.999895,1
0.999303,0.000697,0
0.000049,0.999951,1
0.000033,0.999967,1
0.000121,0.999879,1
0.000027,0.999973,1
0.000151,0.999849,1
0.000180,0.999820,1
0.000005,0.999995,1
0.999753,0.000247,0
0.999788,0.000212,0
0.999867,0.000133,0
0.999841,0.000159,0
0.999901,0.000099,0
0.999995,0.000005,0
0.999983,0.000017,0
0.999980,0.000020,0
0.000001,0.999999,1
0.000186,0.999814,1
0.000089,0.999911,1
0.000324,0.999676,1
0.000045,0.999955,1
0.999903,0.000097,0
0.999919,0.000081,0
0.000174,0.999826,1
0.999972,0.000028,0
0.000005,0.999995,1
0.000114,0.999886,1
0.000018,0.999982,1
0.999999,0.000001,0
0.000164,0.999836,1
0.999931,0.000069,0
0.000936,0.999064,1
0.999838,0.000162,0
0.000088,0.999912,1
0.999991,0.000009,0
0.999944,0.000056,0
0.000218,0.999782,1
0.000165,0.999835,1
0.001154,0.998846,1
0.001397,0.998603,1
0.000014,0.999986,1
0.000016,0.999984,1
0.999848,0.000152,0
0.000016,0.999984,1
0.999983,0.000017,0
0.999929,0.000071,0
0.000004,0.999996,1
0.000420,0.999580,1
0.000380,0.999620,1
0.000001,0.999999,1
0.999686,0.000314,0
0.000002,0.999998,1
0.000049,0.999951,1
0.999899,0.000101,0
0.999902,0.000098,0
0.999852,0.000148,0
