score0,score1,class
0.145265,0.854735,1
0.018739,0.981261,1
0.012845,0.987155,1
0.670713,0.329287,0
0.022466,0.977534,1
0.166104,0.833896,1
0.042227,0.957773,1
0.004140,0.995860,1
0.050545,0.949455,1
0.053815,0.946185,1
0.050703,0.949297,1
0.030408,0.969592,1
0.039758,0.960242,1
0.034121,0.965879,1
0.024513,0.975487,1
0.035909,0.964091,1
0.044140,0.955860,1
0.086988,0.913012,1
0.895050,0.104950,0
0.009696,0.990304,1
0.192849,0.807151,1
0.640866,0.359134,0
0.339022,0.660978,1
0.166104,0.833896,1
0.110100,0.889900,1
0.089921,0.910079,1
0.043311,0.956689,1
0.096920,0.903080,1
0.053815,0.946185,1
0.056046,0.943954,1
0.008123,0.991877,1
0.227364,0.772636,1
0.838081,0.161919,0
0.036954,0.963046,1
0.005513,0.994487,1
0.005495,0.994505,1
0.008285,0.991715,1
0.551176,0.448824,0
0.083633,0.916367,1
0.063470,0.936530,1
0.151533,0.848467,1
0.113715,0.886285,1
0.039758,0.960242,1
0.030408,0.969592,1
0.034121,0.965879,1
0.008123,0.991877,1
0.046135,0.953865,1
0.042227,0.957773,1
0.039758,0.960242,1
0.050386,0.949614,1
0.284488,0.715512,1
0.014635,0.985365,1
0.214837,0.785163,1
0.089921,0.910079,1
0.005513,0.994487,1
0.849836,0.150164,0
0.036954,0.963046,1
0.044140,0.955860,1
0.002443,0.997557,1
0.123745,0.876255,1
0.015671,0.984329,1
0.048368,0.951632,1
0.008123,0.991877,1
0.008123,0.991877,1
0.466249,0.533751,1
0.011198,0.988802,1
0.063470,0.936530,1
0.063470,0.936530,1
0.083633,0.916367,1
0.008285,0.991715,1
0.002958,0.997042,1
0.326540,0.673460,1
0.051344,0.948656,1
0.011383,0.988617,1
0.129225,0.870775,1
0.816857,0.183143,0
0.037427,0.962573,1
0.063470,0.936530,1
0.030408,0.969592,1
0.586844,0.413156,0
0.128853,0.871147,1
0.001275,0.998725,1
0.112389,0.887611,1
0.777382,0.222618,0
0.177391,0.822609,1
0.023658,0.976342,1
0.871232,0.128768,0
0.366957,0.633043,1
0.004865,0.995135,1
0.080887,0.919113,1
0.094064,0.905936,1
0.037427,0.962573,1
0.081876,0.918124,1
0.044140,0.955860,1
0.149419,0.850581,1
0.094913,0.905087,1
0.005513,0.994487,1
0.486870,0.513130,1
0.176909,0.823091,1
0.267315,0.732685,1
0.623179,0.376821,0
0.014635,0.985365,1
0.035909,0.964091,1
0.006519,0.993481,1
0.051344,0.948656,1
0.846428,0.153572,0
