score0,score1,score2,score3,score4,score5,class
0.005661,0.991444,0.002568,0.000211,0.000036,0.000080,1
0.000113,0.000127,0.999709,0.000002,0.000035,0.000015,2
0.999795,0.000175,0.000011,0.000006,0.000004,0.000009,0
0.000001,0.000001,0.000001,0.001593,0.000000,0.998404,5
0.000013,0.000004,0.000008,0.999397,0.000561,0.000017,3
0.000017,0.000016,0.000044,0.999831,0.000021,0.000070,3
0.000764,0.000174,0.000267,0.934252,0.063660,0.000883,3
0.000078,0.999875,0.000027,0.000002,0.000010,0.000009,1
0.000004,0.000002,0.000004,0.999800,0.000180,0.000009,3
0.000046,0.999910,0.000008,0.000008,0.000014,0.000014,1
0.999803,0.000059,0.000058,0.000018,0.000040,0.000023,0
0.000023,0.000223,0.999701,0.000006,0.000036,0.000012,2
0.000244,0.000175,0.000220,0.647838,0.350624,0.000900,3
0.000393,0.000040,0.000078,0.934759,0.064523,0.000207,3
0.000056,0.000028,0.999862,0.000018,0.000017,0.000019,2
0.001148,0.998657,0.000049,0.000028,0.000067,0.000050,1
0.999950,0.000005,0.000017,0.000009,0.000011,0.000009,0
0.000165,0.000858,0.998480,0.000104,0.000249,0.000144,2
0.005220,0.000235,0.994315,0.000024,0.000126,0.000081,2
0.000015,0.000010,0.000005,0.000119,0.999819,0.000031,4
0.004204,0.995583,0.000160,0.000004,0.000029,0.000020,1
0.994199,0.002753,0.002362,0.000159,0.000247,0.000281,0
0.000018,0.000005,0.000005,0.000047,0.999906,0.000020,4
0.999542,0.000423,0.000013,0.000003,0.000012,0.000008,0
0.006506,0.018024,0.973725,0.000872,0.000421,0.000452,2
0.000001,0.000001,0.000001,0.000788,0.000001,0.999207,5
0.000291,0.999472,0.000139,0.000027,0.000039,0.000030,1
0.000001,0.000001,0.000001,0.000104,0.000008,0.999885,5
0.000028,0.000009,0.000013,0.999740,0.000161,0.000050,3
0.000014,0.000026,0.000073,0.999811,0.000034,0.000042,3
0.000002,0.000002,0.000001,0.000058,0.000008,0.999929,5
0.000023,0.000015,0.000015,0.999798,0.000088,0.000061,3
0.000010,0.000007,0.000010,0.999911,0.000023,0.000039,3
0.000204,0.993647,0.005898,0.000015,0.000173,0.000064,1
0.000198,0.000275,0.000209,0.885442,0.113170,0.000706,3
0.000086,0.000068,0.000102,0.997837,0.001735,0.000171,3
0.000006,0.000005,0.000002,0.000035,0.999939,0.000013,4
0.999457,0.000379,0.000035,0.000041,0.000039,0.000049,0
0.000051,0.999759,0.000058,0.000016,0.000058,0.000059,1
0.000021,0.000012,0.000020,0.998233,0.001652,0.000063,3
0.000208,0.000061,0.999651,0.000005,0.000051,0.000025,2
0.000944,0.010559,0.988029,0.000084,0.000217,0.000167,2
0.000007,0.000007,0.000003,0.000134,0.999829,0.000020,4
0.000275,0.000315,0.999085,0.000008,0.000255,0.000061,2
0.000001,0.000001,0.000001,0.000573,0.000002,0.999422,5
0.001996,0.997870,0.000023,0.000007,0.000079,0.000026,1
0.998779,0.001076,0.000025,0.000011,0.000067,0.000041,0
0.002166,0.993448,0.004241,0.000009,0.000085,0.000052,1
