score0,score1,class
0.002054,0.997946,1
0.999594,0.000406,0
0.999671,0.000329,0
0.987056,0.012944,0
0.000005,0.999995,1
0.002601,0.997399,1
0.003174,0.996826,1
0.001243,0.998757,1
0.999243,0.000757,0
0.000311,0.999689,1
0.999846,0.000154,0
0.000003,0.999997,1
0.000040,0.999960,1
0.000094,0.999906,1
0.999854,0.000146,0
0.005153,0.994847,1
0.993107,0.006893,0
0.997365,0.002635,0
0.998992,0.001008,0
0.000267,0.999733,1
0.997434,0.002566,0
0.001324,0.998676,1
0.001503,0.998497,1
0.999969,0.000031,0
0.998249,0.001751,0
0.002270,0.997730,1
0.999937,0.000063,0
0.997575,0.002425,0
0.999333,0.000667,0
0.001633,0.998367,1
0.000097,0.999903,1
0.999971,0.000029,0
0.999278,0.000722,0
0.000265,0.999735,1
0.002089,0.997911,1
0.998238,0.001762,0
0.999204,0.000796,0
0.998618,0.001382,0
0.998802,0.001198,0
0.000003,0.999997,1
0.999937,0.000063,0
0.999138,0.000862,0
0.999404,0.000596,0
0.015769,0.984231,1
0.998599,0.001401,0
0.999944,0.000056,0
0.000093,0.999907,1
0.998969,0.001031,0
0.000222,0.999778,1
0.993800,0.006200,0
0.000108,0.999892,1
0.000008,0.999992,1
0.998676,0.001324,0
0.999870,0.000130,0
0.998860,0.001140,0
0.999504,0.000496,0
0.000788,0.999212,1
0.006738,0.993262,1
0.006649,0.993351,1
0.999541,0.000459,0
0.969859,0.030141,0
0.000600,0.999400,1
0.998992,0.001008,0
0.001103,0.998897,1
0.000645,0.999355,1
0.000013,0.999987,1
0.996858,0.003142,0
0.995651,0.004349,0
0.998707,0.001293,0
0.999610,0.000390,0
0.999939,0.000061,0
0.000767,0.999233,1
0.999520,0.000480,0
0.999655,0.000345,0
0.000079,0.999921,1
0.999454,0.000546,0
0.000139,0.999861,1
0.001039,0.998961,1
0.002761,0.997239,1
0.001049,0.998951,1
0.997926,0.002074,0
0.000783,0.999217,1
0.000008,0.999992,1
0.004498,0.995502,1
0.999923,0.000077,0
0.000238,0.999762,1
0.001360,0.998640,1
0.000501,0.999499,1
0.000002,0.999998,1
0.999833,0.000167,0
0.009072,0.990928,1
0.000452,0.999548,1
0.000174,0.999826,1
0.999186,0.000814,0
0.998996,0.001004,0
0.999610,0.000390,0
0.000230,0.999770,1
0.997365,0.002635,0
0.000036,0.999964,1
0.999127,0.000873,0
0.001757,0.998243,1
0.996900,0.003100,0
0.000552,0.999448,1
0.000286,0.999714,1
0.001543,0.998457,1
0.000092,0.999908,1
0.000713,0.999287,1
0.002124,0.997876,1
0.000274,0.999726,1
0.998969,0.001031,0
0.998261,0.001739,0
0.995930,0.004070,0
0.998104,0.001896,0
0.998830,0.001170,0
0.999882,0.000118,0
0.999640,0.000360,0
0.999256,0.000744,0
0.000010,0.999990,1
0.000376,0.999624,1
0.001488,0.998512,1
0.002789,0.997211,1
0.000588,0.999412,1
0.999420,0.000580,0
0.999121,0.000879,0
0.000327,0.999673,1
0.999907,0.000093,0
0.000022,0.999978,1
0.000236,0.999764,1
0.000149,0.999851,1
0.999976,0.000024,0
0.000244,0.999756,1
0.999492,0.000508,0
0.013559,0.986441,1
0.992337,0.007663,0
0.002061,0.997939,1
0.999979,0.000021,0
0.999626,0.000374,0
0.000772,0.999228,1
0.000120,0.999880,1
0.005051,0.994949,1
0.017227,0.982773,1
0.000013,0.999987,1
0.000467,0.999533,1
0.999320,0.000680,0
0.000191,0.999809,1
0.999688,0.000312,0
0.998868,0.001132,0
0.000060,0.999940,1
0.000142,0.999858,1
0.002601,0.997399,1
0.000010,0.999990,1
0.999144,0.000856,0
0.000147,0.999853,1
0.000037,0.999963,1
0.998937,0.001063,0
0.998698,0.001302,0
0.998335,0.001665,0
0.000058,0.999942,1
0.000335,0.999665,1
0.999243,0.000757,0
0.998736,0.001264,0
0.005221,0.994779,1
0.999950,0.000050,0
0.998631,0.001369,0
0.997709,0.002291,0
0.994900,0.005100,0
0.000365,0.999635,1
0.995429,0.004571,0
0.999798,0.000202,0
0.000180,0.999820,1
0.001294,0.998706,1
0.999579,0.000421,0
0.997754,0.002246,0
0.990901,0.009099,0
0.000949,0.999051,1
0.000101,0.999899,1
0.000859,0.999141,1
0.997623,0.002377,0
0.999363,0.000637,0
0.000590,0.999410,1
0.000260,0.999740,1
0.000009,0.999991,1
0.000697,0.999303,1
0.999792,0.000208,0
0.001644,0.998356,1
0.999542,0.000458,0
0.999492,0.000508,0
0.000002,0.999998,1
0.001633,0.998367,1
0.999519,0.000481,0
0.995474,0.004526,0
0.000183,0.999817,1
0.994763,0.005237,0
0.003542,0.996458,1
0.000067,0.999933,1
0.000009,0.999991,1
0.000008,0.999992,1
0.000567,0.999433,1
0.999386,0.000614,0
0.000016,0.999984,1
0.001088,0.998912,1
0.000335,0.999665,1
0.001488,0.998512,1
0.000421,0.999579,1
0.999616,0.000384,0
0.999896,0.000104,0
0.999875,0.000125,0
0.001528,0.998472,1
0.001835,0.998165,1
0.999861,0.000139,0
0.000381,0.999619,1
0.001700,0.998300,1
0.003887,0.996113,1
0.999416,0.000584,0
0.999452,0.000548,0
0.000543,0.999457,1
0.000357,0.999643,1
0.998604,0.001396,0
0.003760,0.996240,1
0.000029,0.999971,1
0.000511,0.999489,1
0.000150,0.999850,1
0.002716,0.997284,1
0.999625,0.000375,0
0.999331,0.000669,0
0.994423,0.005577,0
0.999844,0.000156,0
0.002442,0.997558,1
0.000091,0.999909,1
0.999908,0.000092,0
0.998220,0.001780,0
0.000723,0.999277,1
0.999642,0.000358,0
0.002798,0.997202,1
0.997842,0.002158,0
0.972380,0.027620,0
0.000073,0.999927,1
0.995243,0.004757,0
0.998912,0.001088,0
0.001890,0.998110,1
0.998853,0.001147,0
0.990281,0.009719,0
0.002145,0.997855,1
0.000807,0.999193,1
0.000033,0.999967,1
0.001700,0.998300,1
0.995534,0.004466,0
0.002195,0.997805,1
0.994235,0.005765,0
0.000554,0.999446,1
0.000089,0.999911,1
0.999454,0.000546,0
0.999486,0.000514,0
0.000003,0.999997,1
0.000116,0.999884,1
0.000444,0.999556,1
0.999525,0.000475,0
0.001987,0.998013,1
0.003495,0.996505,1
0.010805,0.989195,1
0.999962,0.000038,0
0.000456,0.999544,1
0.000001,0.999999,1
0.999762,0.000238,0
0.000095,0.999905,1
0.999582,0.000418,0
0.999624,0.000376,0
0.000115,0.999885,1
0.056714,0.943286,1
0.999793,0.000207,0
0.000685,0.999315,1
0.000144,0.999856,1
0.999772,0.000228,0
0.000007,0.999993,1
0.998774,0.001226,0
0.008634,0.991366,1
0.003314,0.996686,1
0.993548,0.006452,0
0.999997,0.000003,0
0.998622,0.001378,0
0.999204,0.000796,0
0.999961,0.000039,0
0.995862,0.004138,0
0.000580,0.999420,1
0.000019,0.999981,1
0.999223,0.000777,0
0.999707,0.000293,0
0.998148,0.001852,0
0.000177,0.999823,1
0.999400,0.000600,0
0.999511,0.000489,0
