score0,score1,class
0.008623,0.991377,1
0.116913,0.883087,1
0.023538,0.976462,1
0.831883,0.168117,0
0.002760,0.997240,1
0.148758,0.851242,1
0.006455,0.993545,1
0.003040,0.996960,1
0.003024,0.996976,1
0.002676,0.997324,1
0.028954,0.971046,1
0.013440,0.986560,1
0.007385,0.992615,1
0.000688,0.999312,1
0.011618,0.988382,1
0.001803,0.998197,1
0.017834,0.982166,1
0.064781,0.935219,1
0.805868,0.194132,0
0.021748,0.978252,1
0.370063,0.629937,1
0.128271,0.871729,1
0.122345,0.877655,1
0.233335,0.766665,1
0.120115,0.879885,1
0.002790,0.997210,1
0.000710,0.999290,1
0.022054,0.977946,1
0.000898,0.999102,1
0.000852,0.999148,1
0.005598,0.994402,1
0.198685,0.801315,1
0.904197,0.095803,0
0.012673,0.987327,1
0.000133,0.999867,1
0.001087,0.998913,1
0.002931,0.997069,1
0.533749,0.466251,0
0.023405,0.976595,1
0.004119,0.995881,1
0.017150,0.982850,1
0.124047,0.875953,1
0.011413,0.988587,1
0.007947,0.992053,1
0.000714,0.999286,1
0.001261,0.998739,1
0.008092,0.991908,1
0.002552,0.997448,1
0.004601,0.995399,1
0.101498,0.898502,1
0.137769,0.862231,1
0.008755,0.991245,1
0.042858,0.957142,1
0.007981,0.992019,1
0.000287,0.999713,1
0.990121,0.009879,0
0.009927,0.990073,1
0.002260,0.997740,1
0.000310,0.999690,1
0.032413,0.967587,1
0.071717,0.928283,1
0.000659,0.999341,1
0.000944,0.999056,1
0.002461,0.997539,1
0.233771,0.766229,1
0.002553,0.997447,1
0.031143,0.968857,1
0.008610,0.991390,1
0.001559,0.998441,1
0.008056,0.991944,1
0.006749,0.993251,1
0.049336,0.950664,1
0.002744,0.997256,1
0.011248,0.988752,1
0.045230,0.954770,1
0.679992,0.320008,0
0.003023,0.996977,1
0.028488,0.971512,1
0.016999,0.983001,1
0.478133,0.521867,1
0.005779,0.994221,1
0.000039,0.999961,1
0.060403,0.939597,1
0.784389,0.215611,0
0.068234,0.931766,1
0.006558,0.993442,1
0.873309,0.126691,0
0.198249,0.801751,1
0.000787,0.999213,1
0.031713,0.968287,1
0.005366,0.994634,1
0.004805,0.995195,1
0.041969,0.958031,1
0.000447,0.999553,1
0.222133,0.777867,1
0.010046,0.989954,1
0.005309,0.994691,1
0.061892,0.938108,1
0.081576,0.918424,1
0.119855,0.880145,1
0.464164,0.535836,1
0.001825,0.998175,1
0.057081,0.942919,1
0.000689,0.999311,1
0.002480,0.997520,1
0.973501,0.026499,0
0.003955,0.996045,1
0.008214,0.991786,1
0.011528,0.988472,1
0.020371,0.979629,1
0.003814,0.996186,1
0.654886,0.345114,0
0.002860,0.997140,1
0.882905,0.117095,0
0.025035,0.974965,1
0.009968,0.990032,1
0.018556,0.981444,1
0.023667,0.976333,1
0.003649,0.996351,1
0.000006,0.999994,1
0.956283,0.043717,0
0.781077,0.218923,0
0.004332,0.995668,1
0.000352,0.999648,1
0.929587,0.070413,0
0.161207,0.838793,1
0.000361,0.999639,1
0.010939,0.989061,1
0.115215,0.884785,1
0.102847,0.897153,1
0.300099,0.699901,1
0.000061,0.999939,1
0.000749,0.999251,1
0.000029,0.999971,1
0.394054,0.605946,1
0.050382,0.949618,1
0.001910,0.998090,1
0.081187,0.918813,1
0.005600,0.994400,1
0.030430,0.969570,1
0.002457,0.997543,1
0.152725,0.847275,1
0.445877,0.554123,1
0.148397,0.851603,1
0.044212,0.955788,1
0.054142,0.945858,1
0.000051,0.999949,1
0.000006,0.999994,1
0.586618,0.413382,0
0.022333,0.977667,1
0.018121,0.981879,1
0.295043,0.704957,1
0.014777,0.985223,1
0.282142,0.717858,1
0.279495,0.720505,1
0.049226,0.950774,1
0.375456,0.624544,1
0.360261,0.639739,1
0.100115,0.899885,1
0.002849,0.997151,1
0.034646,0.965354,1
0.363957,0.636043,1
0.000006,0.999994,1
0.010888,0.989112,1
0.000123,0.999877,1
0.035475,0.964525,1
0.189098,0.810902,1
0.001715,0.998285,1
0.032054,0.967946,1
0.000248,0.999752,1
0.026440,0.973560,1
0.011233,0.988767,1
0.004983,0.995017,1
0.002201,0.997799,1
0.057515,0.942485,1
0.031701,0.968299,1
0.002427,0.997573,1
0.002459,0.997541,1
0.040503,0.959497,1
0.870422,0.129578,0
0.245694,0.754306,1
0.682374,0.317626,0
0.023069,0.976931,1
0.038552,0.961448,1
0.291512,0.708488,1
0.109875,0.890125,1
0.297042,0.702958,1
0.606823,0.393177,0
0.000010,0.999990,1
0.059470,0.940530,1
0.014264,0.985736,1
0.007143,0.992857,1
0.000933,0.999067,1
0.025387,0.974613,1
0.000004,0.999996,1
0.007913,0.992087,1
0.002779,0.997221,1
0.155433,0.844567,1
0.001044,0.998956,1
0.005453,0.994547,1
0.030192,0.969808,1
0.001707,0.998293,1
0.846133,0.153867,0
0.001151,0.998849,1
0.000721,0.999279,1
0.073976,0.926024,1
0.026805,0.973195,1
0.002274,0.997726,1
0.041474,0.958526,1
0.505604,0.494396,0
0.006421,0.993579,1
0.004638,0.995362,1
0.018222,0.981778,1
0.266054,0.733946,1
0.016504,0.983496,1
0.000011,0.999989,1
0.812417,0.187583,0
0.011052,0.988948,1
0.018688,0.981312,1
0.335976,0.664024,1
0.005387,0.994613,1
0.013190,0.986810,1
0.044994,0.955006,1
0.328813,0.671187,1
0.127379,0.872621,1
0.007973,0.992027,1
0.985642,0.014358,0
0.561553,0.438447,0
0.092354,0.907646,1
0.245241,0.754759,1
0.170544,0.829456,1
0.000592,0.999408,1
0.000221,0.999779,1
0.000870,0.999130,1
0.019889,0.980111,1
0.263278,0.736722,1
0.017696,0.982304,1
0.001333,0.998667,1
0.077993,0.922007,1
0.006495,0.993505,1
0.876631,0.123369,0
0.000084,0.999916,1
0.033623,0.966377,1
0.208779,0.791221,1
0.005288,0.994712,1
0.499363,0.500637,1
0.001133,0.998867,1
0.000480,0.999520,1
0.673663,0.326337,0
0.005000,0.995000,1
0.000525,0.999475,1
0.848068,0.151932,0
0.005542,0.994458,1
0.868160,0.131840,0
0.512509,0.487491,0
0.292099,0.707901,1
0.137391,0.862609,1
0.010171,0.989829,1
0.145020,0.854980,1
0.006135,0.993865,1
0.095353,0.904647,1
0.002089,0.997911,1
0.197610,0.802390,1
0.293089,0.706911,1
0.002692,0.997308,1
0.004397,0.995603,1
0.000474,0.999526,1
0.003133,0.996867,1
0.542002,0.457998,0
0.004098,0.995902,1
0.007456,0.992544,1
0.747737,0.252263,0
0.000181,0.999819,1
0.070137,0.929863,1
0.011644,0.988356,1
0.001415,0.998585,1
0.010788,0.989212,1
0.395942,0.604058,1
0.804092,0.195908,0
0.004083,0.995917,1
0.027852,0.972148,1
0.000701,0.999299,1
0.004889,0.995111,1
0.023852,0.976148,1
0.003150,0.996850,1
0.021806,0.978194,1
0.379122,0.620878,1
0.029358,0.970642,1
0.164506,0.835494,1
0.007800,0.992200,1
0.033609,0.966391,1
0.000753,0.999247,1
0.000178,0.999822,1
0.001460,0.998540,1
0.340796,0.659204,1
0.463247,0.536753,1
0.151340,0.848660,1
0.029520,0.970480,1
0.009129,0.990871,1
0.075921,0.924079,1
0.001311,0.998689,1
0.041222,0.958778,1
0.023173,0.976827,1
0.003560,0.996440,1
0.991763,0.008237,0
0.320519,0.679481,1
0.048461,0.951539,1
0.000113,0.999887,1
0.244926,0.755074,1
0.134758,0.865242,1
0.001158,0.998842,1
0.097908,0.902092,1
0.242197,0.757803,1
0.000017,0.999983,1
0.014963,0.985037,1
0.027695,0.972305,1
0.001504,0.998496,1
0.029671,0.970329,1
0.875974,0.124026,0
0.001353,0.998647,1
0.035906,0.964094,1
0.631667,0.368333,0
0.000471,0.999529,1
0.063521,0.936479,1
0.131283,0.868717,1
0.694968,0.305032,0
0.004729,0.995271,1
0.946826,0.053174,0
0.027947,0.972053,1
0.119194,0.880806,1
0.005993,0.994007,1
0.010797,0.989203,1
0.001898,0.998102,1
0.159203,0.840797,1
0.430932,0.569068,1
0.007012,0.992988,1
0.014940,0.985060,1
0.001205,0.998795,1
0.001067,0.998933,1
0.021516,0.978484,1
0.018610,0.981390,1
0.020500,0.979500,1
0.066048,0.933952,1
0.002873,0.997127,1
0.244607,0.755393,1
0.074179,0.925821,1
0.008726,0.991274,1
0.619978,0.380022,0
0.010611,0.989389,1
0.000799,0.999201,1
0.897734,0.102266,0
0.105645,0.894355,1
0.927710,0.072290,0
0.353569,0.646431,1
0.002790,0.997210,1
0.000123,0.999877,1
0.004565,0.995435,1
0.000974,0.999026,1
0.022760,0.977240,1
