score0,score1,score2,score3,score4,score5,class
0.001475,0.997824,0.000570,0.000059,0.000041,0.000030,1
0.000001,0.000002,0.999994,0.000000,0.000001,0.000001,2
0.999988,0.000011,0.000000,0.000000,0.000000,0.000000,0
0.000000,0.000000,0.000001,0.000237,0.000000,0.999762,5
0.000001,0.000000,0.000001,0.999850,0.000143,0.000005,3
0.000003,0.000001,0.000012,0.999938,0.000003,0.000043,3
0.000223,0.000012,0.000061,0.979765,0.019407,0.000533,3
0.000005,0.999988,0.000002,0.000000,0.000002,0.000003,1
0.000000,0.000000,0.000000,0.999996,0.000002,0.000001,3
0.000011,0.999973,0.000001,0.000002,0.000007,0.000007,1
0.999986,0.000005,0.000001,0.000001,0.000004,0.000003,0
0.000001,0.000002,0.999994,0.000000,0.000001,0.000001,2
0.000113,0.000019,0.000044,0.813089,0.186012,0.000724,3
0.000191,0.000002,0.000031,0.989070,0.010601,0.000104,3
0.000010,0.000001,0.999984,0.000001,0.000003,0.000002,2
0.002582,0.997274,0.000033,0.000049,0.000016,0.000046,1
0.999998,0.000000,0.000001,0.000000,0.000001,0.000001,0
0.000017,0.000794,0.999069,0.000018,0.000045,0.000057,2
0.000414,0.000010,0.999553,0.000006,0.000007,0.000010,2
0.000005,0.000001,0.000000,0.000016,0.999967,0.000012,4
0.002813,0.996892,0.000232,0.000012,0.000014,0.000036,1
0.996892,0.001035,0.001629,0.000022,0.000254,0.000168,0
0.000000,0.000000,0.000000,0.000001,0.999997,0.000001,4
0.999976,0.000022,0.000000,0.000000,0.000001,0.000001,0
0.000094,0.001952,0.997880,0.000016,0.000020,0.000039,2
0.000000,0.000000,0.000001,0.000067,0.000000,0.999932,5
0.000020,0.999954,0.000005,0.000002,0.000009,0.000011,1
0.000000,0.000000,0.000000,0.000154,0.000000,0.999845,5
0.000006,0.000001,0.000004,0.999933,0.000012,0.000045,3
0.000001,0.000001,0.000025,0.999930,0.000011,0.000031,3
0.000000,0.000000,0.000000,0.000045,0.000003,0.999951,5
0.000002,0.000000,0.000001,0.999963,0.000016,0.000016,3
0.000001,0.000000,0.000001,0.999989,0.000000,0.000009,3
0.000018,0.999047,0.000916,0.000001,0.000011,0.000007,1
0.000011,0.000006,0.000005,0.974032,0.025861,0.000085,3
0.000010,0.000020,0.000088,0.998793,0.000727,0.000362,3
0.000000,0.000000,0.000000,0.000000,0.999999,0.000001,4
0.999974,0.000009,0.000000,0.000001,0.000008,0.000007,0
0.000010,0.999908,0.000013,0.000015,0.000015,0.000040,1
0.000009,0.000001,0.000004,0.999794,0.000159,0.000034,3
0.000019,0.000004,0.999973,0.000000,0.000002,0.000002,2
0.000099,0.004541,0.995215,0.000014,0.000084,0.000047,2
0.000001,0.000000,0.000000,0.000005,0.999990,0.000004,4
0.000057,0.000039,0.999863,0.000002,0.000023,0.000016,2
0.000000,0.000000,0.000000,0.000134,0.000000,0.999865,5
0.000016,0.999982,0.000000,0.000000,0.000000,0.000001,1
0.999981,0.000015,0.000000,0.000001,0.000001,0.000002,0
0.000137,0.999480,0.000344,0.000008,0.000016,0.000015,1
0.000008,0.000009,0.000002,0.000035,0.999906,0.000040,4
0.000000,0.000000,0.000000,0.000152,0.000000,0.999847,5
0.000000,0.000000,0.000000,0.999997,0.000001,0.000002,3
0.000000,0.000000,0.000000,0.000003,0.999995,0.000002,4
0.000000,0.000000,0.000000,0.000115,0.000001,0.999883,5
0.000001,0.999998,0.000000,0.000000,0.000001,0.000000,1
0.000011,0.000002,0.999983,0.000000,0.000002,0.000002,2
0.000002,0.000001,0.000001,0.000028,0.999954,0.000015,4
0.000007,0.000002,0.000002,0.995037,0.004921,0.000031,3
0.000016,0.000002,0.000001,0.997990,0.001951,0.000040,3
0.000333,0.969277,0.030027,0.000002,0.000319,0.000042,1
0.000005,0.000451,0.999530,0.000003,0.000003,0.000008,2
0.973457,0.000064,0.026432,0.000004,0.000022,0.000021,0
0.000000,0.000000,0.000000,0.000238,0.000000,0.999761,5
0.998108,0.001544,0.000106,0.000008,0.000133,0.000101,0
0.004257,0.000181,0.000187,0.001093,0.991270,0.003012,4
0.000001,0.000006,0.999989,0.000000,0.000002,0.000002,2
0.000022,0.000009,0.000011,0.003595,0.996264,0.000099,4
0.999496,0.000321,0.000049,0.000023,0.000064,0.000047,0
0.000000,0.000001,0.000014,0.999974,0.000000,0.000011,3
0.000000,0.000000,0.000000,0.000042,0.000000,0.999957,5
0.000001,0.999996,0.000000,0.000000,0.000001,0.000001,1
0.000156,0.000031,0.000105,0.195286,0.803729,0.000694,4
0.000000,0.000000,0.000000,0.000206,0.000006,0.999787,5
0.000040,0.000002,0.000002,0.000145,0.999758,0.000054,4
0.000000,0.999998,0.000001,0.000000,0.000000,0.000001,1
0.999997,0.000001,0.000000,0.000001,0.000000,0.000001,0
0.000000,0.000000,0.000000,0.000152,0.000001,0.999847,5
0.999996,0.000002,0.000001,0.000000,0.000001,0.000001,0
0.000000,0.000022,0.999976,0.000000,0.000001,0.000001,2
0.000001,0.000000,0.999997,0.000000,0.000001,0.000000,2
0.000144,0.000122,0.000018,0.000070,0.999184,0.000462,4
0.000001,0.000000,0.000000,0.000003,0.000030,0.999966,5
0.000022,0.000022,0.000007,0.000080,0.999768,0.000101,4
0.000001,0.000000,0.000000,0.000438,0.000000,0.999561,5
0.999901,0.000008,0.000060,0.000009,0.000004,0.000017,0
0.000002,0.999990,0.000002,0.000001,0.000002,0.000003,1
0.000000,0.000001,0.999998,0.000000,0.000000,0.000000,2
0.000013,0.000001,0.000041,0.999889,0.000001,0.000054,3
0.999383,0.000218,0.000015,0.000021,0.000243,0.000121,0
0.000000,0.999976,0.000021,0.000000,0.000001,0.000001,1
