score0,score1,class
0.000292,0.999708,1
0.999992,0.000008,0
0.999918,0.000082,0
0.999341,0.000659,0
0.000000,1.000000,1
0.000871,0.999129,1
0.000715,0.999285,1
0.000003,0.999997,1
0.999706,0.000294,0
0.000262,0.999738,1
0.999888,0.000112,0
0.000001,0.999999,1
0.000032,0.999968,1
0.000001,0.999999,1
0.999899,0.000101,0
0.002870,0.997130,1
0.999793,0.000207,0
0.999969,0.000031,0
0.999735,0.000265,0
0.000028,0.999972,1
0.999438,0.000562,0
0.000040,0.999960,1
0.000820,0.999180,1
1.000000,0.000000,0
0.999960,0.000040,0
0.013724,0.986276,1
0.999986,0.000014,0
0.999481,0.000519,0
0.999889,0.000111,0
0.001541,0.998459,1
0.000045,0.999955,1
0.999999,0.000001,0
0.999852,0.000148,0
0.000000,1.000000,1
0.000585,0.999415,1
0.999556,0.000444,0
0.999777,0.000223,0
0.999150,0.000850,0
0.999874,0.000126,0
0.000000,1.000000,1
0.999934,0.000066,0
0.999965,0.000035,0
0.999941,0.000059,0
0.000871,0.999129,1
0.999965,0.000035,0
1.000000,0.000000,0
0.000065,0.999935,1
0.999950,0.000050,0
0.000087,0.999913,1
0.999970,0.000030,0
0.000013,0.999987,1
0.000011,0.999989,1
0.999764,0.000236,0
0.999999,0.000001,0
0.999717,0.000283,0
0.999992,0.000008,0
0.000228,0.999772,1
0.001106,0.998894,1
0.000075,0.999925,1
0.999966,0.000034,0
0.994020,0.005980,0
0.000013,0.999987,1
0.999996,0.000004,0
0.000399,0.999601,1
0.000021,0.999979,1
0.000000,1.000000,1
0.998734,0.001266,0
0.999849,0.000151,0
0.999932,0.000068,0
0.999980,0.000020,0
0.999998,0.000002,0
0.000389,0.999611,1
0.999998,0.000002,0
0.999939,0.000061,0
0.000000,1.000000,1
0.999968,0.000032,0
0.000002,0.999998,1
0.000059,0.999941,1
0.000606,0.999394,1
0.000221,0.999779,1
0.999351,0.000649,0
0.000496,0.999504,1
0.000007,0.999993,1
0.006982,0.993018,1
1.000000,0.000000,0
0.000109,0.999891,1
0.000397,0.999603,1
0.000039,0.999961,1
0.000075,0.999925,1
0.999993,0.000007,0
0.000224,0.999776,1
0.000061,0.999939,1
0.000025,0.999975,1
0.999543,0.000457,0
0.999996,0.000004,0
0.999952,0.000048,0
0.000001,0.999999,1
0.999958,0.000042,0
0.000015,0.999985,1
0.999980,0.000020,0
0.000490,0.999510,1
0.999594,0.000406,0
0.000095,0.999905,1
0.000071,0.999929,1
0.000211,0.999789,1
0.000001,0.999999,1
0.000037,0.999963,1
0.001881,0.998119,1
0.000009,0.999991,1
0.999978,0.000022,0
0.999576,0.000424,0
0.999936,0.000064,0
0.996557,0.003443,0
0.999936,0.000064,0
0.999994,0.000006,0
0.999837,0.000163,0
0.999925,0.000075,0
0.000000,1.000000,1
0.000044,0.999956,1
0.000434,0.999566,1
0.000128,0.999872,1
0.001959,0.998041,1
0.999898,0.000102,0
0.999965,0.000035,0
0.000015,0.999985,1
1.000000,0.000000,0
0.000004,0.999996,1
0.000006,0.999994,1
0.000034,0.999966,1
1.000000,0.000000,0
0.000002,0.999998,1
0.999784,0.000216,0
0.006892,0.993108,1
0.999920,0.000080,0
0.000080,0.999920,1
1.000000,0.000000,0
0.999788,0.000212,0
0.002175,0.997825,1
0.000022,0.999978,1
0.000137,0.999863,1
0.078901,0.921099,1
0.000029,0.999971,1
0.000065,0.999935,1
0.999537,0.000463,0
0.000008,0.999992,1
0.999994,0.000006,0
0.999942,0.000058,0
0.000010,0.999990,1
0.000074,0.999926,1
0.000686,0.999314,1
0.000000,1.000000,1
0.999982,0.000018,0
0.000006,0.999994,1
0.000000,1.000000,1
0.999798,0.000202,0
0.999921,0.000079,0
0.999775,0.000225,0
0.000007,0.999993,1
0.000001,0.999999,1
0.999585,0.000415,0
0.999923,0.000077,0
0.000061,0.999939,1
0.999975,0.000025,0
0.999835,0.000165,0
0.999514,0.000486,0
0.999412,0.000588,0
0.000010,0.999990,1
0.999147,0.000853,0
1.000000,0.000000,0
0.000067,0.999933,1
0.000602,0.999398,1
0.999845,0.000155,0
0.999524,0.000476,0
0.997602,0.002398,0
0.000349,0.999651,1
0.000001,0.999999,1
0.000040,0.999960,1
0.999620,0.000380,0
0.999793,0.000207,0
0.000019,0.999981,1
0.000074,0.999926,1
0.000000,1.000000,1
0.000049,0.999951,1
0.999791,0.000209,0
0.000080,0.999920,1
0.999929,0.000071,0
0.999901,0.000099,0
0.000006,0.999994,1
0.000097,0.999903,1
0.999673,0.000327,0
0.999952,0.000048,0
0.000001,0.999999,1
0.999412,0.000588,0
0.000255,0.999745,1
0.000002,0.999998,1
0.000000,1.000000,1
0.000000,1.000000,1
0.000010,0.999990,1
0.998844,0.001156,0
0.000003,0.999997,1
0.000019,0.999981,1
0.000103,0.999897,1
0.000024,0.999976,1
0.000071,0.999929,1
0.999956,0.000044,0
0.999990,0.000010,0
0.999993,0.000007,0
0.000069,0.999931,1
0.000070,0.999930,1
0.999946,0.000054,0
0.000288,0.999712,1
0.000030,0.999970,1
0.000143,0.999857,1
0.999977,0.000023,0
0.999969,0.000031,0
0.000363,0.999637,1
0.000024,0.999976,1
0.999902,0.000098,0
0.000768,0.999232,1
0.000013,0.999987,1
0.000017,0.999983,1
0.000000,1.000000,1
0.004717,0.995283,1
0.999952,0.000048,0
0.999889,0.000111,0
0.998585,0.001415,0
0.999986,0.000014,0
0.002819,0.997181,1
0.000019,0.999981,1
0.999981,0.000019,0
