score0,score1,class
0.020380,0.979620,1
0.068627,0.931373,1
0.013366,0.986634,1
0.673277,0.326723,0
0.004446,0.995554,1
0.271765,0.728235,1
0.050755,0.949245,1
0.004089,0.995911,1
0.009608,0.990392,1
0.007543,0.992457,1
0.089521,0.910479,1
0.031940,0.968060,1
0.007543,0.992457,1
0.007543,0.992457,1
0.015914,0.984086,1
0.007543,0.992457,1
0.007279,0.992721,1
0.085321,0.914679,1
0.866329,0.133671,0
0.010709,0.989291,1
0.222618,0.777382,1
0.614638,0.385362,0
0.377014,0.622986,1
0.149328,0.850672,1
0.180055,0.819945,1
0.019937,0.980063,1
0.007543,0.992457,1
0.024443,0.975557,1
0.007543,0.992457,1
0.008395,0.991605,1
0.001597,0.998403,1
0.399068,0.600932,1
0.854043,0.145957,0
0.008985,0.991015,1
0.000875,0.999125,1
0.001017,0.998983,1
0.005571,0.994429,1
0.629918,0.370082,0
0.014008,0.985992,1
0.012187,0.987813,1
0.038853,0.961147,1
0.082233,0.917767,1
0.007543,0.992457,1
0.031940,0.968060,1
0.007543,0.992457,1
0.001597,0.998403,1
0.009608,0.990392,1
0.031940,0.968060,1
0.007543,0.992457,1
0.061815,0.938185,1
0.275478,0.724522,1
0.002469,0.997531,1
0.119269,0.880731,1
0.019937,0.980063,1
0.000875,0.999125,1
0.876243,0.123757,0
0.008985,0.991015,1
0.007279,0.992721,1
0.000522,0.999478,1
0.165662,0.834338,1
0.041688,0.958312,1
0.007279,0.992721,1
0.001597,0.998403,1
0.001597,0.998403,1
0.328930,0.671070,1
0.011490,0.988510,1
0.009556,0.990444,1
0.005156,0.994844,1
0.014008,0.985992,1
0.005571,0.994429,1
0.000960,0.999040,1
0.311292,0.688708,1
0.011853,0.988147,1
0.005950,0.994050,1
0.154036,0.845964,1
0.817714,0.182286,0
0.007543,0.992457,1
0.009556,0.990444,1
0.031940,0.968060,1
0.614638,0.385362,0
0.032788,0.967212,1
0.000042,0.999958,1
0.028502,0.971498,1
0.786696,0.213304,0
0.205660,0.794340,1
0.030265,0.969735,1
0.844273,0.155727,0
0.227301,0.772699,1
0.000875,0.999125,1
0.082233,0.917767,1
0.014060,0.985940,1
0.007543,0.992457,1
0.215113,0.784887,1
0.007279,0.992721,1
0.155235,0.844765,1
0.018926,0.981074,1
0.000875,0.999125,1
0.464192,0.535808,1
0.159030,0.840970,1
0.222618,0.777382,1
0.622835,0.377165,0
0.002469,0.997531,1
0.007543,0.992457,1
0.000999,0.999001,1
0.011853,0.988147,1
0.936377,0.063623,0
0.019937,0.980063,1
0.028502,0.971498,1
0.128793,0.871207,1
0.011521,0.988479,1
0.020380,0.979620,1
0.635008,0.364992,0
0.011521,0.988479,1
0.694721,0.305279,0
0.014008,0.985992,1
0.008395,0.991605,1
0.008830,0.991170,1
0.007543,0.992457,1
0.009556,0.990444,1
0.000042,0.999958,1
0.919505,0.080495,0
0.885499,0.114501,0
0.011853,0.988147,1
0.000783,0.999217,1
0.891891,0.108109,0
0.265318,0.734682,1
0.001597,0.998403,1
0.007543,0.992457,1
0.050755,0.949245,1
0.064534,0.935466,1
0.821601,0.178399,0
0.000042,0.999958,1
0.007543,0.992457,1
0.000042,0.999958,1
0.361337,0.638663,1
0.101280,0.898720,1
0.011853,0.988147,1
0.170279,0.829721,1
0.008830,0.991170,1
0.200257,0.799743,1
0.015881,0.984119,1
0.082233,0.917767,1
0.311292,0.688708,1
0.181362,0.818638,1
0.204977,0.795023,1
0.123085,0.876915,1
0.000042,0.999958,1
0.000042,0.999958,1
0.844273,0.155727,0
0.009608,0.990392,1
0.031940,0.968060,1
0.229609,0.770391,1
0.012189,0.987811,1
0.202886,0.797114,1
0.800936,0.199064,0
0.089521,0.910479,1
0.659272,0.340728,0
0.089521,0.910479,1
0.622835,0.377165,0
0.004704,0.995296,1
0.020380,0.979620,1
0.614638,0.385362,0
0.000042,0.999958,1
0.000875,0.999125,1
0.000875,0.999125,1
0.140413,0.859587,1
0.166747,0.833253,1
0.008395,0.991605,1
0.014060,0.985940,1
0.000783,0.999217,1
0.154036,0.845964,1
0.019937,0.980063,1
0.015881,0.984119,1
0.004446,0.995554,1
0.361337,0.638663,1
0.043721,0.956279,1
0.005665,0.994335,1
0.008985,0.991015,1
0.082233,0.917767,1
0.732726,0.267274,0
0.106678,0.893322,1
0.694721,0.305279,0
0.011521,0.988479,1
0.024443,0.975557,1
