score0,score1,score2,score3,score4,score5,class
0.000799,0.999038,0.000125,0.000025,0.000003,0.000011,1
0.000013,0.000028,0.999952,0.000000,0.000003,0.000004,2
0.999954,0.000038,0.000002,0.000001,0.000001,0.000003,0
0.000001,0.000000,0.000001,0.000231,0.000000,0.999766,5
0.000004,0.000001,0.000002,0.999910,0.000075,0.000008,3
0.000018,0.000012,0.000053,0.999750,0.000020,0.000148,3
0.000116,0.000015,0.000039,0.991116,0.008495,0.000219,3
0.000041,0.999945,0.000005,0.000000,0.000003,0.000005,1
0.000001,0.000000,0.000000,0.999977,0.000020,0.000002,3
0.000027,0.999959,0.000001,0.000001,0.000005,0.000007,1
0.999975,0.000016,0.000005,0.000000,0.000001,0.000004,0
0.000003,0.000019,0.999973,0.000000,0.000002,0.000002,2
0.000074,0.000063,0.000077,0.482225,0.517032,0.000529,4
0.000213,0.000012,0.000038,0.973303,0.026294,0.000140,3
0.000009,0.000004,0.999979,0.000001,0.000002,0.000004,2
0.000132,0.999838,0.000010,0.000007,0.000005,0.000008,1
0.999989,0.000001,0.000001,0.000002,0.000003,0.000004,0
0.000061,0.000247,0.999521,0.000021,0.000073,0.000076,2
0.001252,0.000037,0.998634,0.000009,0.000029,0.000040,2
0.000002,0.000001,0.000001,0.000007,0.999982,0.000008,4
0.000742,0.999072,0.000149,0.000001,0.000011,0.000025,1
0.998074,0.001205,0.000383,0.000027,0.000096,0.000215,0
0.000001,0.000000,0.000000,0.000007,0.999990,0.000002,4
0.999947,0.000046,0.000004,0.000000,0.000001,0.000002,0
0.012563,0.028247,0.956939,0.000842,0.000614,0.000795,2
0.000001,0.000000,0.000001,0.000137,0.000000,0.999860,5
0.000032,0.999948,0.000007,0.000001,0.000006,0.000006,1
0.000001,0.000000,0.000001,0.000048,0.000002,0.999948,5
0.000015,0.000003,0.000006,0.999931,0.000007,0.000038,3
0.000002,0.000002,0.000008,0.999972,0.000002,0.000014,3
0.000002,0.000001,0.000001,0.000031,0.000001,0.999964,5
0.000009,0.000006,0.000006,0.999898,0.000030,0.000051,3
0.000006,0.000001,0.000004,0.999959,0.000004,0.000026,3
0.000029,0.999200,0.000701,0.000002,0.000039,0.000028,1
0.000071,0.000089,0.000074,0.941444,0.057823,0.000500,3
0.000013,0.000028,0.000052,0.999484,0.000333,0.000090,3
0.000001,0.000001,0.000000,0.000003,0.999991,0.000004,4
0.999961,0.000013,0.000003,0.000002,0.000006,0.000014,0
0.000011,0.999929,0.000039,0.000002,0.000004,0.000015,1
0.000016,0.000005,0.000012,0.999423,0.000488,0.000057,3
0.000023,0.000022,0.999945,0.000000,0.000005,0.000004,2
0.000062,0.002338,0.997428,0.000014,0.000099,0.000059,2
0.000001,0.000001,0.000001,0.000017,0.999974,0.000006,4
0.000125,0.000063,0.999771,0.000001,0.000025,0.000016,2
0.000001,0.000000,0.000001,0.000145,0.000001,0.999853,5
0.000062,0.999919,0.000003,0.000001,0.000008,0.000007,1
0.999873,0.000111,0.000002,0.000001,0.000004,0.000009,0
0.000431,0.998758,0.000770,0.000002,0.000016,0.000023,1
0.000007,0.000004,0.000003,0.000025,0.999943,0.000018,4
0.000001,0.000001,0.000001,0.000098,0.000000,0.999898,5
0.000000,0.000000,0.000000,0.999994,0.000003,0.000002,3
0.000002,0.000002,0.000003,0.000132,0.999846,0.000015,4
0.000002,0.000001,0.000001,0.000078,0.000001,0.999918,5
0.000041,0.999952,0.000002,0.000001,0.000001,0.000003,1
0.000004,0.000004,0.999989,0.000000,0.000001,0.000002,2
0.000003,0.000001,0.000001,0.000018,0.999966,0.000011,4
0.000003,0.000001,0.000001,0.999672,0.000311,0.000011,3
0.000005,0.000002,0.000002,0.999511,0.000460,0.000020,3
0.000111,0.946320,0.053337,0.000006,0.000168,0.000059,1
0.000008,0.000073,0.999901,0.000001,0.000007,0.000010,2
0.984943,0.000066,0.014926,0.000003,0.000037,0.000024,0
0.000001,0.000000,0.000001,0.000140,0.000000,0.999857,5
0.999043,0.000831,0.000020,0.000003,0.000050,0.000054,0
0.000728,0.000426,0.000150,0.001296,0.996278,0.001122,4
0.000004,0.000006,0.999987,0.000000,0.000001,0.000002,2
0.000037,0.000009,0.000011,0.003886,0.995995,0.000063,4
0.999853,0.000034,0.000089,0.000007,0.000006,0.000013,0
0.000001,0.000003,0.000005,0.999985,0.000000,0.000006,3
0.000001,0.000000,0.000001,0.000023,0.000000,0.999974,5
0.000013,0.999976,0.000003,0.000001,0.000002,0.000005,1
0.000223,0.000407,0.000712,0.504527,0.492991,0.001140,3
0.000000,0.000001,0.000004,0.000254,0.000019,0.999721,5
0.000061,0.000020,0.000016,0.000438,0.999371,0.000095,4
0.000000,0.999993,0.000003,0.000000,0.000002,0.000002,1
0.999989,0.000004,0.000001,0.000003,0.000001,0.000003,0
0.000002,0.000000,0.000001,0.000145,0.000013,0.999839,5
0.999990,0.000003,0.000003,0.000000,0.000001,0.000002,0
0.000001,0.000017,0.999978,0.000000,0.000002,0.000002,2
0.000004,0.000015,0.999975,0.000000,0.000004,0.000002,2
0.000911,0.000336,0.000084,0.000066,0.998041,0.000562,4
0.000003,0.000000,0.000000,0.000004,0.000071,0.999922,5
0.000008,0.000005,0.000006,0.000012,0.999941,0.000028,4
0.000003,0.000000,0.000001,0.000353,0.000000,0.999643,5
0.999699,0.000017,0.000226,0.000007,0.000015,0.000036,0
0.000001,0.999989,0.000005,0.000000,0.000001,0.000003,1
0.000001,0.000003,0.999994,0.000000,0.000001,0.000001,2
0.000028,0.000006,0.000034,0.999873,0.000008,0.000051,3
0.999833,0.000067,0.000009,0.000013,0.000024,0.000054,0
0.000002,0.999914,0.000077,0.000000,0.000002,0.000005,1
0.000004,0.999929,0.000044,0.000001,0.000007,0.000014,1
0.999912,0.000023,0.000009,0.000017,0.000012,0.000028,0
0.000003,0.999866,0.000114,0.000001,0.000005,0.000010,1
