score0,score1,class
0.000712,0.999288,1
0.999993,0.000007,0
0.999960,0.000040,0
0.998767,0.001233,0
0.000003,0.999997,1
0.000309,0.999691,1
0.000502,0.999498,1
0.000183,0.999817,1
0.999974,0.000026,0
0.000031,0.999969,1
0.999932,0.000068,0
0.000007,0.999993,1
0.000017,0.999983,1
0.000028,0.999972,1
0.999928,0.000072,0
0.000296,0.999704,1
0.999450,0.000550,0
0.999896,0.000104,0
0.999809,0.000191,0
0.000025,0.999975,1
0.999714,0.000286,0
0.000250,0.999750,1
0.000273,0.999727,1
0.999998,0.000002,0
0.999966,0.000034,0
0.000119,0.999881,1
0.999985,0.000015,0
0.999908,0.000092,0
0.999932,0.000068,0
0.000173,0.999827,1
0.000017,0.999983,1
0.999980,0.000020,0
0.999973,0.000027,0
0.000031,0.999969,1
0.000340,0.999660,1
0.999798,0.000202,0
0.999857,0.000143,0
0.999990,0.000010,0
0.999860,0.000140,0
0.000002,0.999998,1
0.999982,0.000018,0
0.999806,0.000194,0
0.999882,0.000118,0
0.014997,0.985003,1
0.999638,0.000362,0
0.999992,0.000008,0
0.000017,0.999983,1
0.999809,0.000191,0
0.000017,0.999983,1
0.999692,0.000308,0
0.000025,0.999975,1
0.000001,0.999999,1
0.999770,0.000230,0
0.999987,0.000013,0
0.999892,0.000108,0
0.999980,0.000020,0
0.000144,0.999856,1
0.000454,0.999546,1
0.000411,0.999589,1
0.999911,0.000089,0
0.992657,0.007343,0
0.000073,0.999927,1
0.999676,0.000324,0
0.000187,0.999813,1
0.000069,0.999931,1
0.000004,0.999996,1
0.999761,0.000239,0
0.999650,0.000350,0
0.999920,0.000080,0
0.999896,0.000104,0
0.999994,0.000006,0
0.000110,0.999890,1
0.999958,0.000042,0
0.999898,0.000102,0
0.000006,0.999994,1
0.999984,0.000016,0
0.000020,0.999980,1
0.000439,0.999561,1
0.000354,0.999646,1
0.000175,0.999825,1
0.999907,0.000093,0
0.000088,0.999912,1
0.000006,0.999994,1
0.000170,0.999830,1
0.999993,0.000007,0
0.000025,0.999975,1
0.000268,0.999732,1
0.000040,0.999960,1
0.000004,0.999996,1
0.999958,0.000042,0
0.002086,0.997914,1
0.000070,0.999930,1
0.000010,0.999990,1
0.999791,0.000209,0
