score0,score1,class
0.014879,0.985121,1
0.072397,0.927603,1
0.058579,0.941421,1
0.914597,0.085403,0
0.026988,0.973012,1
0.081688,0.918312,1
0.055132,0.944868,1
0.022606,0.977394,1
0.022240,0.977760,1
0.023202,0.976798,1
0.049920,0.950080,1
0.062200,0.937800,1
0.033289,0.966711,1
0.012804,0.987196,1
0.058836,0.941164,1
0.013490,0.986510,1
0.040051,0.959949,1
0.102083,0.897917,1
0.849437,0.150563,0
0.030752,0.969248,1
0.251947,0.748053,1
0.256735,0.743265,1
0.161946,0.838054,1
0.110624,0.889376,1
0.133676,0.866324,1
0.027893,0.972107,1
0.019849,0.980151,1
0.053495,0.946505,1
0.012292,0.987708,1
0.017337,0.982663,1
0.024078,0.975922,1
0.100220,0.899780,1
0.899486,0.100514,0
0.041084,0.958916,1
0.010603,0.989397,1
0.015240,0.984760,1
0.022029,0.977971,1
0.384608,0.615392,1
0.032970,0.967030,1
0.018917,0.981083,1
0.065740,0.934260,1
0.213609,0.786391,1
0.030393,0.969607,1
0.033997,0.966003,1
0.019361,0.980639,1
0.020515,0.979485,1
0.033442,0.966558,1
0.021532,0.978468,1
0.044034,0.955966,1
0.087584,0.912416,1
0.227380,0.772620,1
0.045353,0.954647,1
0.111143,0.888857,1
0.028547,0.971453,1
0.024275,0.975725,1
0.970950,0.029050,0
0.052970,0.947030,1
0.016790,0.983210,1
0.007951,0.992049,1
0.032720,0.967280,1
0.042852,0.957148,1
0.009301,0.990699,1
0.021412,0.978588,1
0.025766,0.974234,1
0.199926,0.800074,1
0.020207,0.979793,1
0.065070,0.934930,1
0.032681,0.967319,1
0.018475,0.981525,1
0.025031,0.974969,1
0.025937,0.974063,1
0.065493,0.934507,1
0.035472,0.964528,1
0.026666,0.973334,1
0.030216,0.969784,1
0.607820,0.392180,0
0.022740,0.977260,1
0.091252,0.908748,1
0.036045,0.963955,1
0.547794,0.452206,0
0.018914,0.981086,1
0.009682,0.990318,1
0.083832,0.916168,1
0.699489,0.300511,0
0.037928,0.962072,1
0.016377,0.983623,1
0.848951,0.151049,0
0.254204,0.745796,1
0.014827,0.985173,1
0.053798,0.946202,1
0.026201,0.973799,1
0.017438,0.982562,1
0.081218,0.918782,1
0.011060,0.988940,1
0.121734,0.878266,1
0.028196,0.971804,1
0.020206,0.979794,1
0.217365,0.782635,1
0.117829,0.882171,1
0.178151,0.821849,1
0.492188,0.507812,1
0.027916,0.972084,1
0.066932,0.933068,1
0.025346,0.974654,1
0.011150,0.988850,1
0.876724,0.123276,0
0.021600,0.978400,1
0.020143,0.979857,1
0.028560,0.971440,1
0.095866,0.904134,1
0.023402,0.976598,1
0.466527,0.533473,1
0.032663,0.967337,1
0.578260,0.421740,0
0.050383,0.949617,1
