score0,score1,score2,score3,score4,score5,class
0.003985,0.993086,0.002477,0.000311,0.000053,0.000088,1
0.000128,0.000128,0.999707,0.000003,0.000019,0.000015,2
0.999727,0.000242,0.000014,0.000006,0.000003,0.000009,0
0.000001,0.000001,0.000001,0.002136,0.000000,0.997861,5
0.000033,0.000007,0.000016,0.997428,0.002478,0.000038,3
0.000023,0.000022,0.000053,0.999724,0.000066,0.000111,3
0.000570,0.000192,0.000259,0.932433,0.065436,0.001111,3
0.000235,0.999639,0.000075,0.000009,0.000020,0.000022,1
0.000010,0.000004,0.000008,0.999325,0.000635,0.000019,3
0.000030,0.999936,0.000006,0.000005,0.000010,0.000013,1
0.999852,0.000063,0.000048,0.000007,0.000016,0.000014,0
0.000047,0.000187,0.999720,0.000006,0.000025,0.000015,2
0.000235,0.000156,0.000172,0.513153,0.485506,0.000777,3
0.000184,0.000017,0.000037,0.985419,0.014252,0.000090,3
0.000055,0.000020,0.999896,0.000008,0.000010,0.000011,2
0.004066,0.995595,0.000108,0.000067,0.000094,0.000071,1
0.999954,0.000009,0.000016,0.000006,0.000007,0.000008,0
0.000254,0.001356,0.997870,0.000127,0.000199,0.000194,2
0.003924,0.000211,0.995721,0.000030,0.000054,0.000061,2
0.000018,0.000018,0.000007,0.000089,0.999831,0.000037,4
0.005347,0.994183,0.000371,0.000012,0.000046,0.000041,1
0.992781,0.003927,0.002934,0.000079,0.000114,0.000164,0
0.000010,0.000004,0.000006,0.000076,0.999887,0.000018,4
0.999620,0.000337,0.000018,0.000003,0.000013,0.000008,0
0.003594,0.008158,0.987091,0.000664,0.000157,0.000335,2
0.000001,0.000001,0.000001,0.000284,0.000001,0.999713,5
0.000132,0.999583,0.000194,0.000021,0.000035,0.000035,1
0.000001,0.000001,0.000001,0.000165,0.000011,0.999822,5
0.000036,0.000015,0.000020,0.999641,0.000219,0.000069,3
0.000008,0.000012,0.000028,0.999909,0.000015,0.000028,3
0.000003,0.000002,0.000001,0.000128,0.000009,0.999857,5
0.000027,0.000022,0.000023,0.999555,0.000271,0.000102,3
0.000005,0.000004,0.000005,0.999931,0.000030,0.000023,3
0.000149,0.997810,0.001913,0.000016,0.000077,0.000035,1
0.000164,0.000300,0.000208,0.779366,0.219388,0.000574,3
0.000072,0.000045,0.000072,0.998784,0.000864,0.000163,3
0.000013,0.000021,0.000007,0.000130,0.999790,0.000039,4
0.999605,0.000271,0.000036,0.000025,0.000022,0.000041,0
0.000072,0.999683,0.000087,0.000018,0.000060,0.000080,1
0.000037,0.000021,0.000035,0.995528,0.004267,0.000112,3
0.000359,0.000094,0.999450,0.000010,0.000051,0.000036,2
0.000447,0.006117,0.992852,0.000073,0.000364,0.000147,2
0.000011,0.000012,0.000005,0.000158,0.999783,0.000031,4
0.000253,0.000207,0.999422,0.000008,0.000064,0.000046,2
0.000001,0.000001,0.000001,0.000442,0.000003,0.999553,5
0.001574,0.998298,0.000045,0.000009,0.000039,0.000035,1
0.998412,0.001486,0.000020,0.000006,0.000034,0.000042,0
0.001253,0.996534,0.002104,0.000019,0.000050,0.000042,1
0.000031,0.000022,0.000014,0.000242,0.999628,0.000064,4
0.000001,0.000001,0.000001,0.000525,0.000007,0.999465,5
0.000002,0.000001,0.000001,0.999968,0.000024,0.000004,3
0.000020,0.000013,0.000014,0.000822,0.999078,0.000052,4
0.000002,0.000002,0.000002,0.000141,0.000005,0.999849,5
0.000044,0.999920,0.000015,0.000006,0.000007,0.000008,1
0.000113,0.000044,0.999811,0.000006,0.000014,0.000012,2
0.000010,0.000007,0.000006,0.000093,0.999860,0.000025,4
0.000034,0.000034,0.000025,0.990241,0.009568,0.000098,3
0.000031,0.000011,0.000015,0.992346,0.007527,0.000070,3
0.001556,0.810868,0.186029,0.000145,0.001067,0.000335,1
0.000040,0.000499,0.999396,0.000005,0.000042,0.000017,2
0.949778,0.000315,0.049717,0.000017,0.000101,0.000073,0
0.000001,0.000001,0.000001,0.000150,0.000004,0.999843,5
0.997139,0.002127,0.000203,0.000052,0.000275,0.000204,0
0.003295,0.002497,0.001267,0.017611,0.970978,0.004353,4
0.000047,0.000094,0.999825,0.000012,0.000011,0.000011,2
0.000109,0.000049,0.000040,0.011441,0.988189,0.000172,4
0.999593,0.000153,0.000205,0.000016,0.000010,0.000023,0
0.000001,0.000004,0.000004,0.999986,0.000001,0.000005,3
0.000001,0.000001,0.000001,0.000382,0.000001,0.999613,5
0.000055,0.999893,0.000017,0.000006,0.000016,0.000013,1
0.000325,0.000364,0.000952,0.392756,0.604656,0.000947,4
0.000001,0.000003,0.000002,0.000358,0.000031,0.999605,5
0.000093,0.000032,0.000028,0.000441,0.999281,0.000125,4
0.000003,0.999949,0.000019,0.000004,0.000015,0.000011,1
0.999924,0.000035,0.000016,0.000008,0.000006,0.000010,0
0.000002,0.000001,0.000001,0.000220,0.000035,0.999741,5
0.999886,0.000050,0.000026,0.000002,0.000029,0.000007,0
0.000007,0.000144,0.999828,0.000001,0.000014,0.000006,2
0.000033,0.000085,0.999844,0.000002,0.000029,0.000007,2
0.001505,0.000927,0.000198,0.001066,0.995476,0.000828,4
0.000002,0.000001,0.000001,0.000010,0.000113,0.999874,5
0.000020,0.000027,0.000016,0.000163,0.999707,0.000067,4
0.000002,0.000001,0.000001,0.000870,0.000001,0.999125,5
