score0,score1,class
0.001113,0.998887,1
0.999528,0.000472,0
0.999414,0.000586,0
0.995187,0.004813,0
0.000061,0.999939,1
0.001510,0.998490,1
0.003202,0.996798,1
0.000976,0.999024,1
0.999721,0.000279,0
0.001197,0.998803,1
0.998991,0.001009,0
0.000087,0.999913,1
0.000211,0.999789,1
0.000768,0.999232,1
0.999102,0.000898,0
0.006315,0.993685,1
0.996104,0.003896,0
0.999222,0.000778,0
0.998459,0.001541,0
0.000673,0.999327,1
0.998566,0.001434,0
0.000651,0.999349,1
0.001865,0.998135,1
0.999947,0.000053,0
0.999007,0.000993,0
0.003808,0.996192,1
0.999701,0.000299,0
0.997346,0.002654,0
0.998767,0.001233,0
0.002367,0.997633,1
0.000037,0.999963,1
0.999806,0.000194,0
0.999297,0.000703,0
0.000209,0.999791,1
0.001637,0.998363,1
0.999015,0.000985,0
0.998885,0.001115,0
0.999677,0.000323,0
0.998485,0.001515,0
0.000047,0.999953,1
0.999905,0.000095,0
0.997691,0.002309,0
0.998917,0.001083,0
0.100076,0.899924,1
0.996761,0.003239,0
0.999875,0.000125,0
0.000353,0.999647,1
0.999660,0.000340,0
0.000133,0.999867,1
0.996706,0.003294,0
0.000095,0.999905,1
0.000108,0.999892,1
0.999430,0.000570,0
0.999139,0.000861,0
0.999124,0.000876,0
0.999681,0.000319,0
0.001028,0.998972,1
0.005230,0.994770,1
0.002137,0.997863,1
0.999676,0.000324,0
0.993719,0.006281,0
0.001888,0.998112,1
0.999641,0.000359,0
0.000837,0.999163,1
0.000487,0.999513,1
0.000083,0.999917,1
0.999672,0.000328,0
0.993890,0.006110,0
0.999565,0.000435,0
0.999793,0.000207,0
0.999445,0.000555,0
0.000906,0.999094,1
0.999638,0.000362,0
0.997756,0.002244,0
0.000344,0.999656,1
0.999244,0.000756,0
0.000252,0.999748,1
0.000469,0.999531,1
0.001510,0.998490,1
0.002780,0.997220,1
0.998967,0.001033,0
0.000438,0.999562,1
0.000053,0.999947,1
0.000977,0.999023,1
0.999761,0.000239,0
0.000709,0.999291,1
0.001539,0.998461,1
0.000588,0.999412,1
0.000049,0.999951,1
0.999458,0.000542,0
0.007932,0.992068,1
0.000254,0.999746,1
0.000313,0.999687,1
0.997849,0.002151,0
0.999073,0.000927,0
0.999313,0.000687,0
0.000631,0.999369,1
0.997687,0.002313,0
0.000221,0.999779,1
0.998815,0.001185,0
0.002763,0.997237,1
0.998847,0.001153,0
0.000143,0.999857,1
0.000997,0.999003,1
0.002246,0.997754,1
0.000138,0.999862,1
0.000664,0.999336,1
0.001127,0.998873,1
0.000262,0.999738,1
0.998690,0.001310,0
0.997232,0.002768,0
0.998490,0.001510,0
0.995902,0.004098,0
0.998775,0.001225,0
0.999474,0.000526,0
0.998846,0.001154,0
0.998675,0.001325,0
0.000059,0.999941,1
0.001687,0.998313,1
0.001337,0.998663,1
0.001094,0.998906,1
0.001863,0.998137,1
0.998290,0.001710,0
0.998861,0.001139,0
0.000191,0.999809,1
0.999689,0.000311,0
0.000317,0.999683,1
0.000463,0.999537,1
0.000096,0.999904,1
0.999871,0.000129,0
0.000850,0.999150,1
0.999139,0.000861,0
0.010681,0.989319,1
0.999260,0.000740,0
0.001160,0.998840,1
0.999781,0.000219,0
0.998261,0.001739,0
0.004406,0.995594,1
0.000690,0.999310,1
0.002455,0.997545,1
0.035628,0.964372,1
0.000017,0.999983,1
0.000273,0.999727,1
0.998641,0.001359,0
0.000074,0.999926,1
0.999888,0.000112,0
0.999188,0.000812,0
0.000157,0.999843,1
0.000435,0.999565,1
0.001510,0.998490,1
0.000059,0.999941,1
0.999650,0.000350,0
0.000369,0.999631,1
0.000181,0.999819,1
0.999541,0.000459,0
0.999084,0.000916,0
0.998715,0.001285,0
0.000158,0.999842,1
0.000455,0.999545,1
0.998532,0.001468,0
0.999486,0.000514,0
0.001311,0.998689,1
0.999785,0.000215,0
0.998893,0.001107,0
0.998625,0.001375,0
0.997341,0.002659,0
0.000315,0.999685,1
0.999077,0.000923,0
0.999623,0.000377,0
0.000526,0.999474,1
0.002367,0.997633,1
0.999654,0.000346,0
0.997579,0.002421,0
0.996610,0.003390,0
0.000901,0.999099,1
0.000111,0.999889,1
0.000779,0.999221,1
0.997950,0.002050,0
0.999564,0.000436,0
0.000422,0.999578,1
0.000179,0.999821,1
0.000021,0.999979,1
0.000837,0.999163,1
0.999359,0.000641,0
0.003164,0.996836,1
0.998659,0.001341,0
0.999050,0.000950,0
0.000019,0.999981,1
0.002156,0.997844,1
0.999401,0.000599,0
0.998885,0.001115,0
0.000259,0.999741,1
0.997035,0.002965,0
0.002124,0.997876,1
0.000134,0.999866,1
0.000056,0.999944,1
0.000020,0.999980,1
0.003325,0.996675,1
0.997660,0.002340,0
0.000243,0.999757,1
0.001620,0.998380,1
0.000444,0.999556,1
0.002070,0.997930,1
0.000414,0.999586,1
0.998228,0.001772,0
0.999583,0.000417,0
0.999160,0.000840,0
0.000942,0.999058,1
0.001851,0.998149,1
0.999260,0.000740,0
0.000578,0.999422,1
0.001139,0.998861,1
0.001311,0.998689,1
0.998645,0.001355,0
0.999244,0.000756,0
0.000906,0.999094,1
0.002721,0.997279,1
0.998604,0.001396,0
0.001049,0.998951,1
0.000184,0.999816,1
0.001010,0.998990,1
0.000096,0.999904,1
0.005968,0.994032,1
0.999696,0.000304,0
0.999109,0.000891,0
0.997326,0.002674,0
0.999256,0.000744,0
0.012776,0.987224,1
0.000701,0.999299,1
0.999407,0.000593,0
0.997309,0.002691,0
0.000716,0.999284,1
0.999021,0.000979,0
0.001510,0.998490,1
0.999095,0.000905,0
0.990075,0.009925,0
0.000159,0.999841,1
0.995933,0.004067,0
0.998326,0.001674,0
0.001323,0.998677,1
0.997249,0.002751,0
0.998226,0.001774,0
0.001983,0.998017,1
0.000609,0.999391,1
0.000174,0.999826,1
0.002868,0.997132,1
0.990099,0.009901,0
0.000939,0.999061,1
0.999241,0.000759,0
0.000122,0.999878,1
0.000554,0.999446,1
0.998871,0.001129,0
0.999471,0.000529,0
0.000015,0.999985,1
0.000339,0.999661,1
0.000733,0.999267,1
0.997463,0.002537,0
0.001998,0.998002,1
0.001065,0.998935,1
0.002293,0.997707,1
0.999802,0.000198,0
0.000302,0.999698,1
0.000005,0.999995,1
0.999830,0.000170,0
0.000216,0.999784,1
0.997579,0.002421,0
