score0,score1,class
0.006965,0.993035,1
0.063590,0.936410,1
0.026035,0.973965,1
0.858183,0.141817,0
0.002144,0.997856,1
0.216861,0.783139,1
0.004679,0.995321,1
0.001479,0.998521,1
0.001921,0.998079,1
0.001879,0.998121,1
0.017218,0.982782,1
0.021834,0.978166,1
0.007023,0.992977,1
0.000634,0.999366,1
0.004826,0.995174,1
0.001786,0.998214,1
0.017554,0.982446,1
0.064095,0.935905,1
0.753211,0.246789,0
0.007921,0.992079,1
0.213059,0.786941,1
0.133224,0.866776,1
0.127164,0.872836,1
0.216383,0.783617,1
0.085607,0.914393,1
0.001565,0.998435,1
0.000877,0.999123,1
0.019934,0.980066,1
0.000877,0.999123,1
0.001191,0.998809,1
0.002792,0.997208,1
0.219745,0.780255,1
0.923465,0.076535,0
0.006623,0.993377,1
0.000060,0.999940,1
0.000315,0.999685,1
0.001434,0.998566,1
0.422559,0.577441,1
0.010070,0.989930,1
0.001863,0.998137,1
0.021124,0.978876,1
0.088744,0.911256,1
0.008399,0.991601,1
0.008589,0.991411,1
0.000591,0.999409,1
0.000710,0.999290,1
0.007511,0.992489,1
0.002187,0.997813,1
0.007767,0.992233,1
0.058429,0.941571,1
0.249559,0.750441,1
0.007448,0.992552,1
0.017701,0.982299,1
0.003195,0.996805,1
0.000159,0.999841,1
0.994230,0.005770,0
0.003323,0.996677,1
0.001509,0.998491,1
0.000095,0.999905,1
0.021595,0.978405,1
0.037423,0.962577,1
0.000203,0.999797,1
0.000420,0.999580,1
0.001521,0.998479,1
0.256480,0.743520,1
0.001344,0.998656,1
0.029369,0.970631,1
0.005235,0.994765,1
0.002707,0.997293,1
0.004908,0.995092,1
0.006494,0.993506,1
0.026612,0.973388,1
0.002168,0.997832,1
0.005955,0.994045,1
0.010887,0.989113,1
0.678485,0.321515,0
0.002896,0.997104,1
0.044848,0.955152,1
0.010529,0.989471,1
0.303527,0.696473,1
0.003240,0.996760,1
0.000023,0.999977,1
0.032579,0.967421,1
0.755819,0.244181,0
0.039828,0.960172,1
0.003063,0.996937,1
0.892964,0.107036,0
0.139526,0.860474,1
0.000218,0.999782,1
0.019607,0.980393,1
0.003038,0.996962,1
0.002120,0.997880,1
0.053806,0.946194,1
0.000315,0.999685,1
0.095820,0.904180,1
0.006604,0.993396,1
0.002392,0.997608,1
0.036521,0.963479,1
0.070269,0.929731,1
0.100558,0.899442,1
0.334095,0.665905,1
0.000881,0.999119,1
0.041700,0.958300,1
0.000859,0.999141,1
0.001383,0.998617,1
0.968234,0.031766,0
0.002326,0.997674,1
0.004090,0.995910,1
0.008470,0.991530,1
0.019445,0.980555,1
0.003545,0.996455,1
0.413650,0.586350,1
0.002824,0.997176,1
0.826072,0.173928,0
0.011869,0.988131,1
0.004148,0.995852,1
0.014063,0.985937,1
0.012238,0.987762,1
0.001274,0.998726,1
0.000003,0.999997,1
0.958330,0.041670,0
0.809719,0.190281,0
0.002379,0.997621,1
0.000180,0.999820,1
0.935102,0.064898,0
0.118665,0.881335,1
0.000328,0.999672,1
0.009444,0.990556,1
0.145725,0.854275,1
0.064945,0.935055,1
0.271249,0.728751,1
0.000063,0.999937,1
0.000819,0.999181,1
0.000020,0.999980,1
0.257017,0.742983,1
0.026612,0.973388,1
0.000869,0.999131,1
0.076989,0.923011,1
0.005758,0.994242,1
0.041588,0.958412,1
0.001832,0.998168,1
0.091986,0.908014,1
0.303527,0.696473,1
0.097790,0.902210,1
0.039936,0.960064,1
0.031703,0.968297,1
0.000078,0.999922,1
0.000005,0.999995,1
0.360260,0.639740,1
0.012478,0.987522,1
0.023134,0.976866,1
0.503616,0.496384,0
0.006351,0.993649,1
0.174443,0.825557,1
0.305317,0.694683,1
0.049530,0.950470,1
0.264072,0.735928,1
0.311928,0.688072,1
0.054673,0.945327,1
0.001879,0.998121,1
0.025751,0.974249,1
0.244842,0.755158,1
0.000005,0.999995,1
0.007681,0.992319,1
0.000071,0.999929,1
0.067558,0.932442,1
0.126229,0.873771,1
0.002326,0.997674,1
0.018400,0.981600,1
0.000084,0.999916,1
0.024576,0.975424,1
0.003687,0.996313,1
0.003999,0.996001,1
0.000783,0.999217,1
0.032226,0.967774,1
0.024779,0.975221,1
0.001257,0.998743,1
0.001717,0.998283,1
0.020267,0.979733,1
0.815297,0.184703,0
0.154344,0.845656,1
0.847220,0.152780,0
