score0,score1,score2,score3,score4,score5,class
0.001009,0.998638,0.000258,0.000072,0.000006,0.000017,1
0.000020,0.000043,0.999926,0.000001,0.000002,0.000008,2
0.999963,0.000030,0.000002,0.000001,0.000001,0.000004,0
0.000001,0.000000,0.000001,0.000628,0.000000,0.999370,5
0.000002,0.000001,0.000001,0.999812,0.000176,0.000007,3
0.000025,0.000016,0.000061,0.999630,0.000036,0.000233,3
0.000148,0.000013,0.000033,0.989913,0.009663,0.000230,3
0.000046,0.999925,0.000017,0.000001,0.000003,0.000008,1
0.000001,0.000000,0.000000,0.999972,0.000024,0.000003,3
0.000010,0.999983,0.000001,0.000000,0.000002,0.000003,1
0.999982,0.000009,0.000004,0.000001,0.000001,0.000003,0
0.000006,0.000033,0.999951,0.000001,0.000006,0.000004,2
0.000048,0.000045,0.000041,0.488252,0.511245,0.000369,4
0.000115,0.000004,0.000010,0.996273,0.003534,0.000064,3
0.000011,0.000002,0.999982,0.000001,0.000001,0.000003,2
0.000382,0.999588,0.000005,0.000008,0.000005,0.000012,1
0.999990,0.000002,0.000001,0.000002,0.000001,0.000004,0
0.000100,0.000253,0.999222,0.000033,0.000250,0.000143,2
0.001311,0.000031,0.998582,0.000009,0.000021,0.000046,2
0.000001,0.000001,0.000000,0.000004,0.999989,0.000005,4
0.001305,0.998539,0.000125,0.000002,0.000006,0.000023,1
0.997970,0.001200,0.000627,0.000030,0.000041,0.000131,0
0.000002,0.000001,0.000001,0.000008,0.999983,0.000004,4
0.999931,0.000061,0.000003,0.000000,0.000002,0.000003,0
0.004209,0.016739,0.978109,0.000408,0.000119,0.000416,2
0.000001,0.000000,0.000001,0.000120,0.000000,0.999878,5
0.000059,0.999909,0.000022,0.000002,0.000004,0.000006,1
0.000001,0.000000,0.000001,0.000076,0.000002,0.999921,5
0.000006,0.000002,0.000003,0.999926,0.000036,0.000026,3
0.000002,0.000002,0.000006,0.999971,0.000001,0.000017,3
0.000002,0.000001,0.000001,0.000016,0.000002,0.999978,5
0.000017,0.000009,0.000011,0.999774,0.000089,0.000101,3
0.000005,0.000001,0.000003,0.999964,0.000002,0.000025,3
0.000059,0.999352,0.000545,0.000003,0.000023,0.000017,1
0.000030,0.000036,0.000033,0.965940,0.033733,0.000228,3
0.000029,0.000028,0.000050,0.999637,0.000108,0.000148,3
0.000001,0.000001,0.000001,0.000007,0.999985,0.000005,4
0.999964,0.000008,0.000006,0.000003,0.000005,0.000014,0
0.000026,0.999875,0.000063,0.000004,0.000009,0.000024,1
0.000020,0.000007,0.000016,0.999130,0.000738,0.000088,3
0.000135,0.000020,0.999822,0.000001,0.000010,0.000012,2
0.000065,0.000755,0.999014,0.000021,0.000078,0.000067,2
0.000001,0.000000,0.000000,0.000006,0.999990,0.000003,4
0.000078,0.000067,0.999820,0.000002,0.000014,0.000019,2
0.000001,0.000000,0.000001,0.000227,0.000000,0.999771,5
0.000151,0.999811,0.000008,0.000002,0.000009,0.000018,1
0.999951,0.000036,0.000002,0.000001,0.000003,0.000007,0
0.000305,0.999260,0.000419,0.000002,0.000003,0.000011,1
0.000035,0.000008,0.000009,0.000049,0.999845,0.000053,4
0.000002,0.000000,0.000001,0.000162,0.000001,0.999833,5
0.000000,0.000000,0.000000,0.999996,0.000002,0.000001,3
0.000001,0.000001,0.000001,0.000054,0.999937,0.000007,4
0.000001,0.000001,0.000001,0.000073,0.000002,0.999922,5
0.000023,0.999971,0.000002,0.000001,0.000000,0.000002,1
0.000018,0.000014,0.999962,0.000001,0.000002,0.000004,2
0.000003,0.000001,0.000001,0.000049,0.999937,0.000009,4
0.000006,0.000003,0.000004,0.998616,0.001341,0.000029,3
0.000003,0.000001,0.000001,0.999728,0.000253,0.000014,3
0.000260,0.968243,0.031269,0.000007,0.000130,0.000090,1
0.000004,0.000088,0.999895,0.000001,0.000006,0.000006,2
0.952653,0.000251,0.046981,0.000026,0.000041,0.000048,0
0.000001,0.000000,0.000001,0.000033,0.000001,0.999964,5
0.999582,0.000269,0.000038,0.000005,0.000053,0.000053,0
0.004200,0.003884,0.001132,0.006563,0.975962,0.008260,4
0.000006,0.000016,0.999972,0.000002,0.000001,0.000003,2
0.000030,0.000008,0.000008,0.000499,0.999405,0.000049,4
0.999833,0.000084,0.000044,0.000016,0.000004,0.000018,0
0.000001,0.000004,0.000006,0.999979,0.000001,0.000009,3
0.000001,0.000000,0.000001,0.000060,0.000000,0.999938,5
0.000009,0.999972,0.000007,0.000001,0.000004,0.000008,1
0.000342,0.001135,0.001084,0.397261,0.598330,0.001849,4
0.000000,0.000001,0.000003,0.000502,0.000006,0.999488,5
0.000021,0.000006,0.000005,0.000150,0.999780,0.000038,4
0.000000,0.999987,0.000004,0.000001,0.000005,0.000003,1
0.999986,0.000006,0.000001,0.000003,0.000001,0.000003,0
0.000001,0.000000,0.000001,0.000144,0.000004,0.999849,5
0.999983,0.000004,0.000006,0.000000,0.000004,0.000003,0
0.000000,0.000022,0.999973,0.000000,0.000003,0.000002,2
0.000005,0.000053,0.999930,0.000000,0.000008,0.000003,2
0.000501,0.000827,0.000113,0.000156,0.997694,0.000710,4
0.000003,0.000000,0.000001,0.000014,0.000023,0.999959,5
0.000011,0.000007,0.000006,0.000013,0.999921,0.000042,4
0.000003,0.000000,0.000001,0.000268,0.000000,0.999727,5
0.999531,0.000024,0.000365,0.000007,0.000016,0.000056,0
0.000002,0.999988,0.000004,0.000000,0.000002,0.000003,1
0.000001,0.000006,0.999990,0.000001,0.000000,0.000002,2
0.000069,0.000008,0.000040,0.999787,0.000013,0.000083,3
0.999628,0.000181,0.000012,0.000051,0.000027,0.000101,0
0.000002,0.999881,0.000111,0.000001,0.000001,0.000004,1
0.000004,0.999863,0.000100,0.000002,0.000008,0.000023,1
0.999894,0.000030,0.000006,0.000031,0.000005,0.000035,0
0.000008,0.999564,0.000386,0.000004,0.000012,0.000027,1
0.000002,0.000000,0.000001,0.000024,0.000002,0.999971,5
0.000001,0.000000,0.000000,0.000002,0.999994,0.000003,4
0.000001,0.000000,0.000001,0.000074,0.000000,0.999924,5
0.000021,0.000006,0.999969,0.000000,0.000001,0.000003,2
0.000131,0.025348,0.974406,0.000009,0.000034,0.000072,2
0.000053,0.000043,0.000026,0.999509,0.000132,0.000237,3
0.000292,0.000211,0.000250,0.978516,0.019582,0.001150,3
0.000015,0.000007,0.999969,0.000002,0.000001,0.000005,2
0.000001,0.000001,0.000001,0.000486,0.000004,0.999508,5
0.002028,0.000044,0.997833,0.000018,0.000014,0.000063,2
0.001553,0.998010,0.000125,0.000128,0.000058,0.000125,1
0.998892,0.001081,0.000012,0.000002,0.000002,0.000011,0
0.000003,0.000004,0.000002,0.000005,0.999975,0.000011,4
0.000109,0.000019,0.000076,0.037189,0.962381,0.000226,4
0.000024,0.999967,0.000003,0.000001,0.000001,0.000006,1
0.000001,0.000001,0.000001,0.000001,0.999992,0.000004,4
0.000077,0.000049,0.999850,0.000002,0.000007,0.000015,2
0.000019,0.000002,0.000003,0.999761,0.000192,0.000023,3
0.000002,0.000000,0.000001,0.000118,0.000003,0.999877,5
0.000034,0.000028,0.999925,0.000001,0.000005,0.000008,2
0.999888,0.000069,0.000032,0.000001,0.000004,0.000006,0
0.000006,0.000007,0.999983,0.000000,0.000001,0.000003,2
0.000001,0.000001,0.000001,0.000075,0.000004,0.999918,5
0.000006,0.000004,0.000005,0.999949,0.000001,0.000035,3
0.999771,0.000123,0.000095,0.000002,0.000002,0.000008,0
0.000002,0.000000,0.000002,0.000584,0.000000,0.999411,5
0.000007,0.000012,0.999977,0.000000,0.000002,0.000002,2
