score0,score1,class
0.000303,0.999697,1
0.999992,0.000008,0
0.999945,0.000055,0
0.999683,0.000317,0
0.000002,0.999998,1
0.000388,0.999612,1
0.000536,0.999464,1
0.000796,0.999204,1
0.999977,0.000023,0
0.000035,0.999965,1
0.999981,0.000019,0
0.000004,0.999996,1
0.000010,0.999990,1
0.000018,0.999982,1
0.999882,0.000118,0
0.000258,0.999742,1
0.999057,0.000943,0
0.999942,0.000058,0
0.999734,0.000266,0
0.000020,0.999980,1
0.999597,0.000403,0
0.000279,0.999721,1
0.000137,0.999863,1
1.000000,0.000000,0
0.999912,0.000088,0
0.000176,0.999824,1
0.999994,0.000006,0
0.999460,0.000540,0
0.999973,0.000027,0
0.000157,0.999843,1
0.000001,0.999999,1
0.999983,0.000017,0
0.999965,0.000035,0
0.000078,0.999922,1
0.000390,0.999610,1
0.999765,0.000235,0
0.999833,0.000167,0
0.999967,0.000033,0
0.999914,0.000086,0
0.000000,1.000000,1
0.999989,0.000011,0
0.999734,0.000266,0
0.999915,0.000085,0
0.009625,0.990375,1
0.999221,0.000779,0
0.999998,0.000002,0
0.000007,0.999993,1
0.999933,0.000067,0
0.000006,0.999994,1
0.999426,0.000574,0
0.000008,0.999992,1
0.000000,1.000000,1
0.999948,0.000052,0
0.999961,0.000039,0
0.999907,0.000093,0
0.999978,0.000022,0
0.000158,0.999842,1
0.000523,0.999477,1
0.000527,0.999473,1
0.999837,0.000163,0
0.997512,0.002488,0
0.000049,0.999951,1
0.999881,0.000119,0
0.000309,0.999691,1
0.000065,0.999935,1
0.000000,1.000000,1
0.999742,0.000258,0
0.999730,0.000270,0
0.999959,0.000041,0
0.999910,0.000090,0
0.999989,0.000011,0
0.000054,0.999946,1
0.999957,0.000043,0
0.999921,0.000079,0
0.000036,0.999964,1
0.999931,0.000069,0
0.000011,0.999989,1
0.000144,0.999856,1
0.000451,0.999549,1
0.000128,0.999872,1
0.999907,0.000093,0
0.000034,0.999966,1
0.000001,0.999999,1
0.000209,0.999791,1
0.999995,0.000005,0
0.000026,0.999974,1
0.000303,0.999697,1
0.000030,0.999970,1
0.000006,0.999994,1
0.999983,0.000017,0
0.000965,0.999035,1
0.000020,0.999980,1
0.000014,0.999986,1
0.999861,0.000139,0
0.999719,0.000281,0
0.999968,0.000032,0
0.000015,0.999985,1
0.999820,0.000180,0
0.000003,0.999997,1
0.999803,0.000197,0
0.000109,0.999891,1
0.999284,0.000716,0
0.000050,0.999950,1
0.000035,0.999965,1
0.000123,0.999877,1
0.000027,0.999973,1
0.000152,0.999848,1
0.000166,0.999834,1
0.000006,0.999994,1
0.999762,0.000238,0
0.999794,0.000206,0
0.999868,0.000132,0
0.999849,0.000151,0
0.999900,0.000100,0
0.999995,0.000005,0
0.999984,0.000016,0
0.999981,0.000019,0
0.000001,0.999999,1
0.000190,0.999810,1
0.000095,0.999905,1
0.000330,0.999670,1
0.000047,0.999953,1
0.999907,0.000093,0
0.999918,0.000082,0
0.000173,0.999827,1
0.999973,0.000027,0
0.000006,0.999994,1
0.000118,0.999882,1
0.000019,0.999981,1
0.999999,0.000001,0
0.000178,0.999822,1
0.999933,0.000067,0
0.000942,0.999058,1
0.999846,0.000154,0
0.000092,0.999908,1
0.999991,0.000009,0
0.999946,0.000054,0
0.000226,0.999774,1
0.000162,0.999838,1
0.001263,0.998737,1
0.001485,0.998515,1
0.000013,0.999987,1
0.000016,0.999984,1
0.999860,0.000140,0
0.000017,0.999983,1
0.999983,0.000017,0
0.999927,0.000073,0
0.000004,0.999996,1
0.000430,0.999570,1
0.000407,0.999593,1
0.000001,0.999999,1
0.999683,0.000317,0
0.000002,0.999998,1
0.000048,0.999952,1
0.999906,0.000094,0
0.999903,0.000097,0
0.999852,0.000148,0
0.000004,0.999996,1
0.000214,0.999786,1
0.999928,0.000072,0
0.999964,0.000036,0
