Gamma,Number of trees,Number of splits,Accuracy
0.0,87,4752,0.4997
0.1,102,5566,0.4992
0.2,90,4883,0.4995
0.3,90,4846,0.4992
0.4,93,4974,0.4989
0.5,96,4886,0.4994
0.6,129,4814,0.4991
0.7,111,4149,0.4997
0.8,378,4076,0.4992
0.9,156,3398,0.4994
1.0,162,3230,0.4993
1.1,219,2634,0.4993
1.2,801,2231,0.4998
1.3,237,1967,0.4996
1.4,711,1806,0.4994
1.5,666,1546,0.4995
1.6,729,1310,0.4997
1.7,636,1147,0.4996
1.8,654,986,0.4997
1.9,735,872,0.5001
2.0,849,665,0.5003
2.1,882,499,0.5
2.2,642,443,0.5
2.3,654,390,0.5001
2.4,789,293,0.4999
2.5,651,248,0.4998
2.6,612,213,0.4999
2.7,687,196,0.4998
2.8,606,159,0.4998
2.9,585,109,0.4998
3.0,717,78,0.4998
3.1,549,70,0.4998
3.2,693,64,0.4998
3.3,519,45,0.4998
3.4,699,42,0.4998
3.5,705,42,0.4998
3.6,591,29,0.4998
3.7,660,28,0.4998
3.8,627,26,0.4998
3.9,609,21,0.4998
4.0,627,21,0.4998
4.1,594,18,0.4998
4.2,570,13,0.4998
4.3,624,13,0.4998
4.4,597,13,0.4998
4.5,501,8,0.4998
4.6,507,6,0.4998
4.7,606,5,0.4998
4.8,588,5,0.4998
4.9,576,4,0.4998
5.0,648,4,0.4998
5.1,576,4,0.4998
5.2,648,4,0.4998
5.3,660,3,0.4998
5.4,585,2,0.4998
5.5,585,2,0.4998
5.6,585,2,0.4998
5.7,585,2,0.4998
5.8,585,2,0.4998
5.9,585,2,0.4998
6.0,585,2,0.4998
6.1,585,1,0.4998
6.2,585,1,0.4998
6.3,585,1,0.4998
6.4,585,1,0.4998
6.5,585,1,0.4998
6.6,585,1,0.4998
6.7,585,1,0.4998
6.8,585,1,0.4998
6.9,585,1,0.4998
7.0,576,0,0.4998
