min_child_weight,Number of trees,Number of splits,Accuracy
0,90,5116,0.4995
200,96,1977,0.4998
400,120,1928,0.4998
600,123,1754,0.4998
800,123,1526,0.4998
1000,126,1360,0.4998
1200,132,1237,0.4998
1400,117,941,0.4998
1600,129,918,0.4998
1800,123,753,0.4998
2000,138,753,0.4998
2200,129,600,0.4998
2400,156,663,0.4998
2600,138,537,0.4998
2800,126,455,0.4998
3000,132,444,0.4998
3200,141,427,0.4998
3400,138,398,0.4998
3600,156,426,0.4998
3800,165,418,0.4998
4000,138,321,0.4998
4200,138,283,0.4998
4400,156,294,0.4998
4600,150,274,0.4998
4800,150,270,0.4998
5000,141,231,0.4998
5200,144,231,0.4998
5400,159,253,0.4998
5600,150,191,0.4998
5800,165,199,0.4998
6000,156,173,0.4998
6200,165,171,0.4998
6400,159,166,0.4998
6600,189,170,0.4998
6800,174,145,0.4998
7000,174,139,0.4998
7200,183,140,0.4998
7400,171,129,0.4998
7600,183,134,0.4998
7800,186,134,0.4998
8000,189,134,0.4998
8200,177,124,0.4998
8400,192,91,0.4998
8600,201,79,0.4998
8800,183,65,0.4998
9000,207,68,0.4998
9200,213,68,0.4998
9400,207,65,0.4998
9600,213,64,0.4998
9800,207,58,0.4998
10000,576,0,0.4998
10200,576,0,0.4998
10400,576,0,0.4998
10600,576,0,0.4998
10800,576,0,0.4998
11000,576,0,0.4998
11200,576,0,0.4998
11400,576,0,0.4998
11600,576,0,0.4998
11800,576,0,0.4998
12000,576,0,0.4998
12200,576,0,0.4998
12400,576,0,0.4998
12600,576,0,0.4998
12800,576,0,0.4998
13000,1560,0,0.4998
13200,1686,0,0.4998
13400,1746,0,0.4998
13600,1665,0,0.4998
13800,1701,0,0.4998
14000,1815,0,0.4998
14200,1743,0,0.4998
14400,1857,0,0.4998
14600,1866,0,0.4998
14800,1881,0,0.4998
15000,1791,0,0.4998
15200,1809,0,0.4998
15400,1914,0,0.4998
15600,1923,0,0.4998
15800,1929,0,0.4998
16000,1938,0,0.4998
16200,1944,0,0.4998
16400,297,0,0.4998
16600,297,0,0.4998
16800,297,0,0.4998
17000,312,0,0.4998
17200,300,0,0.4998
17400,303,0,0.4998
17600,312,0,0.4998
17800,0,0,0.2
17800,0,0,0.2
